0, 1, './GTEA61/flow_x_processed/S4/scoop_peanut,spoon/1/flow_x_00001.png', './GTEA61/flow_x_processed/S4/scoop_peanut,spoon/1/flow_x_00002.png', 4.962445279794349
1, 2, './GTEA61/flow_x_processed/S4/scoop_peanut,spoon/1/flow_x_00002.png', './GTEA61/flow_x_processed/S4/scoop_peanut,spoon/1/flow_x_00003.png', 4.662650203851964
2, 3, './GTEA61/flow_x_processed/S4/scoop_peanut,spoon/1/flow_x_00003.png', './GTEA61/flow_x_processed/S4/scoop_peanut,spoon/1/flow_x_00004.png', 4.566888209925311
3, 4, './GTEA61/flow_x_processed/S4/scoop_peanut,spoon/1/flow_x_00004.png', './GTEA61/flow_x_processed/S4/scoop_peanut,spoon/1/flow_x_00005.png', 4.3791094901200145
4, 5, './GTEA61/flow_x_processed/S4/scoop_peanut,spoon/1/flow_x_00005.png', './GTEA61/flow_x_processed/S4/scoop_peanut,spoon/1/flow_x_00006.png', 4.156417262168002
5, 6, './GTEA61/flow_x_processed/S4/scoop_peanut,spoon/1/flow_x_00006.png', './GTEA61/flow_x_processed/S4/scoop_peanut,spoon/1/flow_x_00007.png', 4.740028054609891
6, 7, './GTEA61/flow_x_processed/S4/scoop_peanut,spoon/1/flow_x_00007.png', './GTEA61/flow_x_processed/S4/scoop_peanut,spoon/1/flow_x_00008.png', 4.096518700382973
7, 8, './GTEA61/flow_x_processed/S4/scoop_peanut,spoon/1/flow_x_00008.png', './GTEA61/flow_x_processed/S4/scoop_peanut,spoon/1/flow_x_00009.png', 3.7688447776722156
8, 9, './GTEA61/flow_x_processed/S4/scoop_peanut,spoon/1/flow_x_00009.png', './GTEA61/flow_x_processed/S4/scoop_peanut,spoon/1/flow_x_00010.png', 4.518665676805784
9, 10, './GTEA61/flow_x_processed/S4/scoop_peanut,spoon/1/flow_x_00010.png', './GTEA61/flow_x_processed/S4/scoop_peanut,spoon/1/flow_x_00011.png', 3.529041139629558
10, 11, './GTEA61/flow_x_processed/S4/scoop_peanut,spoon/1/flow_x_00011.png', './GTEA61/flow_x_processed/S4/scoop_peanut,spoon/1/flow_x_00012.png', 3.8147614067106317
11, 12, './GTEA61/flow_x_processed/S4/scoop_peanut,spoon/1/flow_x_00012.png', './GTEA61/flow_x_processed/S4/scoop_peanut,spoon/1/flow_x_00013.png', 4.147821433939853
12, 13, './GTEA61/flow_x_processed/S4/scoop_peanut,spoon/1/flow_x_00013.png', './GTEA61/flow_x_processed/S4/scoop_peanut,spoon/1/flow_x_00014.png', 4.356827219639281
13, 14, './GTEA61/flow_x_processed/S4/scoop_peanut,spoon/1/flow_x_00014.png', './GTEA61/flow_x_processed/S4/scoop_peanut,spoon/1/flow_x_00015.png', 4.299423634869245
14, 15, './GTEA61/flow_x_processed/S4/scoop_peanut,spoon/1/flow_x_00015.png', './GTEA61/flow_x_processed/S4/scoop_peanut,spoon/1/flow_x_00016.png', 4.695132371559388
15, 16, './GTEA61/flow_x_processed/S4/scoop_peanut,spoon/1/flow_x_00016.png', './GTEA61/flow_x_processed/S4/scoop_peanut,spoon/1/flow_x_00017.png', 3.908164614683891
16, 17, './GTEA61/flow_x_processed/S4/scoop_peanut,spoon/1/flow_x_00017.png', './GTEA61/flow_x_processed/S4/scoop_peanut,spoon/1/flow_x_00018.png', 4.199087626199563
17, 18, './GTEA61/flow_x_processed/S4/scoop_peanut,spoon/1/flow_x_00018.png', './GTEA61/flow_x_processed/S4/scoop_peanut,spoon/1/flow_x_00019.png', 4.7113451110513
18, 19, './GTEA61/flow_x_processed/S4/scoop_peanut,spoon/1/flow_x_00019.png', './GTEA61/flow_x_processed/S4/scoop_peanut,spoon/1/flow_x_00020.png', 4.138231993431882
19, 20, './GTEA61/flow_x_processed/S4/scoop_peanut,spoon/1/flow_x_00020.png', './GTEA61/flow_x_processed/S4/scoop_peanut,spoon/1/flow_x_00021.png', 4.382225394361779
20, 21, './GTEA61/flow_x_processed/S4/scoop_peanut,spoon/1/flow_x_00021.png', './GTEA61/flow_x_processed/S4/scoop_peanut,spoon/1/flow_x_00022.png', 4.833161403841932
21, 22, './GTEA61/flow_x_processed/S4/scoop_peanut,spoon/1/flow_x_00022.png', './GTEA61/flow_x_processed/S4/scoop_peanut,spoon/1/flow_x_00023.png', 4.447829409343307
22, 23, './GTEA61/flow_x_processed/S4/scoop_peanut,spoon/1/flow_x_00023.png', './GTEA61/flow_x_processed/S4/scoop_peanut,spoon/1/flow_x_00024.png', 4.686685883753476
23, 24, './GTEA61/flow_x_processed/S4/scoop_peanut,spoon/1/flow_x_00024.png', './GTEA61/flow_x_processed/S4/scoop_peanut,spoon/1/flow_x_00025.png', 4.653842655357093
24, 25, './GTEA61/flow_x_processed/S4/scoop_peanut,spoon/1/flow_x_00025.png', './GTEA61/flow_x_processed/S4/scoop_peanut,spoon/1/flow_x_00026.png', 4.778093919246583
25, 26, './GTEA61/flow_x_processed/S4/scoop_peanut,spoon/1/flow_x_00026.png', './GTEA61/flow_x_processed/S4/scoop_peanut,spoon/1/flow_x_00027.png', 5.531165284677294
26, 27, './GTEA61/flow_x_processed/S4/scoop_peanut,spoon/1/flow_x_00027.png', './GTEA61/flow_x_processed/S4/scoop_peanut,spoon/1/flow_x_00028.png', 5.639265716529969
27, 28, './GTEA61/flow_x_processed/S4/scoop_peanut,spoon/1/flow_x_00028.png', './GTEA61/flow_x_processed/S4/scoop_peanut,spoon/1/flow_x_00029.png', 5.444870882118696
