0, 1, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00001.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00002.png', 5.123670329876189
1, 2, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00002.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00003.png', 5.391923751574889
2, 3, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00003.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00004.png', 5.516237068350069
3, 4, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00004.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00005.png', 5.3074798955248434
4, 5, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00005.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00006.png', 5.778224692012411
5, 6, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00006.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00007.png', 5.37847677776877
6, 7, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00007.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00008.png', 6.405570823991517
7, 8, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00008.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00009.png', 5.99813791627401
8, 9, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00009.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00010.png', 5.905649105262903
9, 10, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00010.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00011.png', 5.499019720288819
10, 11, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00011.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00012.png', 5.525809532548564
11, 12, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00012.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00013.png', 5.133909115226878
12, 13, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00013.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00014.png', 4.7645290945627705
13, 14, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00014.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00015.png', 5.31840158509432
14, 15, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00015.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00016.png', 4.702635318759251
