0, 1, './GTEA61/processed_frames2/S3/scoop_jam,spoon/1/mmaps/map0001.png', './GTEA61/processed_frames2/S3/scoop_jam,spoon/1/mmaps/map0002.png', 0.37097812424412197
1, 2, './GTEA61/processed_frames2/S3/scoop_jam,spoon/1/mmaps/map0002.png', './GTEA61/processed_frames2/S3/scoop_jam,spoon/1/mmaps/map0003.png', 0.20527986318539954
2, 3, './GTEA61/processed_frames2/S3/scoop_jam,spoon/1/mmaps/map0003.png', './GTEA61/processed_frames2/S3/scoop_jam,spoon/1/mmaps/map0004.png', 0.16410126693754196
3, 4, './GTEA61/processed_frames2/S3/scoop_jam,spoon/1/mmaps/map0004.png', './GTEA61/processed_frames2/S3/scoop_jam,spoon/1/mmaps/map0005.png', 0.16757064656105936
4, 5, './GTEA61/processed_frames2/S3/scoop_jam,spoon/1/mmaps/map0005.png', './GTEA61/processed_frames2/S3/scoop_jam,spoon/1/mmaps/map0006.png', 0.1561055107935029
5, 6, './GTEA61/processed_frames2/S3/scoop_jam,spoon/1/mmaps/map0006.png', './GTEA61/processed_frames2/S3/scoop_jam,spoon/1/mmaps/map0007.png', 0.12489235714235586
6, 7, './GTEA61/processed_frames2/S3/scoop_jam,spoon/1/mmaps/map0007.png', './GTEA61/processed_frames2/S3/scoop_jam,spoon/1/mmaps/map0008.png', 0.10316591394082401
7, 8, './GTEA61/processed_frames2/S3/scoop_jam,spoon/1/mmaps/map0008.png', './GTEA61/processed_frames2/S3/scoop_jam,spoon/1/mmaps/map0009.png', 0.1239882239559992
8, 9, './GTEA61/processed_frames2/S3/scoop_jam,spoon/1/mmaps/map0009.png', './GTEA61/processed_frames2/S3/scoop_jam,spoon/1/mmaps/map0010.png', 0.07307801439083361
9, 10, './GTEA61/processed_frames2/S3/scoop_jam,spoon/1/mmaps/map0010.png', './GTEA61/processed_frames2/S3/scoop_jam,spoon/1/mmaps/map0011.png', 0.4914211423417237
10, 11, './GTEA61/processed_frames2/S3/scoop_jam,spoon/1/mmaps/map0011.png', './GTEA61/processed_frames2/S3/scoop_jam,spoon/1/mmaps/map0012.png', 0.3926577464390317
11, 12, './GTEA61/processed_frames2/S3/scoop_jam,spoon/1/mmaps/map0012.png', './GTEA61/processed_frames2/S3/scoop_jam,spoon/1/mmaps/map0013.png', 0.19951528696877832
12, 13, './GTEA61/processed_frames2/S3/scoop_jam,spoon/1/mmaps/map0013.png', './GTEA61/processed_frames2/S3/scoop_jam,spoon/1/mmaps/map0014.png', 0.1936421611334071
13, 14, './GTEA61/processed_frames2/S3/scoop_jam,spoon/1/mmaps/map0014.png', './GTEA61/processed_frames2/S3/scoop_jam,spoon/1/mmaps/map0015.png', 0.16983923853753566
14, 15, './GTEA61/processed_frames2/S3/scoop_jam,spoon/1/mmaps/map0015.png', './GTEA61/processed_frames2/S3/scoop_jam,spoon/1/mmaps/map0016.png', 0.149435467394127
15, 16, './GTEA61/processed_frames2/S3/scoop_jam,spoon/1/mmaps/map0016.png', './GTEA61/processed_frames2/S3/scoop_jam,spoon/1/mmaps/map0017.png', 0.11348888800825307
16, 17, './GTEA61/processed_frames2/S3/scoop_jam,spoon/1/mmaps/map0017.png', './GTEA61/processed_frames2/S3/scoop_jam,spoon/1/mmaps/map0018.png', 0.11219481912700908
17, 18, './GTEA61/processed_frames2/S3/scoop_jam,spoon/1/mmaps/map0018.png', './GTEA61/processed_frames2/S3/scoop_jam,spoon/1/mmaps/map0019.png', 0.09148862593345894
18, 19, './GTEA61/processed_frames2/S3/scoop_jam,spoon/1/mmaps/map0019.png', './GTEA61/processed_frames2/S3/scoop_jam,spoon/1/mmaps/map0020.png', 0.12019853928772416
19, 20, './GTEA61/processed_frames2/S3/scoop_jam,spoon/1/mmaps/map0020.png', './GTEA61/processed_frames2/S3/scoop_jam,spoon/1/mmaps/map0021.png', 0.10178111607695481
20, 21, './GTEA61/processed_frames2/S3/scoop_jam,spoon/1/mmaps/map0021.png', './GTEA61/processed_frames2/S3/scoop_jam,spoon/1/mmaps/map0022.png', 0.10995844328097845
21, 22, './GTEA61/processed_frames2/S3/scoop_jam,spoon/1/mmaps/map0022.png', './GTEA61/processed_frames2/S3/scoop_jam,spoon/1/mmaps/map0023.png', 0.10670975652945017
22, 23, './GTEA61/processed_frames2/S3/scoop_jam,spoon/1/mmaps/map0023.png', './GTEA61/processed_frames2/S3/scoop_jam,spoon/1/mmaps/map0024.png', 0.1041214519849506
23, 24, './GTEA61/processed_frames2/S3/scoop_jam,spoon/1/mmaps/map0024.png', './GTEA61/processed_frames2/S3/scoop_jam,spoon/1/mmaps/map0025.png', 0.07505803683952429
24, 25, './GTEA61/processed_frames2/S3/scoop_jam,spoon/1/mmaps/map0025.png', './GTEA61/processed_frames2/S3/scoop_jam,spoon/1/mmaps/map0026.png', 0.07783035815786883
25, 26, './GTEA61/processed_frames2/S3/scoop_jam,spoon/1/mmaps/map0026.png', './GTEA61/processed_frames2/S3/scoop_jam,spoon/1/mmaps/map0027.png', 0.0807476011626085
26, 27, './GTEA61/processed_frames2/S3/scoop_jam,spoon/1/mmaps/map0027.png', './GTEA61/processed_frames2/S3/scoop_jam,spoon/1/mmaps/map0028.png', 0.18965963967059435
27, 28, './GTEA61/processed_frames2/S3/scoop_jam,spoon/1/mmaps/map0028.png', './GTEA61/processed_frames2/S3/scoop_jam,spoon/1/mmaps/map0029.png', 0.19900354124502131
28, 29, './GTEA61/processed_frames2/S3/scoop_jam,spoon/1/mmaps/map0029.png', './GTEA61/processed_frames2/S3/scoop_jam,spoon/1/mmaps/map0030.png', 0.1743889967706982
29, 30, './GTEA61/processed_frames2/S3/scoop_jam,spoon/1/mmaps/map0030.png', './GTEA61/processed_frames2/S3/scoop_jam,spoon/1/mmaps/map0031.png', 0.18344978089927938
30, 31, './GTEA61/processed_frames2/S3/scoop_jam,spoon/1/mmaps/map0031.png', './GTEA61/processed_frames2/S3/scoop_jam,spoon/1/mmaps/map0032.png', 0.18944229191020756
31, 32, './GTEA61/processed_frames2/S3/scoop_jam,spoon/1/mmaps/map0032.png', './GTEA61/processed_frames2/S3/scoop_jam,spoon/1/mmaps/map0033.png', 0.21023024862598613
32, 33, './GTEA61/processed_frames2/S3/scoop_jam,spoon/1/mmaps/map0033.png', './GTEA61/processed_frames2/S3/scoop_jam,spoon/1/mmaps/map0034.png', 0.17862948036389098
33, 34, './GTEA61/processed_frames2/S3/scoop_jam,spoon/1/mmaps/map0034.png', './GTEA61/processed_frames2/S3/scoop_jam,spoon/1/mmaps/map0035.png', 0.18721993166490505
34, 35, './GTEA61/processed_frames2/S3/scoop_jam,spoon/1/mmaps/map0035.png', './GTEA61/processed_frames2/S3/scoop_jam,spoon/1/mmaps/map0036.png', 0.208892386492757
35, 36, './GTEA61/processed_frames2/S3/scoop_jam,spoon/1/mmaps/map0036.png', './GTEA61/processed_frames2/S3/scoop_jam,spoon/1/mmaps/map0037.png', 0.18800542405917148
36, 37, './GTEA61/processed_frames2/S3/scoop_jam,spoon/1/mmaps/map0037.png', './GTEA61/processed_frames2/S3/scoop_jam,spoon/1/mmaps/map0038.png', 0.1996005283617987
37, 38, './GTEA61/processed_frames2/S3/scoop_jam,spoon/1/mmaps/map0038.png', './GTEA61/processed_frames2/S3/scoop_jam,spoon/1/mmaps/map0039.png', 0.15568569069732746
38, 39, './GTEA61/processed_frames2/S3/scoop_jam,spoon/1/mmaps/map0039.png', './GTEA61/processed_frames2/S3/scoop_jam,spoon/1/mmaps/map0040.png', 0.04074392246859816
39, 40, './GTEA61/processed_frames2/S3/scoop_jam,spoon/1/mmaps/map0040.png', './GTEA61/processed_frames2/S3/scoop_jam,spoon/1/mmaps/map0041.png', 0.035772841192656404
40, 41, './GTEA61/processed_frames2/S3/scoop_jam,spoon/1/mmaps/map0041.png', './GTEA61/processed_frames2/S3/scoop_jam,spoon/1/mmaps/map0042.png', 0.04584693565105702
41, 42, './GTEA61/processed_frames2/S3/scoop_jam,spoon/1/mmaps/map0042.png', './GTEA61/processed_frames2/S3/scoop_jam,spoon/1/mmaps/map0043.png', 0.045191658838273925
42, 43, './GTEA61/processed_frames2/S3/scoop_jam,spoon/1/mmaps/map0043.png', './GTEA61/processed_frames2/S3/scoop_jam,spoon/1/mmaps/map0044.png', 0.03830986032890874
43, 44, './GTEA61/processed_frames2/S3/scoop_jam,spoon/1/mmaps/map0044.png', './GTEA61/processed_frames2/S3/scoop_jam,spoon/1/mmaps/map0045.png', 0.024004481756251413
44, 45, './GTEA61/processed_frames2/S3/scoop_jam,spoon/1/mmaps/map0045.png', './GTEA61/processed_frames2/S3/scoop_jam,spoon/1/mmaps/map0046.png', 0.016175660503542855
45, 46, './GTEA61/processed_frames2/S3/scoop_jam,spoon/1/mmaps/map0046.png', './GTEA61/processed_frames2/S3/scoop_jam,spoon/1/mmaps/map0047.png', 0.00874590784647976
46, 47, './GTEA61/processed_frames2/S3/scoop_jam,spoon/1/mmaps/map0047.png', './GTEA61/processed_frames2/S3/scoop_jam,spoon/1/mmaps/map0048.png', -0.0
47, 48, './GTEA61/processed_frames2/S3/scoop_jam,spoon/1/mmaps/map0048.png', './GTEA61/processed_frames2/S3/scoop_jam,spoon/1/mmaps/map0049.png', -0.0
48, 49, './GTEA61/processed_frames2/S3/scoop_jam,spoon/1/mmaps/map0049.png', './GTEA61/processed_frames2/S3/scoop_jam,spoon/1/mmaps/map0050.png', 0.009013185442534974
49, 50, './GTEA61/processed_frames2/S3/scoop_jam,spoon/1/mmaps/map0050.png', './GTEA61/processed_frames2/S3/scoop_jam,spoon/1/mmaps/map0051.png', 0.08983410491134762
