0, 1, './GTEA61/processed_frames2/S4/pour_mayonnaise,cheese,bread/1/rgb/rgb0001.png', './GTEA61/processed_frames2/S4/pour_mayonnaise,cheese,bread/1/rgb/rgb0002.png', 5.265495956730632
1, 2, './GTEA61/processed_frames2/S4/pour_mayonnaise,cheese,bread/1/rgb/rgb0002.png', './GTEA61/processed_frames2/S4/pour_mayonnaise,cheese,bread/1/rgb/rgb0003.png', 5.042133081824837
2, 3, './GTEA61/processed_frames2/S4/pour_mayonnaise,cheese,bread/1/rgb/rgb0003.png', './GTEA61/processed_frames2/S4/pour_mayonnaise,cheese,bread/1/rgb/rgb0004.png', 4.901494119420293
3, 4, './GTEA61/processed_frames2/S4/pour_mayonnaise,cheese,bread/1/rgb/rgb0004.png', './GTEA61/processed_frames2/S4/pour_mayonnaise,cheese,bread/1/rgb/rgb0005.png', 5.131941846866874
4, 5, './GTEA61/processed_frames2/S4/pour_mayonnaise,cheese,bread/1/rgb/rgb0005.png', './GTEA61/processed_frames2/S4/pour_mayonnaise,cheese,bread/1/rgb/rgb0006.png', 5.277202553562576
5, 6, './GTEA61/processed_frames2/S4/pour_mayonnaise,cheese,bread/1/rgb/rgb0006.png', './GTEA61/processed_frames2/S4/pour_mayonnaise,cheese,bread/1/rgb/rgb0007.png', 5.068567383133002
6, 7, './GTEA61/processed_frames2/S4/pour_mayonnaise,cheese,bread/1/rgb/rgb0007.png', './GTEA61/processed_frames2/S4/pour_mayonnaise,cheese,bread/1/rgb/rgb0008.png', 4.974802796191295
7, 8, './GTEA61/processed_frames2/S4/pour_mayonnaise,cheese,bread/1/rgb/rgb0008.png', './GTEA61/processed_frames2/S4/pour_mayonnaise,cheese,bread/1/rgb/rgb0009.png', 4.7808300709915335
8, 9, './GTEA61/processed_frames2/S4/pour_mayonnaise,cheese,bread/1/rgb/rgb0009.png', './GTEA61/processed_frames2/S4/pour_mayonnaise,cheese,bread/1/rgb/rgb0010.png', 4.573125628276167
9, 10, './GTEA61/processed_frames2/S4/pour_mayonnaise,cheese,bread/1/rgb/rgb0010.png', './GTEA61/processed_frames2/S4/pour_mayonnaise,cheese,bread/1/rgb/rgb0011.png', 4.607571528242869
10, 11, './GTEA61/processed_frames2/S4/pour_mayonnaise,cheese,bread/1/rgb/rgb0011.png', './GTEA61/processed_frames2/S4/pour_mayonnaise,cheese,bread/1/rgb/rgb0012.png', 4.737558946165381
11, 12, './GTEA61/processed_frames2/S4/pour_mayonnaise,cheese,bread/1/rgb/rgb0012.png', './GTEA61/processed_frames2/S4/pour_mayonnaise,cheese,bread/1/rgb/rgb0013.png', 4.70988971959567
12, 13, './GTEA61/processed_frames2/S4/pour_mayonnaise,cheese,bread/1/rgb/rgb0013.png', './GTEA61/processed_frames2/S4/pour_mayonnaise,cheese,bread/1/rgb/rgb0014.png', 5.0243408383322175
13, 14, './GTEA61/processed_frames2/S4/pour_mayonnaise,cheese,bread/1/rgb/rgb0014.png', './GTEA61/processed_frames2/S4/pour_mayonnaise,cheese,bread/1/rgb/rgb0015.png', 4.87497282655898
14, 15, './GTEA61/processed_frames2/S4/pour_mayonnaise,cheese,bread/1/rgb/rgb0015.png', './GTEA61/processed_frames2/S4/pour_mayonnaise,cheese,bread/1/rgb/rgb0016.png', 4.625048180744357
15, 16, './GTEA61/processed_frames2/S4/pour_mayonnaise,cheese,bread/1/rgb/rgb0016.png', './GTEA61/processed_frames2/S4/pour_mayonnaise,cheese,bread/1/rgb/rgb0017.png', 4.741663234861988
16, 17, './GTEA61/processed_frames2/S4/pour_mayonnaise,cheese,bread/1/rgb/rgb0017.png', './GTEA61/processed_frames2/S4/pour_mayonnaise,cheese,bread/1/rgb/rgb0018.png', 4.609275007520119
17, 18, './GTEA61/processed_frames2/S4/pour_mayonnaise,cheese,bread/1/rgb/rgb0018.png', './GTEA61/processed_frames2/S4/pour_mayonnaise,cheese,bread/1/rgb/rgb0019.png', 4.677914760157524
18, 19, './GTEA61/processed_frames2/S4/pour_mayonnaise,cheese,bread/1/rgb/rgb0019.png', './GTEA61/processed_frames2/S4/pour_mayonnaise,cheese,bread/1/rgb/rgb0020.png', 4.8675204794609765
