0, 1, './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/2/flow_x_00001.png', './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/2/flow_x_00002.png', 5.083840693468752
1, 2, './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/2/flow_x_00002.png', './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/2/flow_x_00003.png', 5.594138909362925
2, 3, './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/2/flow_x_00003.png', './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/2/flow_x_00004.png', 5.510443738480327
3, 4, './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/2/flow_x_00004.png', './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/2/flow_x_00005.png', 5.406431750924688
4, 5, './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/2/flow_x_00005.png', './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/2/flow_x_00006.png', 4.926206279800346
5, 6, './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/2/flow_x_00006.png', './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/2/flow_x_00007.png', 4.262283985457197
6, 7, './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/2/flow_x_00007.png', './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/2/flow_x_00008.png', 5.042056341819111
7, 8, './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/2/flow_x_00008.png', './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/2/flow_x_00009.png', 4.35356052466992
8, 9, './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/2/flow_x_00009.png', './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/2/flow_x_00010.png', 4.761990572266962
9, 10, './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/2/flow_x_00010.png', './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/2/flow_x_00011.png', 4.707925428058446
10, 11, './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/2/flow_x_00011.png', './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/2/flow_x_00012.png', 4.69186071716171
11, 12, './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/2/flow_x_00012.png', './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/2/flow_x_00013.png', 4.936581754758083
12, 13, './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/2/flow_x_00013.png', './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/2/flow_x_00014.png', 4.310727854774403
13, 14, './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/2/flow_x_00014.png', './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/2/flow_x_00015.png', 4.475454864830962
14, 15, './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/2/flow_x_00015.png', './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/2/flow_x_00016.png', 4.884527585302137
15, 16, './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/2/flow_x_00016.png', './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/2/flow_x_00017.png', 5.251104240741503
16, 17, './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/2/flow_x_00017.png', './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/2/flow_x_00018.png', 5.119285121986001
17, 18, './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/2/flow_x_00018.png', './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/2/flow_x_00019.png', 4.105031410877019
18, 19, './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/2/flow_x_00019.png', './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/2/flow_x_00020.png', 4.20736712909469
