0, 1, './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/1/flow_y_00001.png', './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/1/flow_y_00002.png', 5.648682990677463
1, 2, './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/1/flow_y_00002.png', './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/1/flow_y_00003.png', 5.2562276049926755
2, 3, './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/1/flow_y_00003.png', './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/1/flow_y_00004.png', 6.177795074588376
3, 4, './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/1/flow_y_00004.png', './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/1/flow_y_00005.png', 5.453034970394797
4, 5, './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/1/flow_y_00005.png', './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/1/flow_y_00006.png', 4.462835835365929
5, 6, './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/1/flow_y_00006.png', './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/1/flow_y_00007.png', 4.94964986277943
6, 7, './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/1/flow_y_00007.png', './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/1/flow_y_00008.png', 4.508992037787327
7, 8, './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/1/flow_y_00008.png', './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/1/flow_y_00009.png', 4.8626536183146385
8, 9, './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/1/flow_y_00009.png', './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/1/flow_y_00010.png', 3.874650255520138
9, 10, './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/1/flow_y_00010.png', './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/1/flow_y_00011.png', 3.9290046003064463
10, 11, './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/1/flow_y_00011.png', './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/1/flow_y_00012.png', 4.474956716684266
11, 12, './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/1/flow_y_00012.png', './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/1/flow_y_00013.png', 4.129528498593428
12, 13, './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/1/flow_y_00013.png', './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/1/flow_y_00014.png', 4.528261486866631
13, 14, './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/1/flow_y_00014.png', './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/1/flow_y_00015.png', 3.8901592097656814
14, 15, './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/1/flow_y_00015.png', './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/1/flow_y_00016.png', 4.822801311242789
15, 16, './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/1/flow_y_00016.png', './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/1/flow_y_00017.png', 4.0603253361343965
16, 17, './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/1/flow_y_00017.png', './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/1/flow_y_00018.png', 3.666232261596853
17, 18, './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/1/flow_y_00018.png', './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/1/flow_y_00019.png', 3.8938821569928805
18, 19, './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/1/flow_y_00019.png', './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/1/flow_y_00020.png', 4.398372361427166
19, 20, './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/1/flow_y_00020.png', './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/1/flow_y_00021.png', 3.9536854398324897
20, 21, './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/1/flow_y_00021.png', './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/1/flow_y_00022.png', 4.0789074095207
21, 22, './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/1/flow_y_00022.png', './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/1/flow_y_00023.png', 4.638897895341299
22, 23, './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/1/flow_y_00023.png', './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/1/flow_y_00024.png', 4.563128486672826
23, 24, './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/1/flow_y_00024.png', './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/1/flow_y_00025.png', 4.611657121122356
24, 25, './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/1/flow_y_00025.png', './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/1/flow_y_00026.png', 4.646230920236432
25, 26, './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/1/flow_y_00026.png', './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/1/flow_y_00027.png', 4.677529833733538
26, 27, './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/1/flow_y_00027.png', './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/1/flow_y_00028.png', 5.288749266019344
27, 28, './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/1/flow_y_00028.png', './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/1/flow_y_00029.png', 4.9675511857745684
28, 29, './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/1/flow_y_00029.png', './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/1/flow_y_00030.png', 4.626196156701219
29, 30, './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/1/flow_y_00030.png', './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/1/flow_y_00031.png', 4.16877409928599
30, 31, './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/1/flow_y_00031.png', './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/1/flow_y_00032.png', 4.677920871606853
31, 32, './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/1/flow_y_00032.png', './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/1/flow_y_00033.png', 4.147873706771685
32, 33, './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/1/flow_y_00033.png', './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/1/flow_y_00034.png', 5.505214754373399
