0, 1, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/mmaps/map0001.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/mmaps/map0002.png', 0.26534746366586315
1, 2, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/mmaps/map0002.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/mmaps/map0003.png', 0.25153685810354637
2, 3, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/mmaps/map0003.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/mmaps/map0004.png', 0.19643711502728944
3, 4, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/mmaps/map0004.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/mmaps/map0005.png', 0.18590801680813704
4, 5, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/mmaps/map0005.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/mmaps/map0006.png', 0.16675127162023945
5, 6, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/mmaps/map0006.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/mmaps/map0007.png', 0.15949645730436368
6, 7, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/mmaps/map0007.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/mmaps/map0008.png', 0.09460944662136811
7, 8, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/mmaps/map0008.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/mmaps/map0009.png', 0.05468786720383052
8, 9, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/mmaps/map0009.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/mmaps/map0010.png', 0.02986334440800564
9, 10, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/mmaps/map0010.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/mmaps/map0011.png', 0.4170852834629425
10, 11, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/mmaps/map0011.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/mmaps/map0012.png', 0.2813059531140081
11, 12, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/mmaps/map0012.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/mmaps/map0013.png', 0.20460499757990042
12, 13, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/mmaps/map0013.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/mmaps/map0014.png', 0.2216721605307809
13, 14, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/mmaps/map0014.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/mmaps/map0015.png', 0.23940338614262713
14, 15, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/mmaps/map0015.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/mmaps/map0016.png', 0.18049247062487422
15, 16, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/mmaps/map0016.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/mmaps/map0017.png', 0.16679682997892045
16, 17, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/mmaps/map0017.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/mmaps/map0018.png', 0.1560122510996071
17, 18, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/mmaps/map0018.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/mmaps/map0019.png', 0.10823290565872554
18, 19, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/mmaps/map0019.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/mmaps/map0020.png', 0.05619016940258805
19, 20, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/mmaps/map0020.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/mmaps/map0021.png', 0.05031254750138729
20, 21, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/mmaps/map0021.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/mmaps/map0022.png', 0.10097970331411908
21, 22, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/mmaps/map0022.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/mmaps/map0023.png', 0.15118305937777432
22, 23, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/mmaps/map0023.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/mmaps/map0024.png', 0.1396242465228663
23, 24, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/mmaps/map0024.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/mmaps/map0025.png', 0.13387296516778396
24, 25, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/mmaps/map0025.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/mmaps/map0026.png', 0.15132445491232516
25, 26, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/mmaps/map0026.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/mmaps/map0027.png', 0.1410740413025688
26, 27, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/mmaps/map0027.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/mmaps/map0028.png', 0.20371790454910116
27, 28, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/mmaps/map0028.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/mmaps/map0029.png', 0.25501123924469454
28, 29, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/mmaps/map0029.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/mmaps/map0030.png', 0.2991693854455967
29, 30, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/mmaps/map0030.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/mmaps/map0031.png', 0.48235036318866276
30, 31, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/mmaps/map0031.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/mmaps/map0032.png', 0.45648933107947764
31, 32, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/mmaps/map0032.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/mmaps/map0033.png', 0.45398582681155136
32, 33, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/mmaps/map0033.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/mmaps/map0034.png', 0.42349400664837245
33, 34, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/mmaps/map0034.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/mmaps/map0035.png', 0.418973474879613
34, 35, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/mmaps/map0035.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/mmaps/map0036.png', 0.375190969816237
35, 36, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/mmaps/map0036.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/mmaps/map0037.png', 0.38976451592436834
36, 37, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/mmaps/map0037.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/mmaps/map0038.png', 0.3762634322745444
37, 38, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/mmaps/map0038.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/mmaps/map0039.png', 0.37332558979187896
38, 39, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/mmaps/map0039.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/mmaps/map0040.png', 0.3783086648276196
39, 40, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/mmaps/map0040.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/mmaps/map0041.png', 0.350235400833289
40, 41, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/mmaps/map0041.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/mmaps/map0042.png', 0.3546219478836327
