0, 1, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/2/rgb/rgb0001.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/2/rgb/rgb0002.png', 5.138658366529195
1, 2, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/2/rgb/rgb0002.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/2/rgb/rgb0003.png', 5.263139478966555
2, 3, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/2/rgb/rgb0003.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/2/rgb/rgb0004.png', 5.221140802843722
3, 4, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/2/rgb/rgb0004.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/2/rgb/rgb0005.png', 5.054076514744103
4, 5, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/2/rgb/rgb0005.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/2/rgb/rgb0006.png', 5.3114658384754785
5, 6, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/2/rgb/rgb0006.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/2/rgb/rgb0007.png', 5.210873433046667
6, 7, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/2/rgb/rgb0007.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/2/rgb/rgb0008.png', 4.640166954022764
7, 8, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/2/rgb/rgb0008.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/2/rgb/rgb0009.png', 4.849093694106669
8, 9, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/2/rgb/rgb0009.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/2/rgb/rgb0010.png', 5.000167214261845
9, 10, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/2/rgb/rgb0010.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/2/rgb/rgb0011.png', 4.52820697234226
10, 11, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/2/rgb/rgb0011.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/2/rgb/rgb0012.png', 4.536200545619968
11, 12, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/2/rgb/rgb0012.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/2/rgb/rgb0013.png', 5.033555427434393
12, 13, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/2/rgb/rgb0013.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/2/rgb/rgb0014.png', 4.888415193706193
13, 14, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/2/rgb/rgb0014.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/2/rgb/rgb0015.png', 5.099878275621546
14, 15, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/2/rgb/rgb0015.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/2/rgb/rgb0016.png', 4.876823081803492
15, 16, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/2/rgb/rgb0016.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/2/rgb/rgb0017.png', 4.748972772720671
