0, 1, './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/4/flow_y_00001.png', './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/4/flow_y_00002.png', 6.362211380997327
1, 2, './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/4/flow_y_00002.png', './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/4/flow_y_00003.png', 5.627594203702462
2, 3, './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/4/flow_y_00003.png', './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/4/flow_y_00004.png', 5.025805059856431
3, 4, './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/4/flow_y_00004.png', './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/4/flow_y_00005.png', 4.738774596210061
4, 5, './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/4/flow_y_00005.png', './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/4/flow_y_00006.png', 5.219218328109633
5, 6, './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/4/flow_y_00006.png', './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/4/flow_y_00007.png', 4.6270963449577796
6, 7, './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/4/flow_y_00007.png', './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/4/flow_y_00008.png', 4.236672439944772
7, 8, './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/4/flow_y_00008.png', './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/4/flow_y_00009.png', 4.661005697562692
8, 9, './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/4/flow_y_00009.png', './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/4/flow_y_00010.png', 5.1458156669030855
9, 10, './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/4/flow_y_00010.png', './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/4/flow_y_00011.png', 5.934840173760952
10, 11, './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/4/flow_y_00011.png', './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/4/flow_y_00012.png', 5.4152044975417155
11, 12, './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/4/flow_y_00012.png', './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/4/flow_y_00013.png', 5.151836215696297
12, 13, './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/4/flow_y_00013.png', './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/4/flow_y_00014.png', 5.077819761149383
13, 14, './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/4/flow_y_00014.png', './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/4/flow_y_00015.png', 5.28149357081706
14, 15, './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/4/flow_y_00015.png', './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/4/flow_y_00016.png', 6.062533861335152
15, 16, './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/4/flow_y_00016.png', './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/4/flow_y_00017.png', 6.265914477890327
16, 17, './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/4/flow_y_00017.png', './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/4/flow_y_00018.png', 5.301423803057186
17, 18, './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/4/flow_y_00018.png', './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/4/flow_y_00019.png', 6.303960175894173
18, 19, './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/4/flow_y_00019.png', './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/4/flow_y_00020.png', 6.118440046684184
19, 20, './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/4/flow_y_00020.png', './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/4/flow_y_00021.png', 5.774774404360045
20, 21, './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/4/flow_y_00021.png', './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/4/flow_y_00022.png', 5.015559557860573
21, 22, './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/4/flow_y_00022.png', './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/4/flow_y_00023.png', 5.000454771556944
22, 23, './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/4/flow_y_00023.png', './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/4/flow_y_00024.png', 5.057321895123568
23, 24, './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/4/flow_y_00024.png', './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/4/flow_y_00025.png', 5.46354071387486
24, 25, './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/4/flow_y_00025.png', './GTEA61/flow_y_processed/S1/scoop_coffee,spoon/4/flow_y_00026.png', 5.095959010801254
