0, 1, './GTEA61/flow_x_processed/S3/pour_chocolate,bread/1/flow_x_00001.png', './GTEA61/flow_x_processed/S3/pour_chocolate,bread/1/flow_x_00002.png', 4.5987211259436975
1, 2, './GTEA61/flow_x_processed/S3/pour_chocolate,bread/1/flow_x_00002.png', './GTEA61/flow_x_processed/S3/pour_chocolate,bread/1/flow_x_00003.png', 5.47422241374414
2, 3, './GTEA61/flow_x_processed/S3/pour_chocolate,bread/1/flow_x_00003.png', './GTEA61/flow_x_processed/S3/pour_chocolate,bread/1/flow_x_00004.png', 6.009836712720153
3, 4, './GTEA61/flow_x_processed/S3/pour_chocolate,bread/1/flow_x_00004.png', './GTEA61/flow_x_processed/S3/pour_chocolate,bread/1/flow_x_00005.png', 6.265771623521467
4, 5, './GTEA61/flow_x_processed/S3/pour_chocolate,bread/1/flow_x_00005.png', './GTEA61/flow_x_processed/S3/pour_chocolate,bread/1/flow_x_00006.png', 4.838385217901661
5, 6, './GTEA61/flow_x_processed/S3/pour_chocolate,bread/1/flow_x_00006.png', './GTEA61/flow_x_processed/S3/pour_chocolate,bread/1/flow_x_00007.png', 4.664106428996292
6, 7, './GTEA61/flow_x_processed/S3/pour_chocolate,bread/1/flow_x_00007.png', './GTEA61/flow_x_processed/S3/pour_chocolate,bread/1/flow_x_00008.png', 4.57652177907928
7, 8, './GTEA61/flow_x_processed/S3/pour_chocolate,bread/1/flow_x_00008.png', './GTEA61/flow_x_processed/S3/pour_chocolate,bread/1/flow_x_00009.png', 4.534561995493582
8, 9, './GTEA61/flow_x_processed/S3/pour_chocolate,bread/1/flow_x_00009.png', './GTEA61/flow_x_processed/S3/pour_chocolate,bread/1/flow_x_00010.png', 5.055435538442703
9, 10, './GTEA61/flow_x_processed/S3/pour_chocolate,bread/1/flow_x_00010.png', './GTEA61/flow_x_processed/S3/pour_chocolate,bread/1/flow_x_00011.png', 4.38830306223533
10, 11, './GTEA61/flow_x_processed/S3/pour_chocolate,bread/1/flow_x_00011.png', './GTEA61/flow_x_processed/S3/pour_chocolate,bread/1/flow_x_00012.png', 4.379469756818606
11, 12, './GTEA61/flow_x_processed/S3/pour_chocolate,bread/1/flow_x_00012.png', './GTEA61/flow_x_processed/S3/pour_chocolate,bread/1/flow_x_00013.png', 4.011767176600528
12, 13, './GTEA61/flow_x_processed/S3/pour_chocolate,bread/1/flow_x_00013.png', './GTEA61/flow_x_processed/S3/pour_chocolate,bread/1/flow_x_00014.png', 4.067680423821261
13, 14, './GTEA61/flow_x_processed/S3/pour_chocolate,bread/1/flow_x_00014.png', './GTEA61/flow_x_processed/S3/pour_chocolate,bread/1/flow_x_00015.png', 4.239247934767293
14, 15, './GTEA61/flow_x_processed/S3/pour_chocolate,bread/1/flow_x_00015.png', './GTEA61/flow_x_processed/S3/pour_chocolate,bread/1/flow_x_00016.png', 4.872691316601904
15, 16, './GTEA61/flow_x_processed/S3/pour_chocolate,bread/1/flow_x_00016.png', './GTEA61/flow_x_processed/S3/pour_chocolate,bread/1/flow_x_00017.png', 5.246760437972022
16, 17, './GTEA61/flow_x_processed/S3/pour_chocolate,bread/1/flow_x_00017.png', './GTEA61/flow_x_processed/S3/pour_chocolate,bread/1/flow_x_00018.png', 4.613562627814276
17, 18, './GTEA61/flow_x_processed/S3/pour_chocolate,bread/1/flow_x_00018.png', './GTEA61/flow_x_processed/S3/pour_chocolate,bread/1/flow_x_00019.png', 4.659848121995303
