0, 1, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0001.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0002.png', 0.3730088755869549
1, 2, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0002.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0003.png', 0.25485727138365755
2, 3, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0003.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0004.png', 0.2113980948753528
3, 4, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0004.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0005.png', 0.23311632984734565
4, 5, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0005.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0006.png', 0.22776788469449366
5, 6, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0006.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0007.png', 0.17344656924358243
6, 7, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0007.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0008.png', 0.19853399217653053
7, 8, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0008.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0009.png', 0.1813329231487666
8, 9, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0009.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0010.png', 0.1803153491133159
9, 10, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0010.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0011.png', 0.5698461303328985
10, 11, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0011.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0012.png', 0.4309379887560836
11, 12, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0012.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0013.png', 0.328030814707734
12, 13, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0013.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0014.png', 0.22281524945166115
13, 14, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0014.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0015.png', 0.22452536246000887
14, 15, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0015.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0016.png', 0.2722615531728598
15, 16, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0016.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0017.png', 0.16784345447504684
16, 17, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0017.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0018.png', 0.18704520950675496
17, 18, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0018.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0019.png', 0.16428450988944918
18, 19, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0019.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0020.png', 0.23551223603003868
19, 20, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0020.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0021.png', 0.23841333352234556
20, 21, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0021.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0022.png', 0.2831789616510759
21, 22, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0022.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0023.png', 0.25899992110808506
22, 23, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0023.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0024.png', 0.3285072955634827
23, 24, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0024.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0025.png', 0.3209078606475973
24, 25, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0025.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0026.png', 0.28821762430438685
25, 26, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0026.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0027.png', 0.3034380689396425
26, 27, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0027.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0028.png', 0.2607934365404837
27, 28, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0028.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0029.png', 0.2786515515298266
28, 29, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0029.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0030.png', 0.3773026100021126
29, 30, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0030.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0031.png', 0.3317647154844846
30, 31, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0031.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0032.png', 0.35852425911096675
31, 32, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0032.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0033.png', 0.3242398958003224
32, 33, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0033.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0034.png', 0.2947623389581825
33, 34, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0034.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0035.png', 0.3415685670371239
34, 35, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0035.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0036.png', 0.386703010095573
35, 36, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0036.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0037.png', 0.3565761437778759
36, 37, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0037.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0038.png', 0.2939346529526359
37, 38, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0038.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0039.png', 0.36069252093638016
38, 39, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0039.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0040.png', 0.33993418533696496
39, 40, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0040.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0041.png', 0.31821529768323314
40, 41, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0041.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0042.png', 0.35946368117398314
41, 42, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0042.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0043.png', 0.32420563698181126
42, 43, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0043.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0044.png', 0.3080287065376581
43, 44, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0044.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0045.png', 0.3039341214650326
44, 45, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0045.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0046.png', 0.32156195349260125
45, 46, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0046.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0047.png', 0.3463799895567634
