0, 1, './GTEA61/flow_x_processed/S3/put_bread,bread/2/flow_x_00001.png', './GTEA61/flow_x_processed/S3/put_bread,bread/2/flow_x_00002.png', 6.4260546998519015
1, 2, './GTEA61/flow_x_processed/S3/put_bread,bread/2/flow_x_00002.png', './GTEA61/flow_x_processed/S3/put_bread,bread/2/flow_x_00003.png', 5.976000815187491
2, 3, './GTEA61/flow_x_processed/S3/put_bread,bread/2/flow_x_00003.png', './GTEA61/flow_x_processed/S3/put_bread,bread/2/flow_x_00004.png', 5.442430269890023
3, 4, './GTEA61/flow_x_processed/S3/put_bread,bread/2/flow_x_00004.png', './GTEA61/flow_x_processed/S3/put_bread,bread/2/flow_x_00005.png', 5.091247133242382
4, 5, './GTEA61/flow_x_processed/S3/put_bread,bread/2/flow_x_00005.png', './GTEA61/flow_x_processed/S3/put_bread,bread/2/flow_x_00006.png', 4.929609039898328
5, 6, './GTEA61/flow_x_processed/S3/put_bread,bread/2/flow_x_00006.png', './GTEA61/flow_x_processed/S3/put_bread,bread/2/flow_x_00007.png', 5.823108298746573
6, 7, './GTEA61/flow_x_processed/S3/put_bread,bread/2/flow_x_00007.png', './GTEA61/flow_x_processed/S3/put_bread,bread/2/flow_x_00008.png', 5.545022628269216
7, 8, './GTEA61/flow_x_processed/S3/put_bread,bread/2/flow_x_00008.png', './GTEA61/flow_x_processed/S3/put_bread,bread/2/flow_x_00009.png', 4.284303035577898
8, 9, './GTEA61/flow_x_processed/S3/put_bread,bread/2/flow_x_00009.png', './GTEA61/flow_x_processed/S3/put_bread,bread/2/flow_x_00010.png', 4.444266214615477
9, 10, './GTEA61/flow_x_processed/S3/put_bread,bread/2/flow_x_00010.png', './GTEA61/flow_x_processed/S3/put_bread,bread/2/flow_x_00011.png', 3.905695863589688
10, 11, './GTEA61/flow_x_processed/S3/put_bread,bread/2/flow_x_00011.png', './GTEA61/flow_x_processed/S3/put_bread,bread/2/flow_x_00012.png', 4.271002629255807
11, 12, './GTEA61/flow_x_processed/S3/put_bread,bread/2/flow_x_00012.png', './GTEA61/flow_x_processed/S3/put_bread,bread/2/flow_x_00013.png', 4.717859432199605
12, 13, './GTEA61/flow_x_processed/S3/put_bread,bread/2/flow_x_00013.png', './GTEA61/flow_x_processed/S3/put_bread,bread/2/flow_x_00014.png', 5.090263622815376
13, 14, './GTEA61/flow_x_processed/S3/put_bread,bread/2/flow_x_00014.png', './GTEA61/flow_x_processed/S3/put_bread,bread/2/flow_x_00015.png', 4.701268488006559
14, 15, './GTEA61/flow_x_processed/S3/put_bread,bread/2/flow_x_00015.png', './GTEA61/flow_x_processed/S3/put_bread,bread/2/flow_x_00016.png', 4.091715640765694
15, 16, './GTEA61/flow_x_processed/S3/put_bread,bread/2/flow_x_00016.png', './GTEA61/flow_x_processed/S3/put_bread,bread/2/flow_x_00017.png', 4.079313210295292
