0, 1, './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00001.png', './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00002.png', 5.630204834466164
1, 2, './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00002.png', './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00003.png', 5.03747210149118
2, 3, './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00003.png', './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00004.png', 4.798807089466329
3, 4, './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00004.png', './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00005.png', 5.15083895754449
4, 5, './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00005.png', './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00006.png', 4.573751433847665
5, 6, './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00006.png', './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00007.png', 4.672491125253014
6, 7, './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00007.png', './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00008.png', 4.499787969173397
7, 8, './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00008.png', './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00009.png', 4.335663820398149
8, 9, './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00009.png', './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00010.png', 5.254912576664721
9, 10, './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00010.png', './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00011.png', 4.360276757269573
10, 11, './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00011.png', './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00012.png', 3.5634824780339724
11, 12, './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00012.png', './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00013.png', 3.654004792479491
12, 13, './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00013.png', './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00014.png', 3.8213483979999068
13, 14, './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00014.png', './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00015.png', 3.6284894800611873
14, 15, './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00015.png', './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00016.png', 4.134517280393066
15, 16, './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00016.png', './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00017.png', 3.5161169521471693
16, 17, './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00017.png', './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00018.png', 3.1522216285752944
17, 18, './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00018.png', './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00019.png', 3.391087729439724
18, 19, './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00019.png', './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00020.png', 4.802510494432288
19, 20, './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00020.png', './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00021.png', 4.837302556768628
20, 21, './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00021.png', './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00022.png', 3.697011534759832
21, 22, './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00022.png', './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00023.png', 4.538800003694242
22, 23, './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00023.png', './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00024.png', 3.6417765090923813
23, 24, './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00024.png', './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00025.png', 4.502325444943811
24, 25, './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00025.png', './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00026.png', 4.750149430804275
25, 26, './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00026.png', './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00027.png', 4.945344845261909
26, 27, './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00027.png', './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00028.png', 4.671838775744487
27, 28, './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00028.png', './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00029.png', 4.986180335385015
28, 29, './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00029.png', './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00030.png', 4.066465683274713
29, 30, './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00030.png', './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00031.png', 4.083812930470578
30, 31, './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00031.png', './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00032.png', 4.262655511266699
31, 32, './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00032.png', './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00033.png', 4.532174871792391
32, 33, './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00033.png', './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00034.png', 4.834765904004824
33, 34, './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00034.png', './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00035.png', 5.048949783724377
34, 35, './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00035.png', './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00036.png', 3.997680968475687
35, 36, './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00036.png', './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00037.png', 4.647019270649197
36, 37, './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00037.png', './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00038.png', 4.044639760784766
37, 38, './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00038.png', './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00039.png', 3.8555425340648775
38, 39, './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00039.png', './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00040.png', 4.149306351320462
39, 40, './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00040.png', './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00041.png', 3.4727781926566017
40, 41, './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00041.png', './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00042.png', 3.6347720839757707
41, 42, './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00042.png', './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00043.png', 4.2809829026476995
42, 43, './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00043.png', './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00044.png', 4.940713041837039
43, 44, './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00044.png', './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00045.png', 3.3203041183864843
44, 45, './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00045.png', './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00046.png', 3.6171875044071298
45, 46, './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00046.png', './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00047.png', 4.119015978001385
46, 47, './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00047.png', './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00048.png', 3.6387390340147228
47, 48, './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00048.png', './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00049.png', 3.4455613902266213
48, 49, './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00049.png', './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00050.png', 4.157731683428854
49, 50, './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00050.png', './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00051.png', 4.348267847653946
50, 51, './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00051.png', './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00052.png', 4.044579747656043
51, 52, './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00052.png', './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00053.png', 4.503416665290483
52, 53, './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00053.png', './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00054.png', 5.360606191257953
53, 54, './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00054.png', './GTEA61/flow_y_processed/S2/pour_ketchup,hotdog,bread/1/flow_y_00055.png', 5.029248043219751
