0, 1, './GTEA61/flow_y_processed/S2/pour_coffee,spoon,cup/3/flow_y_00001.png', './GTEA61/flow_y_processed/S2/pour_coffee,spoon,cup/3/flow_y_00002.png', 5.375370111194932
1, 2, './GTEA61/flow_y_processed/S2/pour_coffee,spoon,cup/3/flow_y_00002.png', './GTEA61/flow_y_processed/S2/pour_coffee,spoon,cup/3/flow_y_00003.png', 4.027102201762961
2, 3, './GTEA61/flow_y_processed/S2/pour_coffee,spoon,cup/3/flow_y_00003.png', './GTEA61/flow_y_processed/S2/pour_coffee,spoon,cup/3/flow_y_00004.png', 5.874554906675634
3, 4, './GTEA61/flow_y_processed/S2/pour_coffee,spoon,cup/3/flow_y_00004.png', './GTEA61/flow_y_processed/S2/pour_coffee,spoon,cup/3/flow_y_00005.png', 3.8415234551965134
4, 5, './GTEA61/flow_y_processed/S2/pour_coffee,spoon,cup/3/flow_y_00005.png', './GTEA61/flow_y_processed/S2/pour_coffee,spoon,cup/3/flow_y_00006.png', 4.165682136205282
5, 6, './GTEA61/flow_y_processed/S2/pour_coffee,spoon,cup/3/flow_y_00006.png', './GTEA61/flow_y_processed/S2/pour_coffee,spoon,cup/3/flow_y_00007.png', 3.828721891131379
6, 7, './GTEA61/flow_y_processed/S2/pour_coffee,spoon,cup/3/flow_y_00007.png', './GTEA61/flow_y_processed/S2/pour_coffee,spoon,cup/3/flow_y_00008.png', 4.4900838602054005
7, 8, './GTEA61/flow_y_processed/S2/pour_coffee,spoon,cup/3/flow_y_00008.png', './GTEA61/flow_y_processed/S2/pour_coffee,spoon,cup/3/flow_y_00009.png', 4.639802786963935
8, 9, './GTEA61/flow_y_processed/S2/pour_coffee,spoon,cup/3/flow_y_00009.png', './GTEA61/flow_y_processed/S2/pour_coffee,spoon,cup/3/flow_y_00010.png', 6.076141325575933
9, 10, './GTEA61/flow_y_processed/S2/pour_coffee,spoon,cup/3/flow_y_00010.png', './GTEA61/flow_y_processed/S2/pour_coffee,spoon,cup/3/flow_y_00011.png', 6.365934184326535
10, 11, './GTEA61/flow_y_processed/S2/pour_coffee,spoon,cup/3/flow_y_00011.png', './GTEA61/flow_y_processed/S2/pour_coffee,spoon,cup/3/flow_y_00012.png', 6.050756947866883
11, 12, './GTEA61/flow_y_processed/S2/pour_coffee,spoon,cup/3/flow_y_00012.png', './GTEA61/flow_y_processed/S2/pour_coffee,spoon,cup/3/flow_y_00013.png', 5.602014433598223
12, 13, './GTEA61/flow_y_processed/S2/pour_coffee,spoon,cup/3/flow_y_00013.png', './GTEA61/flow_y_processed/S2/pour_coffee,spoon,cup/3/flow_y_00014.png', 5.969345484564375
13, 14, './GTEA61/flow_y_processed/S2/pour_coffee,spoon,cup/3/flow_y_00014.png', './GTEA61/flow_y_processed/S2/pour_coffee,spoon,cup/3/flow_y_00015.png', 6.1127962231787825
14, 15, './GTEA61/flow_y_processed/S2/pour_coffee,spoon,cup/3/flow_y_00015.png', './GTEA61/flow_y_processed/S2/pour_coffee,spoon,cup/3/flow_y_00016.png', 5.058430293987875
15, 16, './GTEA61/flow_y_processed/S2/pour_coffee,spoon,cup/3/flow_y_00016.png', './GTEA61/flow_y_processed/S2/pour_coffee,spoon,cup/3/flow_y_00017.png', 6.159836374908844
16, 17, './GTEA61/flow_y_processed/S2/pour_coffee,spoon,cup/3/flow_y_00017.png', './GTEA61/flow_y_processed/S2/pour_coffee,spoon,cup/3/flow_y_00018.png', 6.329508418410046
17, 18, './GTEA61/flow_y_processed/S2/pour_coffee,spoon,cup/3/flow_y_00018.png', './GTEA61/flow_y_processed/S2/pour_coffee,spoon,cup/3/flow_y_00019.png', 5.514298340073734
18, 19, './GTEA61/flow_y_processed/S2/pour_coffee,spoon,cup/3/flow_y_00019.png', './GTEA61/flow_y_processed/S2/pour_coffee,spoon,cup/3/flow_y_00020.png', 5.381532960874242
