0, 1, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0001.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0002.png', 5.05611928206487
1, 2, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0002.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0003.png', 4.960557933502837
2, 3, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0003.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0004.png', 4.971021566975688
3, 4, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0004.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0005.png', 5.029745002539209
4, 5, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0005.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0006.png', 5.250579847760587
5, 6, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0006.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0007.png', 5.119111982541469
6, 7, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0007.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0008.png', 5.149525666053236
7, 8, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0008.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0009.png', 5.087159400305775
8, 9, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0009.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0010.png', 4.99666885553154
9, 10, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0010.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0011.png', 4.5382151414355265
10, 11, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0011.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0012.png', 4.753715689708371
11, 12, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0012.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0013.png', 4.534309812584629
12, 13, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0013.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0014.png', 4.603813374447697
13, 14, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0014.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0015.png', 5.1271388525286286
