0, 1, './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0001.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0002.png', 0.26296107931458457
1, 2, './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0002.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0003.png', 0.1946759358512049
2, 3, './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0003.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0004.png', 0.20159964677239267
3, 4, './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0004.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0005.png', 0.18410943650855274
4, 5, './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0005.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0006.png', 0.14548979513333618
5, 6, './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0006.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0007.png', 0.14145982339163435
6, 7, './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0007.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0008.png', 0.14957742121646947
7, 8, './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0008.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0009.png', 0.15400249441777195
8, 9, './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0009.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0010.png', 0.1481558236095471
9, 10, './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0010.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0011.png', 0.3822857034548911
10, 11, './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0011.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0012.png', 0.31505892434291005
11, 12, './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0012.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0013.png', 0.199898761934173
12, 13, './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0013.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0014.png', 0.21326959576098722
13, 14, './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0014.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0015.png', 0.2221623523092358
14, 15, './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0015.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0016.png', 0.22643268604323852
15, 16, './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0016.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0017.png', 0.1870015193837551
16, 17, './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0017.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0018.png', 0.16083659285745053
17, 18, './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0018.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0019.png', 0.15870903493260236
18, 19, './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0019.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0020.png', 0.1709694686771839
19, 20, './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0020.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0021.png', 0.18918135004568437
20, 21, './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0021.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0022.png', 0.1872636026265703
21, 22, './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0022.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0023.png', 0.19810675574267908
22, 23, './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0023.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0024.png', 0.21285427849606342
23, 24, './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0024.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0025.png', 0.20215122878144687
24, 25, './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0025.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0026.png', 0.19390080253973585
25, 26, './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0026.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0027.png', 0.16410126693754196
26, 27, './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0027.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0028.png', 0.1947189641080614
27, 28, './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0028.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0029.png', 0.20490035901529538
28, 29, './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0029.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0030.png', 0.22493173758812765
29, 30, './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0030.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0031.png', 0.1803153491133159
30, 31, './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0031.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0032.png', 0.21781678961135495
31, 32, './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0032.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0033.png', 0.223426624747477
32, 33, './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0033.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0034.png', 0.18159802986772286
33, 34, './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0034.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0035.png', 0.16180460401038899
34, 35, './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0035.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0036.png', 0.17898488515736807
35, 36, './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0036.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0037.png', 0.1678889070910895
36, 37, './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0037.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0038.png', 0.1578738114321606
37, 38, './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0038.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0039.png', 0.17787338133660946
38, 39, './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0039.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0040.png', 0.16716113774205305
39, 40, './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0040.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0041.png', 0.12928340574099045
40, 41, './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0041.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0042.png', 0.14881980630547625
41, 42, './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0042.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0043.png', 0.12055379851883796
42, 43, './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0043.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0044.png', 0.12181994839824029
43, 44, './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0044.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0045.png', 0.14419854043456756
44, 45, './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0045.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0046.png', 0.1467296150824741
45, 46, './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0046.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0047.png', 0.16547383566303206
46, 47, './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0047.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0048.png', 0.13249654382244086
47, 48, './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0048.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0049.png', 0.12784163769004614
48, 49, './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0049.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0050.png', 0.1769823419242083
49, 50, './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0050.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0051.png', 0.17982793356164592
50, 51, './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0051.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0052.png', 0.15694398535064663
51, 52, './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0052.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0053.png', 0.16738868668332935
52, 53, './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0053.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0054.png', 0.1535807097601434
53, 54, './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0054.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0055.png', 0.16483380644050533
54, 55, './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0055.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0056.png', 0.17840722041526322
55, 56, './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0056.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0057.png', 0.1580595488970501
56, 57, './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0057.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/2/mmaps/map0058.png', 0.17236723336772863
