0, 1, './GTEA61/flow_y_processed/S2/pour_coffee,spoon,cup/4/flow_y_00001.png', './GTEA61/flow_y_processed/S2/pour_coffee,spoon,cup/4/flow_y_00002.png', 3.3377042402331503
1, 2, './GTEA61/flow_y_processed/S2/pour_coffee,spoon,cup/4/flow_y_00002.png', './GTEA61/flow_y_processed/S2/pour_coffee,spoon,cup/4/flow_y_00003.png', 3.7396494057502268
2, 3, './GTEA61/flow_y_processed/S2/pour_coffee,spoon,cup/4/flow_y_00003.png', './GTEA61/flow_y_processed/S2/pour_coffee,spoon,cup/4/flow_y_00004.png', 4.761739667591066
3, 4, './GTEA61/flow_y_processed/S2/pour_coffee,spoon,cup/4/flow_y_00004.png', './GTEA61/flow_y_processed/S2/pour_coffee,spoon,cup/4/flow_y_00005.png', 4.152286552540482
4, 5, './GTEA61/flow_y_processed/S2/pour_coffee,spoon,cup/4/flow_y_00005.png', './GTEA61/flow_y_processed/S2/pour_coffee,spoon,cup/4/flow_y_00006.png', 4.251510121975849
5, 6, './GTEA61/flow_y_processed/S2/pour_coffee,spoon,cup/4/flow_y_00006.png', './GTEA61/flow_y_processed/S2/pour_coffee,spoon,cup/4/flow_y_00007.png', 4.122526373430075
6, 7, './GTEA61/flow_y_processed/S2/pour_coffee,spoon,cup/4/flow_y_00007.png', './GTEA61/flow_y_processed/S2/pour_coffee,spoon,cup/4/flow_y_00008.png', 4.122809868457559
7, 8, './GTEA61/flow_y_processed/S2/pour_coffee,spoon,cup/4/flow_y_00008.png', './GTEA61/flow_y_processed/S2/pour_coffee,spoon,cup/4/flow_y_00009.png', 4.167498588596834
8, 9, './GTEA61/flow_y_processed/S2/pour_coffee,spoon,cup/4/flow_y_00009.png', './GTEA61/flow_y_processed/S2/pour_coffee,spoon,cup/4/flow_y_00010.png', 4.660667807219451
9, 10, './GTEA61/flow_y_processed/S2/pour_coffee,spoon,cup/4/flow_y_00010.png', './GTEA61/flow_y_processed/S2/pour_coffee,spoon,cup/4/flow_y_00011.png', 5.23155520072223
10, 11, './GTEA61/flow_y_processed/S2/pour_coffee,spoon,cup/4/flow_y_00011.png', './GTEA61/flow_y_processed/S2/pour_coffee,spoon,cup/4/flow_y_00012.png', 5.177286848610582
11, 12, './GTEA61/flow_y_processed/S2/pour_coffee,spoon,cup/4/flow_y_00012.png', './GTEA61/flow_y_processed/S2/pour_coffee,spoon,cup/4/flow_y_00013.png', 5.23342082622308
12, 13, './GTEA61/flow_y_processed/S2/pour_coffee,spoon,cup/4/flow_y_00013.png', './GTEA61/flow_y_processed/S2/pour_coffee,spoon,cup/4/flow_y_00014.png', 5.2177800773769825
13, 14, './GTEA61/flow_y_processed/S2/pour_coffee,spoon,cup/4/flow_y_00014.png', './GTEA61/flow_y_processed/S2/pour_coffee,spoon,cup/4/flow_y_00015.png', 4.983095703501621
14, 15, './GTEA61/flow_y_processed/S2/pour_coffee,spoon,cup/4/flow_y_00015.png', './GTEA61/flow_y_processed/S2/pour_coffee,spoon,cup/4/flow_y_00016.png', 4.434612229807065
15, 16, './GTEA61/flow_y_processed/S2/pour_coffee,spoon,cup/4/flow_y_00016.png', './GTEA61/flow_y_processed/S2/pour_coffee,spoon,cup/4/flow_y_00017.png', 5.213314768431293
16, 17, './GTEA61/flow_y_processed/S2/pour_coffee,spoon,cup/4/flow_y_00017.png', './GTEA61/flow_y_processed/S2/pour_coffee,spoon,cup/4/flow_y_00018.png', 4.91919220166389
17, 18, './GTEA61/flow_y_processed/S2/pour_coffee,spoon,cup/4/flow_y_00018.png', './GTEA61/flow_y_processed/S2/pour_coffee,spoon,cup/4/flow_y_00019.png', 4.1138243664939145
18, 19, './GTEA61/flow_y_processed/S2/pour_coffee,spoon,cup/4/flow_y_00019.png', './GTEA61/flow_y_processed/S2/pour_coffee,spoon,cup/4/flow_y_00020.png', 5.111729165976609
19, 20, './GTEA61/flow_y_processed/S2/pour_coffee,spoon,cup/4/flow_y_00020.png', './GTEA61/flow_y_processed/S2/pour_coffee,spoon,cup/4/flow_y_00021.png', 4.286977709938983
20, 21, './GTEA61/flow_y_processed/S2/pour_coffee,spoon,cup/4/flow_y_00021.png', './GTEA61/flow_y_processed/S2/pour_coffee,spoon,cup/4/flow_y_00022.png', 5.20926680838538
21, 22, './GTEA61/flow_y_processed/S2/pour_coffee,spoon,cup/4/flow_y_00022.png', './GTEA61/flow_y_processed/S2/pour_coffee,spoon,cup/4/flow_y_00023.png', 5.250946571550165
22, 23, './GTEA61/flow_y_processed/S2/pour_coffee,spoon,cup/4/flow_y_00023.png', './GTEA61/flow_y_processed/S2/pour_coffee,spoon,cup/4/flow_y_00024.png', 6.269195200997284
