0, 1, './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/3/flow_x_00001.png', './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/3/flow_x_00002.png', 5.897450074248776
1, 2, './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/3/flow_x_00002.png', './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/3/flow_x_00003.png', 6.1882427307400985
2, 3, './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/3/flow_x_00003.png', './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/3/flow_x_00004.png', 5.328127108574787
3, 4, './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/3/flow_x_00004.png', './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/3/flow_x_00005.png', 4.33372748474332
4, 5, './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/3/flow_x_00005.png', './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/3/flow_x_00006.png', 4.14155518890635
5, 6, './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/3/flow_x_00006.png', './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/3/flow_x_00007.png', 4.1555294459625784
6, 7, './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/3/flow_x_00007.png', './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/3/flow_x_00008.png', 4.532670495539065
7, 8, './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/3/flow_x_00008.png', './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/3/flow_x_00009.png', 4.606729966184146
8, 9, './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/3/flow_x_00009.png', './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/3/flow_x_00010.png', 4.686648796297448
9, 10, './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/3/flow_x_00010.png', './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/3/flow_x_00011.png', 4.742721780594998
10, 11, './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/3/flow_x_00011.png', './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/3/flow_x_00012.png', 4.770181597873267
11, 12, './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/3/flow_x_00012.png', './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/3/flow_x_00013.png', 5.139832735120027
12, 13, './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/3/flow_x_00013.png', './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/3/flow_x_00014.png', 3.9395624827948823
13, 14, './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/3/flow_x_00014.png', './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/3/flow_x_00015.png', 4.787922622244782
14, 15, './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/3/flow_x_00015.png', './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/3/flow_x_00016.png', 5.577539308484279
15, 16, './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/3/flow_x_00016.png', './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/3/flow_x_00017.png', 5.888622033601837
16, 17, './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/3/flow_x_00017.png', './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/3/flow_x_00018.png', 5.334514944115197
17, 18, './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/3/flow_x_00018.png', './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/3/flow_x_00019.png', 5.152710996457589
18, 19, './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/3/flow_x_00019.png', './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/3/flow_x_00020.png', 4.8119147355566225
19, 20, './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/3/flow_x_00020.png', './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/3/flow_x_00021.png', 5.0604444882272475
20, 21, './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/3/flow_x_00021.png', './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/3/flow_x_00022.png', 4.586797311913502
21, 22, './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/3/flow_x_00022.png', './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/3/flow_x_00023.png', 5.209787215681327
22, 23, './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/3/flow_x_00023.png', './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/3/flow_x_00024.png', 4.250166547257114
23, 24, './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/3/flow_x_00024.png', './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/3/flow_x_00025.png', 4.749353102584419
24, 25, './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/3/flow_x_00025.png', './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/3/flow_x_00026.png', 4.459137624890727
25, 26, './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/3/flow_x_00026.png', './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/3/flow_x_00027.png', 4.884623861357779
26, 27, './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/3/flow_x_00027.png', './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/3/flow_x_00028.png', 4.994810129303811
27, 28, './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/3/flow_x_00028.png', './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/3/flow_x_00029.png', 4.557477125926735
28, 29, './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/3/flow_x_00029.png', './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/3/flow_x_00030.png', 4.789478753262424
29, 30, './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/3/flow_x_00030.png', './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/3/flow_x_00031.png', 4.532949657412177
30, 31, './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/3/flow_x_00031.png', './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/3/flow_x_00032.png', 4.057916699686861
31, 32, './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/3/flow_x_00032.png', './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/3/flow_x_00033.png', 4.503870536417934
32, 33, './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/3/flow_x_00033.png', './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/3/flow_x_00034.png', 4.8344210003692805
33, 34, './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/3/flow_x_00034.png', './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/3/flow_x_00035.png', 4.342923064576733
34, 35, './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/3/flow_x_00035.png', './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/3/flow_x_00036.png', 4.327514533597064
35, 36, './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/3/flow_x_00036.png', './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/3/flow_x_00037.png', 4.3739234661744035
36, 37, './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/3/flow_x_00037.png', './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/3/flow_x_00038.png', 4.767902555819608
37, 38, './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/3/flow_x_00038.png', './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/3/flow_x_00039.png', 4.644603858797904
38, 39, './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/3/flow_x_00039.png', './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/3/flow_x_00040.png', 5.270849505339061
39, 40, './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/3/flow_x_00040.png', './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/3/flow_x_00041.png', 4.689235536057086
40, 41, './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/3/flow_x_00041.png', './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/3/flow_x_00042.png', 4.055099824286967
41, 42, './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/3/flow_x_00042.png', './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/3/flow_x_00043.png', 4.751656018943664
42, 43, './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/3/flow_x_00043.png', './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/3/flow_x_00044.png', 5.326223299461608
43, 44, './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/3/flow_x_00044.png', './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/3/flow_x_00045.png', 5.704036033325091
44, 45, './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/3/flow_x_00045.png', './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/3/flow_x_00046.png', 5.533139595637114
45, 46, './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/3/flow_x_00046.png', './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/3/flow_x_00047.png', 5.6078848174126765
46, 47, './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/3/flow_x_00047.png', './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/3/flow_x_00048.png', 4.091883645288768
