0, 1, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/2/rgb/rgb0001.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/2/rgb/rgb0002.png', 4.923693264341477
1, 2, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/2/rgb/rgb0002.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/2/rgb/rgb0003.png', 5.255691294854089
2, 3, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/2/rgb/rgb0003.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/2/rgb/rgb0004.png', 5.129712331024516
3, 4, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/2/rgb/rgb0004.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/2/rgb/rgb0005.png', 4.725443436004194
4, 5, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/2/rgb/rgb0005.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/2/rgb/rgb0006.png', 5.049105155545044
5, 6, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/2/rgb/rgb0006.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/2/rgb/rgb0007.png', 5.296211594645984
6, 7, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/2/rgb/rgb0007.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/2/rgb/rgb0008.png', 5.058323725665099
7, 8, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/2/rgb/rgb0008.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/2/rgb/rgb0009.png', 5.099281149738371
8, 9, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/2/rgb/rgb0009.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/2/rgb/rgb0010.png', 4.93245514969255
9, 10, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/2/rgb/rgb0010.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/2/rgb/rgb0011.png', 5.028635637505187
10, 11, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/2/rgb/rgb0011.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/2/rgb/rgb0012.png', 5.041922002772602
11, 12, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/2/rgb/rgb0012.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/2/rgb/rgb0013.png', 5.428210454795155
12, 13, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/2/rgb/rgb0013.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/2/rgb/rgb0014.png', 5.233732828763736
13, 14, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/2/rgb/rgb0014.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/2/rgb/rgb0015.png', 5.180639768426947
14, 15, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/2/rgb/rgb0015.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/2/rgb/rgb0016.png', 5.249579865163981
15, 16, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/2/rgb/rgb0016.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/2/rgb/rgb0017.png', 4.911181008313623
16, 17, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/2/rgb/rgb0017.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/2/rgb/rgb0018.png', 4.748794558642615
17, 18, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/2/rgb/rgb0018.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/2/rgb/rgb0019.png', 5.34814059304405
18, 19, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/2/rgb/rgb0019.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/2/rgb/rgb0020.png', 4.863958847734965
19, 20, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/2/rgb/rgb0020.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/2/rgb/rgb0021.png', 4.657069001046152
20, 21, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/2/rgb/rgb0021.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/2/rgb/rgb0022.png', 4.648575910428294
21, 22, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/2/rgb/rgb0022.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/2/rgb/rgb0023.png', 4.911331862270622
22, 23, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/2/rgb/rgb0023.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/2/rgb/rgb0024.png', 4.363073912386344
23, 24, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/2/rgb/rgb0024.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/2/rgb/rgb0025.png', 4.618099910433474
24, 25, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/2/rgb/rgb0025.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/2/rgb/rgb0026.png', 4.917119265840067
25, 26, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/2/rgb/rgb0026.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/2/rgb/rgb0027.png', 4.767158456197027
26, 27, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/2/rgb/rgb0027.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/2/rgb/rgb0028.png', 4.7387314273844465
27, 28, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/2/rgb/rgb0028.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/2/rgb/rgb0029.png', 4.787334032798444
28, 29, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/2/rgb/rgb0029.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/2/rgb/rgb0030.png', 4.750418526205903
29, 30, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/2/rgb/rgb0030.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/2/rgb/rgb0031.png', 4.627076044959872
30, 31, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/2/rgb/rgb0031.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/2/rgb/rgb0032.png', 4.699206192222178
31, 32, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/2/rgb/rgb0032.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/2/rgb/rgb0033.png', 4.105221036351766
32, 33, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/2/rgb/rgb0033.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/2/rgb/rgb0034.png', 4.675202622991996
33, 34, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/2/rgb/rgb0034.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/2/rgb/rgb0035.png', 4.20122907263241
34, 35, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/2/rgb/rgb0035.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/2/rgb/rgb0036.png', 4.505162889398876
35, 36, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/2/rgb/rgb0036.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/2/rgb/rgb0037.png', 4.920255617336712
36, 37, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/2/rgb/rgb0037.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/2/rgb/rgb0038.png', 4.487640360019912
37, 38, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/2/rgb/rgb0038.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/2/rgb/rgb0039.png', 3.710725109603692
38, 39, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/2/rgb/rgb0039.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/2/rgb/rgb0040.png', 4.234509300514546
39, 40, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/2/rgb/rgb0040.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/2/rgb/rgb0041.png', 4.136523866753531
40, 41, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/2/rgb/rgb0041.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/2/rgb/rgb0042.png', 3.916205902962483
41, 42, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/2/rgb/rgb0042.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/2/rgb/rgb0043.png', 4.3194426369237835
42, 43, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/2/rgb/rgb0043.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/2/rgb/rgb0044.png', 4.924073698043962
43, 44, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/2/rgb/rgb0044.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/2/rgb/rgb0045.png', 4.740664036500572
44, 45, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/2/rgb/rgb0045.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/2/rgb/rgb0046.png', 4.615083572593156
45, 46, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/2/rgb/rgb0046.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/2/rgb/rgb0047.png', 4.720166101006097
46, 47, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/2/rgb/rgb0047.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/2/rgb/rgb0048.png', 4.840464260037493
