0, 1, './GTEA61/processed_frames2/S1/stir_spoon,cup/1/rgb/rgb0001.png', './GTEA61/processed_frames2/S1/stir_spoon,cup/1/rgb/rgb0002.png', 5.045022232975711
1, 2, './GTEA61/processed_frames2/S1/stir_spoon,cup/1/rgb/rgb0002.png', './GTEA61/processed_frames2/S1/stir_spoon,cup/1/rgb/rgb0003.png', 4.9769230904939
2, 3, './GTEA61/processed_frames2/S1/stir_spoon,cup/1/rgb/rgb0003.png', './GTEA61/processed_frames2/S1/stir_spoon,cup/1/rgb/rgb0004.png', 5.661211019425303
3, 4, './GTEA61/processed_frames2/S1/stir_spoon,cup/1/rgb/rgb0004.png', './GTEA61/processed_frames2/S1/stir_spoon,cup/1/rgb/rgb0005.png', 6.03917742212136
4, 5, './GTEA61/processed_frames2/S1/stir_spoon,cup/1/rgb/rgb0005.png', './GTEA61/processed_frames2/S1/stir_spoon,cup/1/rgb/rgb0006.png', 6.192341990632946
5, 6, './GTEA61/processed_frames2/S1/stir_spoon,cup/1/rgb/rgb0006.png', './GTEA61/processed_frames2/S1/stir_spoon,cup/1/rgb/rgb0007.png', 6.557558637837469
6, 7, './GTEA61/processed_frames2/S1/stir_spoon,cup/1/rgb/rgb0007.png', './GTEA61/processed_frames2/S1/stir_spoon,cup/1/rgb/rgb0008.png', 6.701610387634397
7, 8, './GTEA61/processed_frames2/S1/stir_spoon,cup/1/rgb/rgb0008.png', './GTEA61/processed_frames2/S1/stir_spoon,cup/1/rgb/rgb0009.png', 6.653023600843238
8, 9, './GTEA61/processed_frames2/S1/stir_spoon,cup/1/rgb/rgb0009.png', './GTEA61/processed_frames2/S1/stir_spoon,cup/1/rgb/rgb0010.png', 6.492307110321989
9, 10, './GTEA61/processed_frames2/S1/stir_spoon,cup/1/rgb/rgb0010.png', './GTEA61/processed_frames2/S1/stir_spoon,cup/1/rgb/rgb0011.png', 6.001366626744634
10, 11, './GTEA61/processed_frames2/S1/stir_spoon,cup/1/rgb/rgb0011.png', './GTEA61/processed_frames2/S1/stir_spoon,cup/1/rgb/rgb0012.png', 5.40998339547603
