0, 1, './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/1/flow_y_00001.png', './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/1/flow_y_00002.png', 4.945986158910625
1, 2, './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/1/flow_y_00002.png', './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/1/flow_y_00003.png', 6.325364631355179
2, 3, './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/1/flow_y_00003.png', './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/1/flow_y_00004.png', 5.607939909729018
3, 4, './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/1/flow_y_00004.png', './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/1/flow_y_00005.png', 5.408655163889192
4, 5, './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/1/flow_y_00005.png', './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/1/flow_y_00006.png', 5.11397527007929
5, 6, './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/1/flow_y_00006.png', './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/1/flow_y_00007.png', 6.325563105921087
6, 7, './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/1/flow_y_00007.png', './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/1/flow_y_00008.png', 6.711485771504607
7, 8, './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/1/flow_y_00008.png', './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/1/flow_y_00009.png', 5.636252629199386
8, 9, './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/1/flow_y_00009.png', './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/1/flow_y_00010.png', 5.926435490672519
9, 10, './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/1/flow_y_00010.png', './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/1/flow_y_00011.png', 5.06443691537573
10, 11, './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/1/flow_y_00011.png', './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/1/flow_y_00012.png', 4.660284991109986
11, 12, './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/1/flow_y_00012.png', './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/1/flow_y_00013.png', 5.354478645062854
12, 13, './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/1/flow_y_00013.png', './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/1/flow_y_00014.png', 5.375534473530588
13, 14, './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/1/flow_y_00014.png', './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/1/flow_y_00015.png', 6.197971435682214
14, 15, './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/1/flow_y_00015.png', './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/1/flow_y_00016.png', 5.317146913660133
15, 16, './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/1/flow_y_00016.png', './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/1/flow_y_00017.png', 5.528584780682325
16, 17, './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/1/flow_y_00017.png', './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/1/flow_y_00018.png', 5.150036319346736
17, 18, './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/1/flow_y_00018.png', './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/1/flow_y_00019.png', 5.587876930107442
18, 19, './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/1/flow_y_00019.png', './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/1/flow_y_00020.png', 5.270162111381513
19, 20, './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/1/flow_y_00020.png', './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/1/flow_y_00021.png', 5.714498780263969
20, 21, './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/1/flow_y_00021.png', './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/1/flow_y_00022.png', 5.354191048980708
21, 22, './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/1/flow_y_00022.png', './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/1/flow_y_00023.png', 4.322737773144483
22, 23, './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/1/flow_y_00023.png', './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/1/flow_y_00024.png', 4.340094895082196
23, 24, './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/1/flow_y_00024.png', './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/1/flow_y_00025.png', 5.008064692302336
24, 25, './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/1/flow_y_00025.png', './GTEA61/flow_y_processed/S4/spread_jam,spoon,bread/1/flow_y_00026.png', 4.663160945136166
