0, 1, './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00001.png', './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00002.png', 5.657777519658112
1, 2, './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00002.png', './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00003.png', 4.560485502469096
2, 3, './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00003.png', './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00004.png', 3.985282949651997
3, 4, './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00004.png', './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00005.png', 4.458213806178835
4, 5, './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00005.png', './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00006.png', 4.981024520049387
5, 6, './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00006.png', './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00007.png', 4.569645014304362
6, 7, './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00007.png', './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00008.png', 5.289490123354608
7, 8, './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00008.png', './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00009.png', 5.76945275613297
8, 9, './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00009.png', './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00010.png', 5.027728550197911
9, 10, './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00010.png', './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00011.png', 4.622453089231466
10, 11, './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00011.png', './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00012.png', 4.538308702093625
11, 12, './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00012.png', './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00013.png', 4.551402593303422
12, 13, './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00013.png', './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00014.png', 4.049081611515122
13, 14, './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00014.png', './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00015.png', 4.16973581448212
14, 15, './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00015.png', './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00016.png', 4.265440066069832
15, 16, './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00016.png', './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00017.png', 4.735230387370405
16, 17, './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00017.png', './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00018.png', 4.714751844755536
17, 18, './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00018.png', './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00019.png', 4.750366902490305
