0, 1, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/1/mmaps/map0001.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/1/mmaps/map0002.png', 0.21073107106891514
1, 2, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/1/mmaps/map0002.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/1/mmaps/map0003.png', 0.19187122882839627
2, 3, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/1/mmaps/map0003.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/1/mmaps/map0004.png', 0.21480344748235497
3, 4, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/1/mmaps/map0004.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/1/mmaps/map0005.png', 0.2673097951196665
4, 5, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/1/mmaps/map0005.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/1/mmaps/map0006.png', 0.2305491551917262
5, 6, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/1/mmaps/map0006.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/1/mmaps/map0007.png', 0.22724228793139237
6, 7, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/1/mmaps/map0007.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/1/mmaps/map0008.png', 0.2639850218523546
7, 8, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/1/mmaps/map0008.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/1/mmaps/map0009.png', 0.19690859221584442
8, 9, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/1/mmaps/map0009.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/1/mmaps/map0010.png', 0.20708924540811552
9, 10, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/1/mmaps/map0010.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/1/mmaps/map0011.png', 0.29296155954237013
10, 11, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/1/mmaps/map0011.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/1/mmaps/map0012.png', 0.2160438693883751
11, 12, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/1/mmaps/map0012.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/1/mmaps/map0013.png', 0.2149276198843386
12, 13, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/1/mmaps/map0013.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/1/mmaps/map0014.png', 0.24330682569001266
13, 14, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/1/mmaps/map0014.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/1/mmaps/map0015.png', 0.28314229293557336
14, 15, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/1/mmaps/map0015.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/1/mmaps/map0016.png', 0.24228431649526544
15, 16, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/1/mmaps/map0016.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/1/mmaps/map0017.png', 0.22064949320833754
16, 17, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/1/mmaps/map0017.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/1/mmaps/map0018.png', 0.20371790454910116
17, 18, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/1/mmaps/map0018.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/1/mmaps/map0019.png', 0.2293416447552822
18, 19, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/1/mmaps/map0019.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/1/mmaps/map0020.png', 0.2527359855398703
19, 20, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/1/mmaps/map0020.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/1/mmaps/map0021.png', 0.24145707753368056
20, 21, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/1/mmaps/map0021.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/1/mmaps/map0022.png', 0.2236709814643767
21, 22, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/1/mmaps/map0022.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/1/mmaps/map0023.png', 0.22966390801392467
22, 23, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/1/mmaps/map0023.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/1/mmaps/map0024.png', 0.28090119156111737
23, 24, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/1/mmaps/map0024.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/1/mmaps/map0025.png', 0.25968746080158467
24, 25, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/1/mmaps/map0025.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/1/mmaps/map0026.png', 0.27706056107940935
