0, 1, './GTEA61/flow_y_processed/S2/pour_water,cup/3/flow_y_00001.png', './GTEA61/flow_y_processed/S2/pour_water,cup/3/flow_y_00002.png', 5.3453926750955905
1, 2, './GTEA61/flow_y_processed/S2/pour_water,cup/3/flow_y_00002.png', './GTEA61/flow_y_processed/S2/pour_water,cup/3/flow_y_00003.png', 5.093634117505867
2, 3, './GTEA61/flow_y_processed/S2/pour_water,cup/3/flow_y_00003.png', './GTEA61/flow_y_processed/S2/pour_water,cup/3/flow_y_00004.png', 4.817739745322937
3, 4, './GTEA61/flow_y_processed/S2/pour_water,cup/3/flow_y_00004.png', './GTEA61/flow_y_processed/S2/pour_water,cup/3/flow_y_00005.png', 4.635543405036345
4, 5, './GTEA61/flow_y_processed/S2/pour_water,cup/3/flow_y_00005.png', './GTEA61/flow_y_processed/S2/pour_water,cup/3/flow_y_00006.png', 4.19043752084468
5, 6, './GTEA61/flow_y_processed/S2/pour_water,cup/3/flow_y_00006.png', './GTEA61/flow_y_processed/S2/pour_water,cup/3/flow_y_00007.png', 4.495136676072627
6, 7, './GTEA61/flow_y_processed/S2/pour_water,cup/3/flow_y_00007.png', './GTEA61/flow_y_processed/S2/pour_water,cup/3/flow_y_00008.png', 4.597883583717418
7, 8, './GTEA61/flow_y_processed/S2/pour_water,cup/3/flow_y_00008.png', './GTEA61/flow_y_processed/S2/pour_water,cup/3/flow_y_00009.png', 4.401186059209143
8, 9, './GTEA61/flow_y_processed/S2/pour_water,cup/3/flow_y_00009.png', './GTEA61/flow_y_processed/S2/pour_water,cup/3/flow_y_00010.png', 4.148973419963839
9, 10, './GTEA61/flow_y_processed/S2/pour_water,cup/3/flow_y_00010.png', './GTEA61/flow_y_processed/S2/pour_water,cup/3/flow_y_00011.png', 4.6214266456191995
10, 11, './GTEA61/flow_y_processed/S2/pour_water,cup/3/flow_y_00011.png', './GTEA61/flow_y_processed/S2/pour_water,cup/3/flow_y_00012.png', 4.757733117744341
11, 12, './GTEA61/flow_y_processed/S2/pour_water,cup/3/flow_y_00012.png', './GTEA61/flow_y_processed/S2/pour_water,cup/3/flow_y_00013.png', 5.260649868501547
12, 13, './GTEA61/flow_y_processed/S2/pour_water,cup/3/flow_y_00013.png', './GTEA61/flow_y_processed/S2/pour_water,cup/3/flow_y_00014.png', 4.862417536779023
13, 14, './GTEA61/flow_y_processed/S2/pour_water,cup/3/flow_y_00014.png', './GTEA61/flow_y_processed/S2/pour_water,cup/3/flow_y_00015.png', 5.243411647151899
14, 15, './GTEA61/flow_y_processed/S2/pour_water,cup/3/flow_y_00015.png', './GTEA61/flow_y_processed/S2/pour_water,cup/3/flow_y_00016.png', 5.357540425912206
15, 16, './GTEA61/flow_y_processed/S2/pour_water,cup/3/flow_y_00016.png', './GTEA61/flow_y_processed/S2/pour_water,cup/3/flow_y_00017.png', 4.4462337371507035
16, 17, './GTEA61/flow_y_processed/S2/pour_water,cup/3/flow_y_00017.png', './GTEA61/flow_y_processed/S2/pour_water,cup/3/flow_y_00018.png', 5.519659625107322
17, 18, './GTEA61/flow_y_processed/S2/pour_water,cup/3/flow_y_00018.png', './GTEA61/flow_y_processed/S2/pour_water,cup/3/flow_y_00019.png', 4.75670307126105
