0, 1, './GTEA61/processed_frames2/S3/pour_water,cup/2/rgb/rgb0001.png', './GTEA61/processed_frames2/S3/pour_water,cup/2/rgb/rgb0002.png', 5.203548454085901
1, 2, './GTEA61/processed_frames2/S3/pour_water,cup/2/rgb/rgb0002.png', './GTEA61/processed_frames2/S3/pour_water,cup/2/rgb/rgb0003.png', 4.9219326136613955
2, 3, './GTEA61/processed_frames2/S3/pour_water,cup/2/rgb/rgb0003.png', './GTEA61/processed_frames2/S3/pour_water,cup/2/rgb/rgb0004.png', 4.873608557937377
3, 4, './GTEA61/processed_frames2/S3/pour_water,cup/2/rgb/rgb0004.png', './GTEA61/processed_frames2/S3/pour_water,cup/2/rgb/rgb0005.png', 5.1533365463912615
4, 5, './GTEA61/processed_frames2/S3/pour_water,cup/2/rgb/rgb0005.png', './GTEA61/processed_frames2/S3/pour_water,cup/2/rgb/rgb0006.png', 5.189614186348656
5, 6, './GTEA61/processed_frames2/S3/pour_water,cup/2/rgb/rgb0006.png', './GTEA61/processed_frames2/S3/pour_water,cup/2/rgb/rgb0007.png', 5.315916123649166
6, 7, './GTEA61/processed_frames2/S3/pour_water,cup/2/rgb/rgb0007.png', './GTEA61/processed_frames2/S3/pour_water,cup/2/rgb/rgb0008.png', 4.5743812463315265
7, 8, './GTEA61/processed_frames2/S3/pour_water,cup/2/rgb/rgb0008.png', './GTEA61/processed_frames2/S3/pour_water,cup/2/rgb/rgb0009.png', 4.896514392248524
8, 9, './GTEA61/processed_frames2/S3/pour_water,cup/2/rgb/rgb0009.png', './GTEA61/processed_frames2/S3/pour_water,cup/2/rgb/rgb0010.png', 4.905636187497831
9, 10, './GTEA61/processed_frames2/S3/pour_water,cup/2/rgb/rgb0010.png', './GTEA61/processed_frames2/S3/pour_water,cup/2/rgb/rgb0011.png', 4.901248354326531
10, 11, './GTEA61/processed_frames2/S3/pour_water,cup/2/rgb/rgb0011.png', './GTEA61/processed_frames2/S3/pour_water,cup/2/rgb/rgb0012.png', 4.87723502915447
11, 12, './GTEA61/processed_frames2/S3/pour_water,cup/2/rgb/rgb0012.png', './GTEA61/processed_frames2/S3/pour_water,cup/2/rgb/rgb0013.png', 5.220692495234999
12, 13, './GTEA61/processed_frames2/S3/pour_water,cup/2/rgb/rgb0013.png', './GTEA61/processed_frames2/S3/pour_water,cup/2/rgb/rgb0014.png', 4.843135764154773
13, 14, './GTEA61/processed_frames2/S3/pour_water,cup/2/rgb/rgb0014.png', './GTEA61/processed_frames2/S3/pour_water,cup/2/rgb/rgb0015.png', 4.980557580252361
14, 15, './GTEA61/processed_frames2/S3/pour_water,cup/2/rgb/rgb0015.png', './GTEA61/processed_frames2/S3/pour_water,cup/2/rgb/rgb0016.png', 5.0690271214103335
15, 16, './GTEA61/processed_frames2/S3/pour_water,cup/2/rgb/rgb0016.png', './GTEA61/processed_frames2/S3/pour_water,cup/2/rgb/rgb0017.png', 4.582671028313487
16, 17, './GTEA61/processed_frames2/S3/pour_water,cup/2/rgb/rgb0017.png', './GTEA61/processed_frames2/S3/pour_water,cup/2/rgb/rgb0018.png', 4.853312852756064
17, 18, './GTEA61/processed_frames2/S3/pour_water,cup/2/rgb/rgb0018.png', './GTEA61/processed_frames2/S3/pour_water,cup/2/rgb/rgb0019.png', 4.748116170256255
18, 19, './GTEA61/processed_frames2/S3/pour_water,cup/2/rgb/rgb0019.png', './GTEA61/processed_frames2/S3/pour_water,cup/2/rgb/rgb0020.png', 4.4324780251738245
19, 20, './GTEA61/processed_frames2/S3/pour_water,cup/2/rgb/rgb0020.png', './GTEA61/processed_frames2/S3/pour_water,cup/2/rgb/rgb0021.png', 4.375046720848805
20, 21, './GTEA61/processed_frames2/S3/pour_water,cup/2/rgb/rgb0021.png', './GTEA61/processed_frames2/S3/pour_water,cup/2/rgb/rgb0022.png', 4.499495573246972
21, 22, './GTEA61/processed_frames2/S3/pour_water,cup/2/rgb/rgb0022.png', './GTEA61/processed_frames2/S3/pour_water,cup/2/rgb/rgb0023.png', 4.300548868401271
22, 23, './GTEA61/processed_frames2/S3/pour_water,cup/2/rgb/rgb0023.png', './GTEA61/processed_frames2/S3/pour_water,cup/2/rgb/rgb0024.png', 4.579048600099282
23, 24, './GTEA61/processed_frames2/S3/pour_water,cup/2/rgb/rgb0024.png', './GTEA61/processed_frames2/S3/pour_water,cup/2/rgb/rgb0025.png', 4.1706813030042325
24, 25, './GTEA61/processed_frames2/S3/pour_water,cup/2/rgb/rgb0025.png', './GTEA61/processed_frames2/S3/pour_water,cup/2/rgb/rgb0026.png', 4.554713333392307
25, 26, './GTEA61/processed_frames2/S3/pour_water,cup/2/rgb/rgb0026.png', './GTEA61/processed_frames2/S3/pour_water,cup/2/rgb/rgb0027.png', 4.839119262372258
