0, 1, './GTEA61/flow_x_processed/S2/stir_spoon,cup/1/flow_x_00001.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/1/flow_x_00002.png', 4.294059760421173
1, 2, './GTEA61/flow_x_processed/S2/stir_spoon,cup/1/flow_x_00002.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/1/flow_x_00003.png', 5.361337547485064
2, 3, './GTEA61/flow_x_processed/S2/stir_spoon,cup/1/flow_x_00003.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/1/flow_x_00004.png', 5.952272428491697
3, 4, './GTEA61/flow_x_processed/S2/stir_spoon,cup/1/flow_x_00004.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/1/flow_x_00005.png', 5.355078723671328
4, 5, './GTEA61/flow_x_processed/S2/stir_spoon,cup/1/flow_x_00005.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/1/flow_x_00006.png', 6.4489569662952535
5, 6, './GTEA61/flow_x_processed/S2/stir_spoon,cup/1/flow_x_00006.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/1/flow_x_00007.png', 6.896196453936519
6, 7, './GTEA61/flow_x_processed/S2/stir_spoon,cup/1/flow_x_00007.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/1/flow_x_00008.png', 6.235644900254299
7, 8, './GTEA61/flow_x_processed/S2/stir_spoon,cup/1/flow_x_00008.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/1/flow_x_00009.png', 6.964361984241595
8, 9, './GTEA61/flow_x_processed/S2/stir_spoon,cup/1/flow_x_00009.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/1/flow_x_00010.png', 5.354542163589031
9, 10, './GTEA61/flow_x_processed/S2/stir_spoon,cup/1/flow_x_00010.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/1/flow_x_00011.png', 7.077699660505763
10, 11, './GTEA61/flow_x_processed/S2/stir_spoon,cup/1/flow_x_00011.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/1/flow_x_00012.png', 6.1183840576788056
11, 12, './GTEA61/flow_x_processed/S2/stir_spoon,cup/1/flow_x_00012.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/1/flow_x_00013.png', 6.645283163349299
12, 13, './GTEA61/flow_x_processed/S2/stir_spoon,cup/1/flow_x_00013.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/1/flow_x_00014.png', 7.231465090874021
13, 14, './GTEA61/flow_x_processed/S2/stir_spoon,cup/1/flow_x_00014.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/1/flow_x_00015.png', 6.747528163940189
14, 15, './GTEA61/flow_x_processed/S2/stir_spoon,cup/1/flow_x_00015.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/1/flow_x_00016.png', 6.7128457587402055
15, 16, './GTEA61/flow_x_processed/S2/stir_spoon,cup/1/flow_x_00016.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/1/flow_x_00017.png', 6.94677781733886
16, 17, './GTEA61/flow_x_processed/S2/stir_spoon,cup/1/flow_x_00017.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/1/flow_x_00018.png', 5.930082709454373
17, 18, './GTEA61/flow_x_processed/S2/stir_spoon,cup/1/flow_x_00018.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/1/flow_x_00019.png', 6.317769472356767
18, 19, './GTEA61/flow_x_processed/S2/stir_spoon,cup/1/flow_x_00019.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/1/flow_x_00020.png', 6.245143316012576
19, 20, './GTEA61/flow_x_processed/S2/stir_spoon,cup/1/flow_x_00020.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/1/flow_x_00021.png', 6.237245038221463
20, 21, './GTEA61/flow_x_processed/S2/stir_spoon,cup/1/flow_x_00021.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/1/flow_x_00022.png', 6.773125055861035
21, 22, './GTEA61/flow_x_processed/S2/stir_spoon,cup/1/flow_x_00022.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/1/flow_x_00023.png', 6.308848956507288
22, 23, './GTEA61/flow_x_processed/S2/stir_spoon,cup/1/flow_x_00023.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/1/flow_x_00024.png', 5.984562668476985
23, 24, './GTEA61/flow_x_processed/S2/stir_spoon,cup/1/flow_x_00024.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/1/flow_x_00025.png', 5.748878839848323
24, 25, './GTEA61/flow_x_processed/S2/stir_spoon,cup/1/flow_x_00025.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/1/flow_x_00026.png', 4.7177108626294375
25, 26, './GTEA61/flow_x_processed/S2/stir_spoon,cup/1/flow_x_00026.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/1/flow_x_00027.png', 5.271664990568697
26, 27, './GTEA61/flow_x_processed/S2/stir_spoon,cup/1/flow_x_00027.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/1/flow_x_00028.png', 4.906000391294546
27, 28, './GTEA61/flow_x_processed/S2/stir_spoon,cup/1/flow_x_00028.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/1/flow_x_00029.png', 5.509020171180264
28, 29, './GTEA61/flow_x_processed/S2/stir_spoon,cup/1/flow_x_00029.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/1/flow_x_00030.png', 5.674743512778949
29, 30, './GTEA61/flow_x_processed/S2/stir_spoon,cup/1/flow_x_00030.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/1/flow_x_00031.png', 5.218295749897472
30, 31, './GTEA61/flow_x_processed/S2/stir_spoon,cup/1/flow_x_00031.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/1/flow_x_00032.png', 5.5629412279875305
31, 32, './GTEA61/flow_x_processed/S2/stir_spoon,cup/1/flow_x_00032.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/1/flow_x_00033.png', 4.788325393818508
32, 33, './GTEA61/flow_x_processed/S2/stir_spoon,cup/1/flow_x_00033.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/1/flow_x_00034.png', 5.428892146777768
33, 34, './GTEA61/flow_x_processed/S2/stir_spoon,cup/1/flow_x_00034.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/1/flow_x_00035.png', 5.390412169316974
34, 35, './GTEA61/flow_x_processed/S2/stir_spoon,cup/1/flow_x_00035.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/1/flow_x_00036.png', 6.231920429619108
35, 36, './GTEA61/flow_x_processed/S2/stir_spoon,cup/1/flow_x_00036.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/1/flow_x_00037.png', 5.45364397913336
36, 37, './GTEA61/flow_x_processed/S2/stir_spoon,cup/1/flow_x_00037.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/1/flow_x_00038.png', 4.732905282092165
37, 38, './GTEA61/flow_x_processed/S2/stir_spoon,cup/1/flow_x_00038.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/1/flow_x_00039.png', 5.3950283635289695
38, 39, './GTEA61/flow_x_processed/S2/stir_spoon,cup/1/flow_x_00039.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/1/flow_x_00040.png', 5.0244437962666595
39, 40, './GTEA61/flow_x_processed/S2/stir_spoon,cup/1/flow_x_00040.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/1/flow_x_00041.png', 5.651936615897732
40, 41, './GTEA61/flow_x_processed/S2/stir_spoon,cup/1/flow_x_00041.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/1/flow_x_00042.png', 5.3914753703880285
41, 42, './GTEA61/flow_x_processed/S2/stir_spoon,cup/1/flow_x_00042.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/1/flow_x_00043.png', 5.654556155103528
42, 43, './GTEA61/flow_x_processed/S2/stir_spoon,cup/1/flow_x_00043.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/1/flow_x_00044.png', 5.166780865166434
43, 44, './GTEA61/flow_x_processed/S2/stir_spoon,cup/1/flow_x_00044.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/1/flow_x_00045.png', 5.015311351693242
44, 45, './GTEA61/flow_x_processed/S2/stir_spoon,cup/1/flow_x_00045.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/1/flow_x_00046.png', 5.180742897708894
45, 46, './GTEA61/flow_x_processed/S2/stir_spoon,cup/1/flow_x_00046.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/1/flow_x_00047.png', 4.987130728324082
46, 47, './GTEA61/flow_x_processed/S2/stir_spoon,cup/1/flow_x_00047.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/1/flow_x_00048.png', 5.00314292360015
47, 48, './GTEA61/flow_x_processed/S2/stir_spoon,cup/1/flow_x_00048.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/1/flow_x_00049.png', 5.159845577945779
48, 49, './GTEA61/flow_x_processed/S2/stir_spoon,cup/1/flow_x_00049.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/1/flow_x_00050.png', 4.72662366173719
49, 50, './GTEA61/flow_x_processed/S2/stir_spoon,cup/1/flow_x_00050.png', './GTEA61/flow_x_processed/S2/stir_spoon,cup/1/flow_x_00051.png', 4.653490463586817
