0, 1, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0001.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0002.png', 5.314936011010431
1, 2, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0002.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0003.png', 5.171338827349586
2, 3, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0003.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0004.png', 5.33306563184553
3, 4, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0004.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0005.png', 5.353094294470163
4, 5, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0005.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0006.png', 5.181773906120879
5, 6, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0006.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0007.png', 4.803398429262562
6, 7, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0007.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0008.png', 5.199251376786272
7, 8, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0008.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0009.png', 5.231068585209798
8, 9, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0009.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0010.png', 5.057055740208196
9, 10, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0010.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0011.png', 4.751414973967634
10, 11, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0011.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0012.png', 4.90900987228889
11, 12, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0012.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0013.png', 4.541404770864684
12, 13, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0013.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0014.png', 5.036430236589235
13, 14, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0014.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0015.png', 5.025466570305976
14, 15, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0015.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0016.png', 4.602984904955432
15, 16, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0016.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0017.png', 4.428953376523968
16, 17, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0017.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0018.png', 4.705545812945519
17, 18, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0018.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0019.png', 4.549799513063385
18, 19, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0019.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0020.png', 4.478078753022038
19, 20, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0020.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0021.png', 4.524835895911724
20, 21, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0021.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0022.png', 4.69676483413246
21, 22, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0022.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0023.png', 4.848668324324003
22, 23, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0023.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0024.png', 5.085369244515468
23, 24, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0024.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0025.png', 5.308323108289091
24, 25, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0025.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0026.png', 5.438617195075749
