0, 1, './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/rgb/rgb0001.png', './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/rgb/rgb0002.png', 5.418690954365677
1, 2, './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/rgb/rgb0002.png', './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/rgb/rgb0003.png', 5.521866781694582
2, 3, './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/rgb/rgb0003.png', './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/rgb/rgb0004.png', 5.830769091820261
3, 4, './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/rgb/rgb0004.png', './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/rgb/rgb0005.png', 5.694008762573974
4, 5, './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/rgb/rgb0005.png', './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/rgb/rgb0006.png', 5.661595491781983
5, 6, './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/rgb/rgb0006.png', './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/rgb/rgb0007.png', 5.398366069690988
6, 7, './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/rgb/rgb0007.png', './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/rgb/rgb0008.png', 5.104922387648131
7, 8, './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/rgb/rgb0008.png', './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/rgb/rgb0009.png', 4.668872223645844
8, 9, './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/rgb/rgb0009.png', './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/rgb/rgb0010.png', 4.873165393560393
9, 10, './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/rgb/rgb0010.png', './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/rgb/rgb0011.png', 4.8824069496823075
10, 11, './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/rgb/rgb0011.png', './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/rgb/rgb0012.png', 4.6431933307728075
11, 12, './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/rgb/rgb0012.png', './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/rgb/rgb0013.png', 5.1199503449480295
12, 13, './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/rgb/rgb0013.png', './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/rgb/rgb0014.png', 4.872967951088079
13, 14, './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/rgb/rgb0014.png', './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/rgb/rgb0015.png', 4.468561247322737
14, 15, './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/rgb/rgb0015.png', './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/rgb/rgb0016.png', 4.669105883802609
15, 16, './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/rgb/rgb0016.png', './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/rgb/rgb0017.png', 4.9110128098039425
16, 17, './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/rgb/rgb0017.png', './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/rgb/rgb0018.png', 5.202197191562723
