0, 1, './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00001.png', './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00002.png', 6.78070696018737
1, 2, './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00002.png', './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00003.png', 6.660259335429387
2, 3, './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00003.png', './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00004.png', 6.293555799565371
3, 4, './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00004.png', './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00005.png', 5.316255612819832
4, 5, './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00005.png', './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00006.png', 5.354902696416408
5, 6, './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00006.png', './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00007.png', 5.509134218014152
6, 7, './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00007.png', './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00008.png', 5.669831771843118
7, 8, './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00008.png', './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00009.png', 5.391950678326023
8, 9, './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00009.png', './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00010.png', 4.366465122781795
9, 10, './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00010.png', './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00011.png', 4.2467429649220465
10, 11, './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00011.png', './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00012.png', 4.5078796117203925
11, 12, './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00012.png', './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00013.png', 5.143050196410182
12, 13, './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00013.png', './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00014.png', 5.265573524346226
13, 14, './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00014.png', './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00015.png', 4.578286868481018
14, 15, './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00015.png', './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00016.png', 4.193514039696675
15, 16, './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00016.png', './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00017.png', 4.49557821204159
16, 17, './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00017.png', './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00018.png', 4.257690120805264
17, 18, './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00018.png', './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00019.png', 4.151782542209693
18, 19, './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00019.png', './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00020.png', 3.817423698801171
19, 20, './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00020.png', './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00021.png', 4.190124337174084
20, 21, './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00021.png', './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00022.png', 4.414131500134742
21, 22, './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00022.png', './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00023.png', 5.05469937177035
22, 23, './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00023.png', './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00024.png', 4.4264756185106044
23, 24, './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00024.png', './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00025.png', 5.830465381308123
24, 25, './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00025.png', './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00026.png', 5.523001413000174
25, 26, './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00026.png', './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00027.png', 5.078935441335054
26, 27, './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00027.png', './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00028.png', 4.80994440251742
27, 28, './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00028.png', './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00029.png', 4.927634393618351
28, 29, './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00029.png', './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00030.png', 4.446619657229859
29, 30, './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00030.png', './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00031.png', 4.7206517211054555
30, 31, './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00031.png', './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00032.png', 4.730317783120884
31, 32, './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00032.png', './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00033.png', 4.262089074348006
32, 33, './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00033.png', './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00034.png', 4.450169462280062
33, 34, './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00034.png', './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00035.png', 4.238513394807912
34, 35, './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00035.png', './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00036.png', 4.108000676495816
35, 36, './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00036.png', './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00037.png', 3.6397705616873393
36, 37, './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00037.png', './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00038.png', 4.448370940816188
37, 38, './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00038.png', './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00039.png', 4.4409907004971
38, 39, './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00039.png', './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00040.png', 3.8222448645541935
39, 40, './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00040.png', './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00041.png', 4.577862872239356
40, 41, './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00041.png', './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00042.png', 4.538717991253219
41, 42, './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00042.png', './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00043.png', 4.049779720530174
42, 43, './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00043.png', './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00044.png', 4.0326162024755625
43, 44, './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00044.png', './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00045.png', 3.7087305328803306
44, 45, './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00045.png', './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00046.png', 4.36518886690471
45, 46, './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00046.png', './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00047.png', 4.998360537191058
46, 47, './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00047.png', './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00048.png', 4.394686077155323
47, 48, './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00048.png', './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00049.png', 4.325444819046588
48, 49, './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00049.png', './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00050.png', 4.087744801716791
