0, 1, './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/rgb/rgb0001.png', './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/rgb/rgb0002.png', 5.751219524453388
1, 2, './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/rgb/rgb0002.png', './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/rgb/rgb0003.png', 5.648820987373439
2, 3, './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/rgb/rgb0003.png', './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/rgb/rgb0004.png', 5.542374373677377
3, 4, './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/rgb/rgb0004.png', './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/rgb/rgb0005.png', 5.356686665698449
4, 5, './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/rgb/rgb0005.png', './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/rgb/rgb0006.png', 5.500081552625074
5, 6, './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/rgb/rgb0006.png', './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/rgb/rgb0007.png', 5.632244391403192
6, 7, './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/rgb/rgb0007.png', './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/rgb/rgb0008.png', 5.277388280907006
7, 8, './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/rgb/rgb0008.png', './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/rgb/rgb0009.png', 4.942347748749702
8, 9, './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/rgb/rgb0009.png', './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/rgb/rgb0010.png', 4.777776332177072
9, 10, './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/rgb/rgb0010.png', './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/rgb/rgb0011.png', 4.668127929501042
10, 11, './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/rgb/rgb0011.png', './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/rgb/rgb0012.png', 4.53268088891222
11, 12, './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/rgb/rgb0012.png', './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/rgb/rgb0013.png', 4.5266934799335985
12, 13, './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/rgb/rgb0013.png', './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/rgb/rgb0014.png', 4.3662954558464495
13, 14, './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/rgb/rgb0014.png', './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/rgb/rgb0015.png', 4.332595097938598
14, 15, './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/rgb/rgb0015.png', './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/rgb/rgb0016.png', 4.6073028373435685
15, 16, './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/rgb/rgb0016.png', './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/rgb/rgb0017.png', 4.769746770715862
16, 17, './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/rgb/rgb0017.png', './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/rgb/rgb0018.png', 4.975797001071622
