0, 1, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/rgb/rgb0001.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/rgb/rgb0002.png', 4.966179070727911
1, 2, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/rgb/rgb0002.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/rgb/rgb0003.png', 4.9948584250849635
2, 3, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/rgb/rgb0003.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/rgb/rgb0004.png', 4.861009713315501
3, 4, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/rgb/rgb0004.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/rgb/rgb0005.png', 5.386627928940896
4, 5, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/rgb/rgb0005.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/rgb/rgb0006.png', 5.247179682225748
5, 6, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/rgb/rgb0006.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/rgb/rgb0007.png', 4.878586878431681
6, 7, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/rgb/rgb0007.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/rgb/rgb0008.png', 4.979966387597887
7, 8, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/rgb/rgb0008.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/rgb/rgb0009.png', 5.477760142128915
8, 9, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/rgb/rgb0009.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/rgb/rgb0010.png', 5.106273778814763
9, 10, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/rgb/rgb0010.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/rgb/rgb0011.png', 4.720811143976115
10, 11, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/rgb/rgb0011.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/rgb/rgb0012.png', 5.058580951605203
11, 12, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/rgb/rgb0012.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/rgb/rgb0013.png', 4.614939171434714
12, 13, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/rgb/rgb0013.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/rgb/rgb0014.png', 4.813101670470233
13, 14, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/rgb/rgb0014.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/rgb/rgb0015.png', 4.572437302564864
14, 15, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/rgb/rgb0015.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/rgb/rgb0016.png', 5.031354000837641
15, 16, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/rgb/rgb0016.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/rgb/rgb0017.png', 4.918555877976658
16, 17, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/rgb/rgb0017.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/rgb/rgb0018.png', 4.607140597417075
17, 18, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/rgb/rgb0018.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/rgb/rgb0019.png', 4.703199184597233
18, 19, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/rgb/rgb0019.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/rgb/rgb0020.png', 5.335007864829755
19, 20, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/rgb/rgb0020.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/rgb/rgb0021.png', 5.109450142054304
20, 21, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/rgb/rgb0021.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/rgb/rgb0022.png', 4.948217649259866
21, 22, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/rgb/rgb0022.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/rgb/rgb0023.png', 5.802679838040939
22, 23, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/rgb/rgb0023.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/rgb/rgb0024.png', 5.348615008679786
23, 24, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/rgb/rgb0024.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/rgb/rgb0025.png', 5.331908642690711
24, 25, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/rgb/rgb0025.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/rgb/rgb0026.png', 5.271577664580699
25, 26, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/rgb/rgb0026.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/rgb/rgb0027.png', 5.566577026445308
26, 27, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/rgb/rgb0027.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/1/rgb/rgb0028.png', 5.358907399852185
