0, 1, './GTEA61/flow_x_processed/S3/put_cheese,bread/1/flow_x_00001.png', './GTEA61/flow_x_processed/S3/put_cheese,bread/1/flow_x_00002.png', 5.381249862159675
1, 2, './GTEA61/flow_x_processed/S3/put_cheese,bread/1/flow_x_00002.png', './GTEA61/flow_x_processed/S3/put_cheese,bread/1/flow_x_00003.png', 5.571502703323046
2, 3, './GTEA61/flow_x_processed/S3/put_cheese,bread/1/flow_x_00003.png', './GTEA61/flow_x_processed/S3/put_cheese,bread/1/flow_x_00004.png', 5.283473915405014
3, 4, './GTEA61/flow_x_processed/S3/put_cheese,bread/1/flow_x_00004.png', './GTEA61/flow_x_processed/S3/put_cheese,bread/1/flow_x_00005.png', 3.893277014094878
4, 5, './GTEA61/flow_x_processed/S3/put_cheese,bread/1/flow_x_00005.png', './GTEA61/flow_x_processed/S3/put_cheese,bread/1/flow_x_00006.png', 5.3340690815828635
5, 6, './GTEA61/flow_x_processed/S3/put_cheese,bread/1/flow_x_00006.png', './GTEA61/flow_x_processed/S3/put_cheese,bread/1/flow_x_00007.png', 5.903495532798676
6, 7, './GTEA61/flow_x_processed/S3/put_cheese,bread/1/flow_x_00007.png', './GTEA61/flow_x_processed/S3/put_cheese,bread/1/flow_x_00008.png', 5.924774245058658
7, 8, './GTEA61/flow_x_processed/S3/put_cheese,bread/1/flow_x_00008.png', './GTEA61/flow_x_processed/S3/put_cheese,bread/1/flow_x_00009.png', 4.2311292639823215
8, 9, './GTEA61/flow_x_processed/S3/put_cheese,bread/1/flow_x_00009.png', './GTEA61/flow_x_processed/S3/put_cheese,bread/1/flow_x_00010.png', 4.093792763473205
9, 10, './GTEA61/flow_x_processed/S3/put_cheese,bread/1/flow_x_00010.png', './GTEA61/flow_x_processed/S3/put_cheese,bread/1/flow_x_00011.png', 3.809648965713546
10, 11, './GTEA61/flow_x_processed/S3/put_cheese,bread/1/flow_x_00011.png', './GTEA61/flow_x_processed/S3/put_cheese,bread/1/flow_x_00012.png', 3.9686091943177884
11, 12, './GTEA61/flow_x_processed/S3/put_cheese,bread/1/flow_x_00012.png', './GTEA61/flow_x_processed/S3/put_cheese,bread/1/flow_x_00013.png', 3.8742575405839017
12, 13, './GTEA61/flow_x_processed/S3/put_cheese,bread/1/flow_x_00013.png', './GTEA61/flow_x_processed/S3/put_cheese,bread/1/flow_x_00014.png', 3.5410197791186926
13, 14, './GTEA61/flow_x_processed/S3/put_cheese,bread/1/flow_x_00014.png', './GTEA61/flow_x_processed/S3/put_cheese,bread/1/flow_x_00015.png', 4.154338366816401
14, 15, './GTEA61/flow_x_processed/S3/put_cheese,bread/1/flow_x_00015.png', './GTEA61/flow_x_processed/S3/put_cheese,bread/1/flow_x_00016.png', 4.602375015273473
15, 16, './GTEA61/flow_x_processed/S3/put_cheese,bread/1/flow_x_00016.png', './GTEA61/flow_x_processed/S3/put_cheese,bread/1/flow_x_00017.png', 6.1227685098122695
16, 17, './GTEA61/flow_x_processed/S3/put_cheese,bread/1/flow_x_00017.png', './GTEA61/flow_x_processed/S3/put_cheese,bread/1/flow_x_00018.png', 5.629743442645973
17, 18, './GTEA61/flow_x_processed/S3/put_cheese,bread/1/flow_x_00018.png', './GTEA61/flow_x_processed/S3/put_cheese,bread/1/flow_x_00019.png', 5.66191858453717
18, 19, './GTEA61/flow_x_processed/S3/put_cheese,bread/1/flow_x_00019.png', './GTEA61/flow_x_processed/S3/put_cheese,bread/1/flow_x_00020.png', 5.445572817495986
19, 20, './GTEA61/flow_x_processed/S3/put_cheese,bread/1/flow_x_00020.png', './GTEA61/flow_x_processed/S3/put_cheese,bread/1/flow_x_00021.png', 4.946377950919779
20, 21, './GTEA61/flow_x_processed/S3/put_cheese,bread/1/flow_x_00021.png', './GTEA61/flow_x_processed/S3/put_cheese,bread/1/flow_x_00022.png', 4.722490711992089
21, 22, './GTEA61/flow_x_processed/S3/put_cheese,bread/1/flow_x_00022.png', './GTEA61/flow_x_processed/S3/put_cheese,bread/1/flow_x_00023.png', 4.480795631974111
22, 23, './GTEA61/flow_x_processed/S3/put_cheese,bread/1/flow_x_00023.png', './GTEA61/flow_x_processed/S3/put_cheese,bread/1/flow_x_00024.png', 5.164979363964562
