0, 1, './GTEA61/processed_frames2/S4/scoop_peanut,spoon/1/mmaps/map0001.png', './GTEA61/processed_frames2/S4/scoop_peanut,spoon/1/mmaps/map0002.png', 0.10607760874622749
1, 2, './GTEA61/processed_frames2/S4/scoop_peanut,spoon/1/mmaps/map0002.png', './GTEA61/processed_frames2/S4/scoop_peanut,spoon/1/mmaps/map0003.png', 0.09444592188882353
2, 3, './GTEA61/processed_frames2/S4/scoop_peanut,spoon/1/mmaps/map0003.png', './GTEA61/processed_frames2/S4/scoop_peanut,spoon/1/mmaps/map0004.png', 0.017455899098229914
3, 4, './GTEA61/processed_frames2/S4/scoop_peanut,spoon/1/mmaps/map0004.png', './GTEA61/processed_frames2/S4/scoop_peanut,spoon/1/mmaps/map0005.png', 0.019501179816486896
4, 5, './GTEA61/processed_frames2/S4/scoop_peanut,spoon/1/mmaps/map0005.png', './GTEA61/processed_frames2/S4/scoop_peanut,spoon/1/mmaps/map0006.png', 0.024899940696588276
5, 6, './GTEA61/processed_frames2/S4/scoop_peanut,spoon/1/mmaps/map0006.png', './GTEA61/processed_frames2/S4/scoop_peanut,spoon/1/mmaps/map0007.png', 0.035772841192656404
6, 7, './GTEA61/processed_frames2/S4/scoop_peanut,spoon/1/mmaps/map0007.png', './GTEA61/processed_frames2/S4/scoop_peanut,spoon/1/mmaps/map0008.png', 0.009367612527378423
7, 8, './GTEA61/processed_frames2/S4/scoop_peanut,spoon/1/mmaps/map0008.png', './GTEA61/processed_frames2/S4/scoop_peanut,spoon/1/mmaps/map0009.png', 0.009367612527378423
8, 9, './GTEA61/processed_frames2/S4/scoop_peanut,spoon/1/mmaps/map0009.png', './GTEA61/processed_frames2/S4/scoop_peanut,spoon/1/mmaps/map0010.png', 0.01895455514356647
9, 10, './GTEA61/processed_frames2/S4/scoop_peanut,spoon/1/mmaps/map0010.png', './GTEA61/processed_frames2/S4/scoop_peanut,spoon/1/mmaps/map0011.png', 0.23179412821684792
10, 11, './GTEA61/processed_frames2/S4/scoop_peanut,spoon/1/mmaps/map0011.png', './GTEA61/processed_frames2/S4/scoop_peanut,spoon/1/mmaps/map0012.png', 0.16483380644050533
11, 12, './GTEA61/processed_frames2/S4/scoop_peanut,spoon/1/mmaps/map0012.png', './GTEA61/processed_frames2/S4/scoop_peanut,spoon/1/mmaps/map0013.png', 0.12684430848714687
12, 13, './GTEA61/processed_frames2/S4/scoop_peanut,spoon/1/mmaps/map0013.png', './GTEA61/processed_frames2/S4/scoop_peanut,spoon/1/mmaps/map0014.png', 0.043610150807954
13, 14, './GTEA61/processed_frames2/S4/scoop_peanut,spoon/1/mmaps/map0014.png', './GTEA61/processed_frames2/S4/scoop_peanut,spoon/1/mmaps/map0015.png', 0.0463696335807684
14, 15, './GTEA61/processed_frames2/S4/scoop_peanut,spoon/1/mmaps/map0015.png', './GTEA61/processed_frames2/S4/scoop_peanut,spoon/1/mmaps/map0016.png', 0.04986378843416003
15, 16, './GTEA61/processed_frames2/S4/scoop_peanut,spoon/1/mmaps/map0016.png', './GTEA61/processed_frames2/S4/scoop_peanut,spoon/1/mmaps/map0017.png', 0.05101586993095211
16, 17, './GTEA61/processed_frames2/S4/scoop_peanut,spoon/1/mmaps/map0017.png', './GTEA61/processed_frames2/S4/scoop_peanut,spoon/1/mmaps/map0018.png', 0.017852476296986147
17, 18, './GTEA61/processed_frames2/S4/scoop_peanut,spoon/1/mmaps/map0018.png', './GTEA61/processed_frames2/S4/scoop_peanut,spoon/1/mmaps/map0019.png', 0.013724506274630677
18, 19, './GTEA61/processed_frames2/S4/scoop_peanut,spoon/1/mmaps/map0019.png', './GTEA61/processed_frames2/S4/scoop_peanut,spoon/1/mmaps/map0020.png', 0.014877146129825315
19, 20, './GTEA61/processed_frames2/S4/scoop_peanut,spoon/1/mmaps/map0020.png', './GTEA61/processed_frames2/S4/scoop_peanut,spoon/1/mmaps/map0021.png', 0.024825560723691884
20, 21, './GTEA61/processed_frames2/S4/scoop_peanut,spoon/1/mmaps/map0021.png', './GTEA61/processed_frames2/S4/scoop_peanut,spoon/1/mmaps/map0022.png', 0.030578784847597566
21, 22, './GTEA61/processed_frames2/S4/scoop_peanut,spoon/1/mmaps/map0022.png', './GTEA61/processed_frames2/S4/scoop_peanut,spoon/1/mmaps/map0023.png', 0.052796061666482805
22, 23, './GTEA61/processed_frames2/S4/scoop_peanut,spoon/1/mmaps/map0023.png', './GTEA61/processed_frames2/S4/scoop_peanut,spoon/1/mmaps/map0024.png', 0.04889899189619483
23, 24, './GTEA61/processed_frames2/S4/scoop_peanut,spoon/1/mmaps/map0024.png', './GTEA61/processed_frames2/S4/scoop_peanut,spoon/1/mmaps/map0025.png', 0.059227993783730594
24, 25, './GTEA61/processed_frames2/S4/scoop_peanut,spoon/1/mmaps/map0025.png', './GTEA61/processed_frames2/S4/scoop_peanut,spoon/1/mmaps/map0026.png', 0.07137811551432473
25, 26, './GTEA61/processed_frames2/S4/scoop_peanut,spoon/1/mmaps/map0026.png', './GTEA61/processed_frames2/S4/scoop_peanut,spoon/1/mmaps/map0027.png', 0.23912634892789136
26, 27, './GTEA61/processed_frames2/S4/scoop_peanut,spoon/1/mmaps/map0027.png', './GTEA61/processed_frames2/S4/scoop_peanut,spoon/1/mmaps/map0028.png', 0.3529233594404649
27, 28, './GTEA61/processed_frames2/S4/scoop_peanut,spoon/1/mmaps/map0028.png', './GTEA61/processed_frames2/S4/scoop_peanut,spoon/1/mmaps/map0029.png', 0.3965152697333677
