0, 1, './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/1/flow_x_00001.png', './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/1/flow_x_00002.png', 5.102262302386632
1, 2, './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/1/flow_x_00002.png', './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/1/flow_x_00003.png', 5.306596037461372
2, 3, './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/1/flow_x_00003.png', './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/1/flow_x_00004.png', 5.147939988236592
3, 4, './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/1/flow_x_00004.png', './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/1/flow_x_00005.png', 4.672348410755022
4, 5, './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/1/flow_x_00005.png', './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/1/flow_x_00006.png', 4.9695202299805965
5, 6, './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/1/flow_x_00006.png', './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/1/flow_x_00007.png', 4.990756117317799
6, 7, './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/1/flow_x_00007.png', './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/1/flow_x_00008.png', 5.18570252615861
7, 8, './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/1/flow_x_00008.png', './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/1/flow_x_00009.png', 5.116125817805187
8, 9, './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/1/flow_x_00009.png', './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/1/flow_x_00010.png', 4.532907916209712
9, 10, './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/1/flow_x_00010.png', './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/1/flow_x_00011.png', 4.866435657986568
10, 11, './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/1/flow_x_00011.png', './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/1/flow_x_00012.png', 5.180390873338955
11, 12, './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/1/flow_x_00012.png', './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/1/flow_x_00013.png', 4.990193983768678
12, 13, './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/1/flow_x_00013.png', './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/1/flow_x_00014.png', 4.467801595021455
13, 14, './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/1/flow_x_00014.png', './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/1/flow_x_00015.png', 5.322987766779004
14, 15, './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/1/flow_x_00015.png', './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/1/flow_x_00016.png', 5.4485256768576225
