0, 1, './GTEA61/flow_x_processed/S2/pour_mayonnaise,cheese,bread/1/flow_x_00001.png', './GTEA61/flow_x_processed/S2/pour_mayonnaise,cheese,bread/1/flow_x_00002.png', 5.596288546173659
1, 2, './GTEA61/flow_x_processed/S2/pour_mayonnaise,cheese,bread/1/flow_x_00002.png', './GTEA61/flow_x_processed/S2/pour_mayonnaise,cheese,bread/1/flow_x_00003.png', 5.972629567400197
2, 3, './GTEA61/flow_x_processed/S2/pour_mayonnaise,cheese,bread/1/flow_x_00003.png', './GTEA61/flow_x_processed/S2/pour_mayonnaise,cheese,bread/1/flow_x_00004.png', 4.771629584481728
3, 4, './GTEA61/flow_x_processed/S2/pour_mayonnaise,cheese,bread/1/flow_x_00004.png', './GTEA61/flow_x_processed/S2/pour_mayonnaise,cheese,bread/1/flow_x_00005.png', 6.325810074972112
4, 5, './GTEA61/flow_x_processed/S2/pour_mayonnaise,cheese,bread/1/flow_x_00005.png', './GTEA61/flow_x_processed/S2/pour_mayonnaise,cheese,bread/1/flow_x_00006.png', 6.378952199526848
5, 6, './GTEA61/flow_x_processed/S2/pour_mayonnaise,cheese,bread/1/flow_x_00006.png', './GTEA61/flow_x_processed/S2/pour_mayonnaise,cheese,bread/1/flow_x_00007.png', 6.116113328478842
6, 7, './GTEA61/flow_x_processed/S2/pour_mayonnaise,cheese,bread/1/flow_x_00007.png', './GTEA61/flow_x_processed/S2/pour_mayonnaise,cheese,bread/1/flow_x_00008.png', 4.753266503169423
7, 8, './GTEA61/flow_x_processed/S2/pour_mayonnaise,cheese,bread/1/flow_x_00008.png', './GTEA61/flow_x_processed/S2/pour_mayonnaise,cheese,bread/1/flow_x_00009.png', 3.2090568812329168
8, 9, './GTEA61/flow_x_processed/S2/pour_mayonnaise,cheese,bread/1/flow_x_00009.png', './GTEA61/flow_x_processed/S2/pour_mayonnaise,cheese,bread/1/flow_x_00010.png', 4.189332350086656
9, 10, './GTEA61/flow_x_processed/S2/pour_mayonnaise,cheese,bread/1/flow_x_00010.png', './GTEA61/flow_x_processed/S2/pour_mayonnaise,cheese,bread/1/flow_x_00011.png', 3.607872369480601
10, 11, './GTEA61/flow_x_processed/S2/pour_mayonnaise,cheese,bread/1/flow_x_00011.png', './GTEA61/flow_x_processed/S2/pour_mayonnaise,cheese,bread/1/flow_x_00012.png', 4.194474679705976
11, 12, './GTEA61/flow_x_processed/S2/pour_mayonnaise,cheese,bread/1/flow_x_00012.png', './GTEA61/flow_x_processed/S2/pour_mayonnaise,cheese,bread/1/flow_x_00013.png', 3.4617872604584017
12, 13, './GTEA61/flow_x_processed/S2/pour_mayonnaise,cheese,bread/1/flow_x_00013.png', './GTEA61/flow_x_processed/S2/pour_mayonnaise,cheese,bread/1/flow_x_00014.png', 4.256011548949389
13, 14, './GTEA61/flow_x_processed/S2/pour_mayonnaise,cheese,bread/1/flow_x_00014.png', './GTEA61/flow_x_processed/S2/pour_mayonnaise,cheese,bread/1/flow_x_00015.png', 4.396586864119938
14, 15, './GTEA61/flow_x_processed/S2/pour_mayonnaise,cheese,bread/1/flow_x_00015.png', './GTEA61/flow_x_processed/S2/pour_mayonnaise,cheese,bread/1/flow_x_00016.png', 4.910673866486591
15, 16, './GTEA61/flow_x_processed/S2/pour_mayonnaise,cheese,bread/1/flow_x_00016.png', './GTEA61/flow_x_processed/S2/pour_mayonnaise,cheese,bread/1/flow_x_00017.png', 4.490911894596958
16, 17, './GTEA61/flow_x_processed/S2/pour_mayonnaise,cheese,bread/1/flow_x_00017.png', './GTEA61/flow_x_processed/S2/pour_mayonnaise,cheese,bread/1/flow_x_00018.png', 5.622975019138595
17, 18, './GTEA61/flow_x_processed/S2/pour_mayonnaise,cheese,bread/1/flow_x_00018.png', './GTEA61/flow_x_processed/S2/pour_mayonnaise,cheese,bread/1/flow_x_00019.png', 6.33198634083216
18, 19, './GTEA61/flow_x_processed/S2/pour_mayonnaise,cheese,bread/1/flow_x_00019.png', './GTEA61/flow_x_processed/S2/pour_mayonnaise,cheese,bread/1/flow_x_00020.png', 5.159746329892473
19, 20, './GTEA61/flow_x_processed/S2/pour_mayonnaise,cheese,bread/1/flow_x_00020.png', './GTEA61/flow_x_processed/S2/pour_mayonnaise,cheese,bread/1/flow_x_00021.png', 5.632155068108889
20, 21, './GTEA61/flow_x_processed/S2/pour_mayonnaise,cheese,bread/1/flow_x_00021.png', './GTEA61/flow_x_processed/S2/pour_mayonnaise,cheese,bread/1/flow_x_00022.png', 5.189644740380167
21, 22, './GTEA61/flow_x_processed/S2/pour_mayonnaise,cheese,bread/1/flow_x_00022.png', './GTEA61/flow_x_processed/S2/pour_mayonnaise,cheese,bread/1/flow_x_00023.png', 5.518913792500107
22, 23, './GTEA61/flow_x_processed/S2/pour_mayonnaise,cheese,bread/1/flow_x_00023.png', './GTEA61/flow_x_processed/S2/pour_mayonnaise,cheese,bread/1/flow_x_00024.png', 5.00501991315011
23, 24, './GTEA61/flow_x_processed/S2/pour_mayonnaise,cheese,bread/1/flow_x_00024.png', './GTEA61/flow_x_processed/S2/pour_mayonnaise,cheese,bread/1/flow_x_00025.png', 5.255488801772293
24, 25, './GTEA61/flow_x_processed/S2/pour_mayonnaise,cheese,bread/1/flow_x_00025.png', './GTEA61/flow_x_processed/S2/pour_mayonnaise,cheese,bread/1/flow_x_00026.png', 5.204620946783052
25, 26, './GTEA61/flow_x_processed/S2/pour_mayonnaise,cheese,bread/1/flow_x_00026.png', './GTEA61/flow_x_processed/S2/pour_mayonnaise,cheese,bread/1/flow_x_00027.png', 5.290601618046662
26, 27, './GTEA61/flow_x_processed/S2/pour_mayonnaise,cheese,bread/1/flow_x_00027.png', './GTEA61/flow_x_processed/S2/pour_mayonnaise,cheese,bread/1/flow_x_00028.png', 5.814278774651978
27, 28, './GTEA61/flow_x_processed/S2/pour_mayonnaise,cheese,bread/1/flow_x_00028.png', './GTEA61/flow_x_processed/S2/pour_mayonnaise,cheese,bread/1/flow_x_00029.png', 5.492436791605023
28, 29, './GTEA61/flow_x_processed/S2/pour_mayonnaise,cheese,bread/1/flow_x_00029.png', './GTEA61/flow_x_processed/S2/pour_mayonnaise,cheese,bread/1/flow_x_00030.png', 5.904892516035933
