0, 1, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/rgb/rgb0001.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/rgb/rgb0002.png', 5.182093773644949
1, 2, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/rgb/rgb0002.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/rgb/rgb0003.png', 5.155074882594059
2, 3, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/rgb/rgb0003.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/rgb/rgb0004.png', 4.976161891727258
3, 4, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/rgb/rgb0004.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/rgb/rgb0005.png', 5.2591291684885615
4, 5, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/rgb/rgb0005.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/rgb/rgb0006.png', 5.246770455214419
5, 6, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/rgb/rgb0006.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/rgb/rgb0007.png', 5.247383187698238
6, 7, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/rgb/rgb0007.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/rgb/rgb0008.png', 5.225906766648021
7, 8, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/rgb/rgb0008.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/rgb/rgb0009.png', 4.723823615535604
8, 9, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/rgb/rgb0009.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/rgb/rgb0010.png', 4.96484492043531
9, 10, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/rgb/rgb0010.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/rgb/rgb0011.png', 5.420542157656279
10, 11, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/rgb/rgb0011.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/rgb/rgb0012.png', 4.7025608004696124
11, 12, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/rgb/rgb0012.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/rgb/rgb0013.png', 4.702708096340617
12, 13, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/rgb/rgb0013.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/1/rgb/rgb0014.png', 4.964731839666028
