0, 1, './GTEA61/processed_frames2/S3/scoop_peanut,spoon/1/rgb/rgb0001.png', './GTEA61/processed_frames2/S3/scoop_peanut,spoon/1/rgb/rgb0002.png', 4.939093485194584
1, 2, './GTEA61/processed_frames2/S3/scoop_peanut,spoon/1/rgb/rgb0002.png', './GTEA61/processed_frames2/S3/scoop_peanut,spoon/1/rgb/rgb0003.png', 5.231146636806455
2, 3, './GTEA61/processed_frames2/S3/scoop_peanut,spoon/1/rgb/rgb0003.png', './GTEA61/processed_frames2/S3/scoop_peanut,spoon/1/rgb/rgb0004.png', 5.070128491285193
3, 4, './GTEA61/processed_frames2/S3/scoop_peanut,spoon/1/rgb/rgb0004.png', './GTEA61/processed_frames2/S3/scoop_peanut,spoon/1/rgb/rgb0005.png', 4.803196647116451
4, 5, './GTEA61/processed_frames2/S3/scoop_peanut,spoon/1/rgb/rgb0005.png', './GTEA61/processed_frames2/S3/scoop_peanut,spoon/1/rgb/rgb0006.png', 4.627530187788292
5, 6, './GTEA61/processed_frames2/S3/scoop_peanut,spoon/1/rgb/rgb0006.png', './GTEA61/processed_frames2/S3/scoop_peanut,spoon/1/rgb/rgb0007.png', 5.031939555035577
6, 7, './GTEA61/processed_frames2/S3/scoop_peanut,spoon/1/rgb/rgb0007.png', './GTEA61/processed_frames2/S3/scoop_peanut,spoon/1/rgb/rgb0008.png', 5.004131484763423
7, 8, './GTEA61/processed_frames2/S3/scoop_peanut,spoon/1/rgb/rgb0008.png', './GTEA61/processed_frames2/S3/scoop_peanut,spoon/1/rgb/rgb0009.png', 5.007692911512097
8, 9, './GTEA61/processed_frames2/S3/scoop_peanut,spoon/1/rgb/rgb0009.png', './GTEA61/processed_frames2/S3/scoop_peanut,spoon/1/rgb/rgb0010.png', 4.907645245285787
9, 10, './GTEA61/processed_frames2/S3/scoop_peanut,spoon/1/rgb/rgb0010.png', './GTEA61/processed_frames2/S3/scoop_peanut,spoon/1/rgb/rgb0011.png', 4.739964961486841
10, 11, './GTEA61/processed_frames2/S3/scoop_peanut,spoon/1/rgb/rgb0011.png', './GTEA61/processed_frames2/S3/scoop_peanut,spoon/1/rgb/rgb0012.png', 5.149687180261257
11, 12, './GTEA61/processed_frames2/S3/scoop_peanut,spoon/1/rgb/rgb0012.png', './GTEA61/processed_frames2/S3/scoop_peanut,spoon/1/rgb/rgb0013.png', 5.193946460045007
12, 13, './GTEA61/processed_frames2/S3/scoop_peanut,spoon/1/rgb/rgb0013.png', './GTEA61/processed_frames2/S3/scoop_peanut,spoon/1/rgb/rgb0014.png', 5.121730492984929
13, 14, './GTEA61/processed_frames2/S3/scoop_peanut,spoon/1/rgb/rgb0014.png', './GTEA61/processed_frames2/S3/scoop_peanut,spoon/1/rgb/rgb0015.png', 4.850243128788754
14, 15, './GTEA61/processed_frames2/S3/scoop_peanut,spoon/1/rgb/rgb0015.png', './GTEA61/processed_frames2/S3/scoop_peanut,spoon/1/rgb/rgb0016.png', 4.70515702084009
15, 16, './GTEA61/processed_frames2/S3/scoop_peanut,spoon/1/rgb/rgb0016.png', './GTEA61/processed_frames2/S3/scoop_peanut,spoon/1/rgb/rgb0017.png', 4.484364429160276
16, 17, './GTEA61/processed_frames2/S3/scoop_peanut,spoon/1/rgb/rgb0017.png', './GTEA61/processed_frames2/S3/scoop_peanut,spoon/1/rgb/rgb0018.png', 4.793679199197911
17, 18, './GTEA61/processed_frames2/S3/scoop_peanut,spoon/1/rgb/rgb0018.png', './GTEA61/processed_frames2/S3/scoop_peanut,spoon/1/rgb/rgb0019.png', 5.053288540565508
18, 19, './GTEA61/processed_frames2/S3/scoop_peanut,spoon/1/rgb/rgb0019.png', './GTEA61/processed_frames2/S3/scoop_peanut,spoon/1/rgb/rgb0020.png', 5.187557706566156
19, 20, './GTEA61/processed_frames2/S3/scoop_peanut,spoon/1/rgb/rgb0020.png', './GTEA61/processed_frames2/S3/scoop_peanut,spoon/1/rgb/rgb0021.png', 4.858399494138024
20, 21, './GTEA61/processed_frames2/S3/scoop_peanut,spoon/1/rgb/rgb0021.png', './GTEA61/processed_frames2/S3/scoop_peanut,spoon/1/rgb/rgb0022.png', 5.059943027079455
21, 22, './GTEA61/processed_frames2/S3/scoop_peanut,spoon/1/rgb/rgb0022.png', './GTEA61/processed_frames2/S3/scoop_peanut,spoon/1/rgb/rgb0023.png', 4.724325273925547
22, 23, './GTEA61/processed_frames2/S3/scoop_peanut,spoon/1/rgb/rgb0023.png', './GTEA61/processed_frames2/S3/scoop_peanut,spoon/1/rgb/rgb0024.png', 4.826204245161646
23, 24, './GTEA61/processed_frames2/S3/scoop_peanut,spoon/1/rgb/rgb0024.png', './GTEA61/processed_frames2/S3/scoop_peanut,spoon/1/rgb/rgb0025.png', 4.693349778366793
24, 25, './GTEA61/processed_frames2/S3/scoop_peanut,spoon/1/rgb/rgb0025.png', './GTEA61/processed_frames2/S3/scoop_peanut,spoon/1/rgb/rgb0026.png', 4.888959037968653
25, 26, './GTEA61/processed_frames2/S3/scoop_peanut,spoon/1/rgb/rgb0026.png', './GTEA61/processed_frames2/S3/scoop_peanut,spoon/1/rgb/rgb0027.png', 4.650269809762944
26, 27, './GTEA61/processed_frames2/S3/scoop_peanut,spoon/1/rgb/rgb0027.png', './GTEA61/processed_frames2/S3/scoop_peanut,spoon/1/rgb/rgb0028.png', 4.886562450555355
27, 28, './GTEA61/processed_frames2/S3/scoop_peanut,spoon/1/rgb/rgb0028.png', './GTEA61/processed_frames2/S3/scoop_peanut,spoon/1/rgb/rgb0029.png', 4.879906129500963
28, 29, './GTEA61/processed_frames2/S3/scoop_peanut,spoon/1/rgb/rgb0029.png', './GTEA61/processed_frames2/S3/scoop_peanut,spoon/1/rgb/rgb0030.png', 4.848907346583139
