0, 1, './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00001.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00002.png', 5.906663586808356
1, 2, './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00002.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00003.png', 6.093356131200552
2, 3, './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00003.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00004.png', 4.426598219323839
3, 4, './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00004.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00005.png', 5.1624951080598604
4, 5, './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00005.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00006.png', 4.266442459780468
5, 6, './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00006.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00007.png', 4.932152993371333
6, 7, './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00007.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00008.png', 5.399279932226272
7, 8, './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00008.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00009.png', 5.796257815170464
8, 9, './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00009.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00010.png', 6.016812392886716
9, 10, './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00010.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00011.png', 5.196998713694688
10, 11, './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00011.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00012.png', 5.2249661944697685
11, 12, './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00012.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00013.png', 4.844760664651934
12, 13, './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00013.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00014.png', 5.513280247364919
13, 14, './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00014.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00015.png', 4.516007646233771
14, 15, './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00015.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00016.png', 5.736903405636175
15, 16, './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00016.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00017.png', 4.194577534741524
16, 17, './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00017.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00018.png', 5.221203603316249
17, 18, './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00018.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00019.png', 5.2924738511658855
18, 19, './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00019.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00020.png', 5.156220527205598
19, 20, './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00020.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00021.png', 4.865593612107845
20, 21, './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00021.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00022.png', 5.33636486117646
21, 22, './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00022.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00023.png', 4.520067022170263
22, 23, './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00023.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00024.png', 5.357228869075578
23, 24, './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00024.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00025.png', 4.678800874622697
24, 25, './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00025.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00026.png', 5.057673825946711
25, 26, './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00026.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00027.png', 4.7605251300297615
26, 27, './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00027.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00028.png', 4.944874865706536
27, 28, './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00028.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00029.png', 5.095076996431756
28, 29, './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00029.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00030.png', 5.011329108102152
29, 30, './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00030.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00031.png', 4.907357026302089
30, 31, './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00031.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00032.png', 4.715740321434956
31, 32, './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00032.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00033.png', 4.905797078291844
32, 33, './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00033.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00034.png', 4.865054873916096
33, 34, './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00034.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00035.png', 4.900251861499403
34, 35, './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00035.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00036.png', 4.995069921496103
35, 36, './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00036.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00037.png', 5.2253623089660755
36, 37, './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00037.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00038.png', 4.974021315889997
37, 38, './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00038.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00039.png', 5.380130109650845
38, 39, './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00039.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00040.png', 4.669680812566233
39, 40, './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00040.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00041.png', 4.775476495003036
40, 41, './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00041.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00042.png', 4.9835110990353195
41, 42, './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00042.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00043.png', 4.3070677399357375
42, 43, './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00043.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00044.png', 4.933538128522834
43, 44, './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00044.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00045.png', 4.980247225704324
44, 45, './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00045.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00046.png', 4.637537291376047
45, 46, './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00046.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00047.png', 4.645044192874212
46, 47, './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00047.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00048.png', 4.5617786900113995
47, 48, './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00048.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00049.png', 4.7887041043710346
48, 49, './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00049.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00050.png', 4.913847436148245
49, 50, './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00050.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00051.png', 4.722192252022787
50, 51, './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00051.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00052.png', 5.297305125257556
51, 52, './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00052.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00053.png', 4.907864743153191
52, 53, './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00053.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00054.png', 5.07821380456615
53, 54, './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00054.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00055.png', 5.097948390653927
54, 55, './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00055.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00056.png', 4.672619594416371
55, 56, './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00056.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00057.png', 5.3569538729338255
56, 57, './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00057.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00058.png', 4.479274557456287
57, 58, './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00058.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00059.png', 6.736200628689787
58, 59, './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00059.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00060.png', 5.571159991721779
59, 60, './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00060.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00061.png', 6.72483242907568
60, 61, './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00061.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00062.png', 5.933781262327347
61, 62, './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00062.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00063.png', 5.5917424113986955
62, 63, './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00063.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00064.png', 5.357226980044164
63, 64, './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00064.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00065.png', 6.436008645322791
64, 65, './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00065.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00066.png', 5.30943707961314
65, 66, './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00066.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00067.png', 5.776989015220603
66, 67, './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00067.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00068.png', 4.908957631633618
67, 68, './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00068.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00069.png', 7.1999078331191315
68, 69, './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00069.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/2/flow_y_00070.png', 5.425309712406265
