0, 1, './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/1/flow_y_00001.png', './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/1/flow_y_00002.png', 4.52865131935112
1, 2, './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/1/flow_y_00002.png', './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/1/flow_y_00003.png', 5.1364625888919235
2, 3, './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/1/flow_y_00003.png', './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/1/flow_y_00004.png', 4.476986785649247
3, 4, './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/1/flow_y_00004.png', './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/1/flow_y_00005.png', 5.306713371863657
4, 5, './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/1/flow_y_00005.png', './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/1/flow_y_00006.png', 3.8802205048419105
5, 6, './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/1/flow_y_00006.png', './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/1/flow_y_00007.png', 5.289339996359078
6, 7, './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/1/flow_y_00007.png', './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/1/flow_y_00008.png', 4.824488060153159
7, 8, './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/1/flow_y_00008.png', './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/1/flow_y_00009.png', 3.4088473059131252
8, 9, './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/1/flow_y_00009.png', './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/1/flow_y_00010.png', 4.366307244024337
9, 10, './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/1/flow_y_00010.png', './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/1/flow_y_00011.png', 3.6060694676998892
10, 11, './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/1/flow_y_00011.png', './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/1/flow_y_00012.png', 3.031344243584776
11, 12, './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/1/flow_y_00012.png', './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/1/flow_y_00013.png', 4.644924358754099
12, 13, './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/1/flow_y_00013.png', './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/1/flow_y_00014.png', 4.363956932292822
13, 14, './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/1/flow_y_00014.png', './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/1/flow_y_00015.png', 4.979660614944406
14, 15, './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/1/flow_y_00015.png', './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/1/flow_y_00016.png', 4.277923040448678
15, 16, './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/1/flow_y_00016.png', './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/1/flow_y_00017.png', 3.8244357804626326
16, 17, './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/1/flow_y_00017.png', './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/1/flow_y_00018.png', 3.595759592242516
17, 18, './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/1/flow_y_00018.png', './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/1/flow_y_00019.png', 4.169337760433809
18, 19, './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/1/flow_y_00019.png', './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/1/flow_y_00020.png', 4.361738937375663
19, 20, './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/1/flow_y_00020.png', './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/1/flow_y_00021.png', 5.18624235690181
20, 21, './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/1/flow_y_00021.png', './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/1/flow_y_00022.png', 4.69932470583986
21, 22, './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/1/flow_y_00022.png', './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/1/flow_y_00023.png', 4.6717003125741785
22, 23, './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/1/flow_y_00023.png', './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/1/flow_y_00024.png', 5.493704709631872
23, 24, './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/1/flow_y_00024.png', './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/1/flow_y_00025.png', 5.173995931279048
24, 25, './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/1/flow_y_00025.png', './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/1/flow_y_00026.png', 4.138743542030222
25, 26, './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/1/flow_y_00026.png', './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/1/flow_y_00027.png', 6.934335685451351
26, 27, './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/1/flow_y_00027.png', './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/1/flow_y_00028.png', 5.931043533167135
27, 28, './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/1/flow_y_00028.png', './GTEA61/flow_y_processed/S4/scoop_peanut,spoon/1/flow_y_00029.png', 6.783639499163804
