0, 1, './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/4/flow_x_00001.png', './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/4/flow_x_00002.png', 4.135582725162401
1, 2, './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/4/flow_x_00002.png', './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/4/flow_x_00003.png', 4.056780911299311
2, 3, './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/4/flow_x_00003.png', './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/4/flow_x_00004.png', 4.897956575962762
3, 4, './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/4/flow_x_00004.png', './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/4/flow_x_00005.png', 4.871008439385793
4, 5, './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/4/flow_x_00005.png', './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/4/flow_x_00006.png', 3.368367452729229
5, 6, './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/4/flow_x_00006.png', './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/4/flow_x_00007.png', 3.3897979032196637
6, 7, './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/4/flow_x_00007.png', './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/4/flow_x_00008.png', 3.9532916279662675
7, 8, './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/4/flow_x_00008.png', './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/4/flow_x_00009.png', 5.731207341111517
8, 9, './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/4/flow_x_00009.png', './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/4/flow_x_00010.png', 5.28110370754662
9, 10, './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/4/flow_x_00010.png', './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/4/flow_x_00011.png', 3.757708722629475
10, 11, './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/4/flow_x_00011.png', './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/4/flow_x_00012.png', 3.7795507645551383
11, 12, './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/4/flow_x_00012.png', './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/4/flow_x_00013.png', 4.2969361701449
12, 13, './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/4/flow_x_00013.png', './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/4/flow_x_00014.png', 3.8093352236703257
13, 14, './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/4/flow_x_00014.png', './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/4/flow_x_00015.png', 4.427130657900131
14, 15, './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/4/flow_x_00015.png', './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/4/flow_x_00016.png', 4.239445862397925
15, 16, './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/4/flow_x_00016.png', './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/4/flow_x_00017.png', 4.474509397841311
16, 17, './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/4/flow_x_00017.png', './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/4/flow_x_00018.png', 4.928042751950554
17, 18, './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/4/flow_x_00018.png', './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/4/flow_x_00019.png', 5.813706450335628
18, 19, './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/4/flow_x_00019.png', './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/4/flow_x_00020.png', 6.419842821870842
19, 20, './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/4/flow_x_00020.png', './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/4/flow_x_00021.png', 6.347051588246333
20, 21, './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/4/flow_x_00021.png', './GTEA61/flow_x_processed/S3/scoop_sugar,spoon/4/flow_x_00022.png', 6.149755021710089
