0, 1, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/3/mmaps/map0001.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/3/mmaps/map0002.png', 0.3667688894625469
1, 2, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/3/mmaps/map0002.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/3/mmaps/map0003.png', 0.2346748511118851
2, 3, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/3/mmaps/map0003.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/3/mmaps/map0004.png', 0.19385770480882797
3, 4, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/3/mmaps/map0004.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/3/mmaps/map0005.png', 0.20914349524052311
4, 5, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/3/mmaps/map0005.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/3/mmaps/map0006.png', 0.23006647045623502
5, 6, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/3/mmaps/map0006.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/3/mmaps/map0007.png', 0.19823496409776625
6, 7, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/3/mmaps/map0007.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/3/mmaps/map0008.png', 0.18743824819523214
7, 8, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/3/mmaps/map0008.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/3/mmaps/map0009.png', 0.18062526965850428
8, 9, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/3/mmaps/map0009.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/3/mmaps/map0010.png', 0.20885052335396417
9, 10, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/3/mmaps/map0010.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/3/mmaps/map0011.png', 0.45887230265320406
10, 11, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/3/mmaps/map0011.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/3/mmaps/map0012.png', 0.35249799027240003
