0, 1, './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00001.png', './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00002.png', 5.232343096999619
1, 2, './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00002.png', './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00003.png', 5.4991378053489175
2, 3, './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00003.png', './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00004.png', 5.3090584506293
3, 4, './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00004.png', './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00005.png', 4.954976725534107
4, 5, './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00005.png', './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00006.png', 4.218029654557271
5, 6, './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00006.png', './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00007.png', 5.069783822832245
6, 7, './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00007.png', './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00008.png', 4.429942570895003
7, 8, './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00008.png', './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00009.png', 6.314863548583927
8, 9, './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00009.png', './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00010.png', 6.095603085559511
9, 10, './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00010.png', './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00011.png', 4.062835235500413
10, 11, './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00011.png', './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00012.png', 4.29534725985857
11, 12, './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00012.png', './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00013.png', 4.9223023030074495
12, 13, './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00013.png', './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00014.png', 4.303085129293098
13, 14, './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00014.png', './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00015.png', 4.7792010510070595
14, 15, './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00015.png', './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00016.png', 4.013872190141892
15, 16, './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00016.png', './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00017.png', 4.453527790921847
16, 17, './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00017.png', './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00018.png', 4.716419580433577
