0, 1, './GTEA61/processed_frames2/S3/put_bread,bread/1/rgb/rgb0001.png', './GTEA61/processed_frames2/S3/put_bread,bread/1/rgb/rgb0002.png', 6.241711695550098
1, 2, './GTEA61/processed_frames2/S3/put_bread,bread/1/rgb/rgb0002.png', './GTEA61/processed_frames2/S3/put_bread,bread/1/rgb/rgb0003.png', 5.938922023203349
2, 3, './GTEA61/processed_frames2/S3/put_bread,bread/1/rgb/rgb0003.png', './GTEA61/processed_frames2/S3/put_bread,bread/1/rgb/rgb0004.png', 5.597302426245399
3, 4, './GTEA61/processed_frames2/S3/put_bread,bread/1/rgb/rgb0004.png', './GTEA61/processed_frames2/S3/put_bread,bread/1/rgb/rgb0005.png', 5.634576950437165
4, 5, './GTEA61/processed_frames2/S3/put_bread,bread/1/rgb/rgb0005.png', './GTEA61/processed_frames2/S3/put_bread,bread/1/rgb/rgb0006.png', 5.333149209108534
5, 6, './GTEA61/processed_frames2/S3/put_bread,bread/1/rgb/rgb0006.png', './GTEA61/processed_frames2/S3/put_bread,bread/1/rgb/rgb0007.png', 5.000756569195175
6, 7, './GTEA61/processed_frames2/S3/put_bread,bread/1/rgb/rgb0007.png', './GTEA61/processed_frames2/S3/put_bread,bread/1/rgb/rgb0008.png', 5.171659245431718
7, 8, './GTEA61/processed_frames2/S3/put_bread,bread/1/rgb/rgb0008.png', './GTEA61/processed_frames2/S3/put_bread,bread/1/rgb/rgb0009.png', 5.314352931499929
8, 9, './GTEA61/processed_frames2/S3/put_bread,bread/1/rgb/rgb0009.png', './GTEA61/processed_frames2/S3/put_bread,bread/1/rgb/rgb0010.png', 5.528880759044748
9, 10, './GTEA61/processed_frames2/S3/put_bread,bread/1/rgb/rgb0010.png', './GTEA61/processed_frames2/S3/put_bread,bread/1/rgb/rgb0011.png', 5.496512876944067
10, 11, './GTEA61/processed_frames2/S3/put_bread,bread/1/rgb/rgb0011.png', './GTEA61/processed_frames2/S3/put_bread,bread/1/rgb/rgb0012.png', 5.2517933014420315
11, 12, './GTEA61/processed_frames2/S3/put_bread,bread/1/rgb/rgb0012.png', './GTEA61/processed_frames2/S3/put_bread,bread/1/rgb/rgb0013.png', 5.033471876942884
12, 13, './GTEA61/processed_frames2/S3/put_bread,bread/1/rgb/rgb0013.png', './GTEA61/processed_frames2/S3/put_bread,bread/1/rgb/rgb0014.png', 4.773219598797746
13, 14, './GTEA61/processed_frames2/S3/put_bread,bread/1/rgb/rgb0014.png', './GTEA61/processed_frames2/S3/put_bread,bread/1/rgb/rgb0015.png', 4.907663769627421
14, 15, './GTEA61/processed_frames2/S3/put_bread,bread/1/rgb/rgb0015.png', './GTEA61/processed_frames2/S3/put_bread,bread/1/rgb/rgb0016.png', 4.554720383215087
