0, 1, './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/rgb/rgb0001.png', './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/rgb/rgb0002.png', 5.021267083364974
1, 2, './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/rgb/rgb0002.png', './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/rgb/rgb0003.png', 4.975158619188198
2, 3, './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/rgb/rgb0003.png', './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/rgb/rgb0004.png', 4.9695600900441805
3, 4, './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/rgb/rgb0004.png', './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/rgb/rgb0005.png', 5.22538088156958
4, 5, './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/rgb/rgb0005.png', './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/rgb/rgb0006.png', 5.120702307303574
5, 6, './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/rgb/rgb0006.png', './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/rgb/rgb0007.png', 4.530983664593407
6, 7, './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/rgb/rgb0007.png', './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/rgb/rgb0008.png', 5.1469166222295675
7, 8, './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/rgb/rgb0008.png', './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/rgb/rgb0009.png', 5.077777667308385
8, 9, './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/rgb/rgb0009.png', './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/rgb/rgb0010.png', 4.769458289906714
9, 10, './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/rgb/rgb0010.png', './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/rgb/rgb0011.png', 4.688530095665145
10, 11, './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/rgb/rgb0011.png', './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/rgb/rgb0012.png', 4.963669046816705
11, 12, './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/rgb/rgb0012.png', './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/rgb/rgb0013.png', 4.842227174088597
12, 13, './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/rgb/rgb0013.png', './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/rgb/rgb0014.png', 5.016996074159199
13, 14, './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/rgb/rgb0014.png', './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/rgb/rgb0015.png', 4.95080080702986
14, 15, './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/rgb/rgb0015.png', './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/rgb/rgb0016.png', 4.996789965772099
15, 16, './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/rgb/rgb0016.png', './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/rgb/rgb0017.png', 5.410013901131157
16, 17, './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/rgb/rgb0017.png', './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/rgb/rgb0018.png', 5.56838947236063
17, 18, './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/rgb/rgb0018.png', './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/rgb/rgb0019.png', 5.44209853049019
18, 19, './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/rgb/rgb0019.png', './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/rgb/rgb0020.png', 5.281860311055674
19, 20, './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/rgb/rgb0020.png', './GTEA61/processed_frames2/S1/spread_jam,spoon,bread/1/rgb/rgb0021.png', 5.351032691662364
