0, 1, './GTEA61/flow_x_processed/S3/stir_spoon,cup/1/flow_x_00001.png', './GTEA61/flow_x_processed/S3/stir_spoon,cup/1/flow_x_00002.png', 4.529912630327683
1, 2, './GTEA61/flow_x_processed/S3/stir_spoon,cup/1/flow_x_00002.png', './GTEA61/flow_x_processed/S3/stir_spoon,cup/1/flow_x_00003.png', 4.511671243034746
2, 3, './GTEA61/flow_x_processed/S3/stir_spoon,cup/1/flow_x_00003.png', './GTEA61/flow_x_processed/S3/stir_spoon,cup/1/flow_x_00004.png', 5.22948981598619
3, 4, './GTEA61/flow_x_processed/S3/stir_spoon,cup/1/flow_x_00004.png', './GTEA61/flow_x_processed/S3/stir_spoon,cup/1/flow_x_00005.png', 4.629477073317817
4, 5, './GTEA61/flow_x_processed/S3/stir_spoon,cup/1/flow_x_00005.png', './GTEA61/flow_x_processed/S3/stir_spoon,cup/1/flow_x_00006.png', 5.8499259518636535
5, 6, './GTEA61/flow_x_processed/S3/stir_spoon,cup/1/flow_x_00006.png', './GTEA61/flow_x_processed/S3/stir_spoon,cup/1/flow_x_00007.png', 6.66812974477926
6, 7, './GTEA61/flow_x_processed/S3/stir_spoon,cup/1/flow_x_00007.png', './GTEA61/flow_x_processed/S3/stir_spoon,cup/1/flow_x_00008.png', 5.197533223157826
7, 8, './GTEA61/flow_x_processed/S3/stir_spoon,cup/1/flow_x_00008.png', './GTEA61/flow_x_processed/S3/stir_spoon,cup/1/flow_x_00009.png', 5.79847699203553
8, 9, './GTEA61/flow_x_processed/S3/stir_spoon,cup/1/flow_x_00009.png', './GTEA61/flow_x_processed/S3/stir_spoon,cup/1/flow_x_00010.png', 5.763290900661213
9, 10, './GTEA61/flow_x_processed/S3/stir_spoon,cup/1/flow_x_00010.png', './GTEA61/flow_x_processed/S3/stir_spoon,cup/1/flow_x_00011.png', 5.649453796582794
10, 11, './GTEA61/flow_x_processed/S3/stir_spoon,cup/1/flow_x_00011.png', './GTEA61/flow_x_processed/S3/stir_spoon,cup/1/flow_x_00012.png', 5.457700617615085
11, 12, './GTEA61/flow_x_processed/S3/stir_spoon,cup/1/flow_x_00012.png', './GTEA61/flow_x_processed/S3/stir_spoon,cup/1/flow_x_00013.png', 5.115006240658455
12, 13, './GTEA61/flow_x_processed/S3/stir_spoon,cup/1/flow_x_00013.png', './GTEA61/flow_x_processed/S3/stir_spoon,cup/1/flow_x_00014.png', 5.565243656542405
13, 14, './GTEA61/flow_x_processed/S3/stir_spoon,cup/1/flow_x_00014.png', './GTEA61/flow_x_processed/S3/stir_spoon,cup/1/flow_x_00015.png', 5.748909242165936
