0, 1, './GTEA61/processed_frames2/S3/stir_spoon,cup/1/rgb/rgb0001.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/1/rgb/rgb0002.png', 4.796686059226602
1, 2, './GTEA61/processed_frames2/S3/stir_spoon,cup/1/rgb/rgb0002.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/1/rgb/rgb0003.png', 5.4879848287067015
2, 3, './GTEA61/processed_frames2/S3/stir_spoon,cup/1/rgb/rgb0003.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/1/rgb/rgb0004.png', 5.423940917096921
3, 4, './GTEA61/processed_frames2/S3/stir_spoon,cup/1/rgb/rgb0004.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/1/rgb/rgb0005.png', 5.4699969454203385
4, 5, './GTEA61/processed_frames2/S3/stir_spoon,cup/1/rgb/rgb0005.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/1/rgb/rgb0006.png', 5.535285948002754
5, 6, './GTEA61/processed_frames2/S3/stir_spoon,cup/1/rgb/rgb0006.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/1/rgb/rgb0007.png', 5.654181678572109
6, 7, './GTEA61/processed_frames2/S3/stir_spoon,cup/1/rgb/rgb0007.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/1/rgb/rgb0008.png', 5.575592147464475
7, 8, './GTEA61/processed_frames2/S3/stir_spoon,cup/1/rgb/rgb0008.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/1/rgb/rgb0009.png', 5.438452344646932
8, 9, './GTEA61/processed_frames2/S3/stir_spoon,cup/1/rgb/rgb0009.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/1/rgb/rgb0010.png', 5.283558668467696
9, 10, './GTEA61/processed_frames2/S3/stir_spoon,cup/1/rgb/rgb0010.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/1/rgb/rgb0011.png', 4.987624947397129
10, 11, './GTEA61/processed_frames2/S3/stir_spoon,cup/1/rgb/rgb0011.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/1/rgb/rgb0012.png', 5.322985610486728
11, 12, './GTEA61/processed_frames2/S3/stir_spoon,cup/1/rgb/rgb0012.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/1/rgb/rgb0013.png', 5.412271751202984
12, 13, './GTEA61/processed_frames2/S3/stir_spoon,cup/1/rgb/rgb0013.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/1/rgb/rgb0014.png', 5.153829560374463
13, 14, './GTEA61/processed_frames2/S3/stir_spoon,cup/1/rgb/rgb0014.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/1/rgb/rgb0015.png', 5.548840880737245
14, 15, './GTEA61/processed_frames2/S3/stir_spoon,cup/1/rgb/rgb0015.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/1/rgb/rgb0016.png', 5.597660565215112
15, 16, './GTEA61/processed_frames2/S3/stir_spoon,cup/1/rgb/rgb0016.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/1/rgb/rgb0017.png', 5.061571231235893
16, 17, './GTEA61/processed_frames2/S3/stir_spoon,cup/1/rgb/rgb0017.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/1/rgb/rgb0018.png', 5.711536991342499
17, 18, './GTEA61/processed_frames2/S3/stir_spoon,cup/1/rgb/rgb0018.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/1/rgb/rgb0019.png', 5.007565973359022
18, 19, './GTEA61/processed_frames2/S3/stir_spoon,cup/1/rgb/rgb0019.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/1/rgb/rgb0020.png', 5.519607890977365
19, 20, './GTEA61/processed_frames2/S3/stir_spoon,cup/1/rgb/rgb0020.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/1/rgb/rgb0021.png', 5.637849459402126
20, 21, './GTEA61/processed_frames2/S3/stir_spoon,cup/1/rgb/rgb0021.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/1/rgb/rgb0022.png', 5.1995773635733435
21, 22, './GTEA61/processed_frames2/S3/stir_spoon,cup/1/rgb/rgb0022.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/1/rgb/rgb0023.png', 5.628876540116096
22, 23, './GTEA61/processed_frames2/S3/stir_spoon,cup/1/rgb/rgb0023.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/1/rgb/rgb0024.png', 5.367322030912113
23, 24, './GTEA61/processed_frames2/S3/stir_spoon,cup/1/rgb/rgb0024.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/1/rgb/rgb0025.png', 5.521339031095898
24, 25, './GTEA61/processed_frames2/S3/stir_spoon,cup/1/rgb/rgb0025.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/1/rgb/rgb0026.png', 5.646361571945161
25, 26, './GTEA61/processed_frames2/S3/stir_spoon,cup/1/rgb/rgb0026.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/1/rgb/rgb0027.png', 5.345274538909917
26, 27, './GTEA61/processed_frames2/S3/stir_spoon,cup/1/rgb/rgb0027.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/1/rgb/rgb0028.png', 5.396865767049177
27, 28, './GTEA61/processed_frames2/S3/stir_spoon,cup/1/rgb/rgb0028.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/1/rgb/rgb0029.png', 5.0183089488683095
28, 29, './GTEA61/processed_frames2/S3/stir_spoon,cup/1/rgb/rgb0029.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/1/rgb/rgb0030.png', 5.42860137954352
29, 30, './GTEA61/processed_frames2/S3/stir_spoon,cup/1/rgb/rgb0030.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/1/rgb/rgb0031.png', 5.645925705823906
30, 31, './GTEA61/processed_frames2/S3/stir_spoon,cup/1/rgb/rgb0031.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/1/rgb/rgb0032.png', 5.278070521798105
31, 32, './GTEA61/processed_frames2/S3/stir_spoon,cup/1/rgb/rgb0032.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/1/rgb/rgb0033.png', 5.571311219315635
32, 33, './GTEA61/processed_frames2/S3/stir_spoon,cup/1/rgb/rgb0033.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/1/rgb/rgb0034.png', 5.471157812099926
33, 34, './GTEA61/processed_frames2/S3/stir_spoon,cup/1/rgb/rgb0034.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/1/rgb/rgb0035.png', 4.890162036778171
34, 35, './GTEA61/processed_frames2/S3/stir_spoon,cup/1/rgb/rgb0035.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/1/rgb/rgb0036.png', 5.680335258785255
35, 36, './GTEA61/processed_frames2/S3/stir_spoon,cup/1/rgb/rgb0036.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/1/rgb/rgb0037.png', 5.354723770006203
36, 37, './GTEA61/processed_frames2/S3/stir_spoon,cup/1/rgb/rgb0037.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/1/rgb/rgb0038.png', 5.50165072631928
37, 38, './GTEA61/processed_frames2/S3/stir_spoon,cup/1/rgb/rgb0038.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/1/rgb/rgb0039.png', 5.474734349153324
38, 39, './GTEA61/processed_frames2/S3/stir_spoon,cup/1/rgb/rgb0039.png', './GTEA61/processed_frames2/S3/stir_spoon,cup/1/rgb/rgb0040.png', 5.264853326958154
