0, 1, './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00001.png', './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00002.png', 5.733300956109506
1, 2, './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00002.png', './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00003.png', 5.557159885358275
2, 3, './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00003.png', './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00004.png', 5.705459719905326
3, 4, './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00004.png', './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00005.png', 5.587820437623087
4, 5, './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00005.png', './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00006.png', 4.923486629458366
5, 6, './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00006.png', './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00007.png', 4.829805219366386
6, 7, './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00007.png', './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00008.png', 4.541543337813974
7, 8, './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00008.png', './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00009.png', 4.635881881648594
8, 9, './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00009.png', './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00010.png', 4.923426315626876
9, 10, './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00010.png', './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00011.png', 4.846498448993343
10, 11, './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00011.png', './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00012.png', 5.005271597225842
11, 12, './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00012.png', './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00013.png', 4.416520713187874
12, 13, './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00013.png', './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00014.png', 4.3226529719948115
13, 14, './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00014.png', './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00015.png', 4.684222187135369
14, 15, './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00015.png', './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00016.png', 4.287883763606564
15, 16, './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00016.png', './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00017.png', 5.221798622492037
16, 17, './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00017.png', './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00018.png', 4.983896097403801
17, 18, './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00018.png', './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00019.png', 4.035762650769262
18, 19, './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00019.png', './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00020.png', 4.04432524089745
19, 20, './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00020.png', './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00021.png', 4.998247321903643
20, 21, './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00021.png', './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00022.png', 5.87451729642014
21, 22, './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00022.png', './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00023.png', 4.973716746076324
22, 23, './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00023.png', './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00024.png', 5.720189140256075
23, 24, './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00024.png', './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00025.png', 5.2039412953451665
24, 25, './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00025.png', './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00026.png', 4.687330053575597
25, 26, './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00026.png', './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00027.png', 5.516471025524328
26, 27, './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00027.png', './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00028.png', 5.793707599803593
27, 28, './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00028.png', './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00029.png', 6.035773582505738
28, 29, './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00029.png', './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00030.png', 4.547695774063077
29, 30, './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00030.png', './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00031.png', 5.634316227334258
30, 31, './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00031.png', './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00032.png', 5.397422112402944
31, 32, './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00032.png', './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00033.png', 5.518358004453076
32, 33, './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00033.png', './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00034.png', 6.399832101820731
33, 34, './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00034.png', './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00035.png', 5.020918404278807
34, 35, './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00035.png', './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00036.png', 4.748636489020091
35, 36, './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00036.png', './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00037.png', 5.206571542592951
36, 37, './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00037.png', './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00038.png', 4.870819213945634
37, 38, './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00038.png', './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00039.png', 5.73842700348152
38, 39, './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00039.png', './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00040.png', 5.065766890186739
39, 40, './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00040.png', './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00041.png', 5.442121898668045
40, 41, './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00041.png', './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00042.png', 4.620469918115748
41, 42, './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00042.png', './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00043.png', 5.052403633584355
42, 43, './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00043.png', './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00044.png', 5.175678362625056
43, 44, './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00044.png', './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00045.png', 5.377406736598284
44, 45, './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00045.png', './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00046.png', 5.0995907989383875
45, 46, './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00046.png', './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00047.png', 4.860121460722326
46, 47, './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00047.png', './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00048.png', 6.174458037292893
47, 48, './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00048.png', './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00049.png', 6.022468675557809
48, 49, './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00049.png', './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00050.png', 5.189970180757142
49, 50, './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00050.png', './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00051.png', 5.43554335380722
50, 51, './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00051.png', './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00052.png', 6.030040284455308
51, 52, './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00052.png', './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00053.png', 5.359947970391564
52, 53, './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00053.png', './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00054.png', 5.280880304288771
53, 54, './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00054.png', './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00055.png', 5.713225913679597
54, 55, './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00055.png', './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00056.png', 4.543813361923194
55, 56, './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00056.png', './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00057.png', 6.2293282016300955
56, 57, './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00057.png', './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00058.png', 5.341200097925824
57, 58, './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00058.png', './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00059.png', 4.975394797542824
58, 59, './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00059.png', './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00060.png', 4.616240182510138
59, 60, './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00060.png', './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00061.png', 4.518043319466004
60, 61, './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00061.png', './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00062.png', 5.46812909450173
61, 62, './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00062.png', './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00063.png', 4.9479950657721385
62, 63, './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00063.png', './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00064.png', 4.583818658183582
63, 64, './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00064.png', './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00065.png', 4.84913910670659
64, 65, './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00065.png', './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00066.png', 4.468810171992688
65, 66, './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00066.png', './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00067.png', 4.8912504012815745
66, 67, './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00067.png', './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00068.png', 4.054050238735506
67, 68, './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00068.png', './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00069.png', 5.006745685566991
68, 69, './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00069.png', './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00070.png', 5.249171730493408
69, 70, './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00070.png', './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00071.png', 5.53889625296492
70, 71, './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00071.png', './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00072.png', 5.175681510612306
71, 72, './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00072.png', './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00073.png', 4.70993642365885
72, 73, './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00073.png', './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00074.png', 5.199232894762806
73, 74, './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00074.png', './GTEA61/flow_x_processed/S1/put_bread,bread/2/flow_x_00075.png', 4.717377497894878
