0, 1, './GTEA61/processed_frames2/S4/scoop_jam,spoon/2/mmaps/map0001.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/2/mmaps/map0002.png', 0.309364045901374
1, 2, './GTEA61/processed_frames2/S4/scoop_jam,spoon/2/mmaps/map0002.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/2/mmaps/map0003.png', 0.28310562194854877
2, 3, './GTEA61/processed_frames2/S4/scoop_jam,spoon/2/mmaps/map0003.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/2/mmaps/map0004.png', 0.20100497549938773
3, 4, './GTEA61/processed_frames2/S4/scoop_jam,spoon/2/mmaps/map0004.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/2/mmaps/map0005.png', 0.13136246599207907
4, 5, './GTEA61/processed_frames2/S4/scoop_jam,spoon/2/mmaps/map0005.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/2/mmaps/map0006.png', 0.1101149089772595
5, 6, './GTEA61/processed_frames2/S4/scoop_jam,spoon/2/mmaps/map0006.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/2/mmaps/map0007.png', 0.08086142510836422
6, 7, './GTEA61/processed_frames2/S4/scoop_jam,spoon/2/mmaps/map0007.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/2/mmaps/map0008.png', 0.06374544012128892
7, 8, './GTEA61/processed_frames2/S4/scoop_jam,spoon/2/mmaps/map0008.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/2/mmaps/map0009.png', 0.03114868157692159
8, 9, './GTEA61/processed_frames2/S4/scoop_jam,spoon/2/mmaps/map0009.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/2/mmaps/map0010.png', 0.04420470074677382
9, 10, './GTEA61/processed_frames2/S4/scoop_jam,spoon/2/mmaps/map0010.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/2/mmaps/map0011.png', 0.5098874437260751
10, 11, './GTEA61/processed_frames2/S4/scoop_jam,spoon/2/mmaps/map0011.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/2/mmaps/map0012.png', 0.3783086648276196
11, 12, './GTEA61/processed_frames2/S4/scoop_jam,spoon/2/mmaps/map0012.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/2/mmaps/map0013.png', 0.31869945075607764
12, 13, './GTEA61/processed_frames2/S4/scoop_jam,spoon/2/mmaps/map0013.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/2/mmaps/map0014.png', 0.19605103643770758
13, 14, './GTEA61/processed_frames2/S4/scoop_jam,spoon/2/mmaps/map0014.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/2/mmaps/map0015.png', 0.20901795587981292
14, 15, './GTEA61/processed_frames2/S4/scoop_jam,spoon/2/mmaps/map0015.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/2/mmaps/map0016.png', 0.12247673283564631
15, 16, './GTEA61/processed_frames2/S4/scoop_jam,spoon/2/mmaps/map0016.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/2/mmaps/map0017.png', 0.08839331468191235
16, 17, './GTEA61/processed_frames2/S4/scoop_jam,spoon/2/mmaps/map0017.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/2/mmaps/map0018.png', 0.09553458321410108
17, 18, './GTEA61/processed_frames2/S4/scoop_jam,spoon/2/mmaps/map0018.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/2/mmaps/map0019.png', 0.077197361910631
18, 19, './GTEA61/processed_frames2/S4/scoop_jam,spoon/2/mmaps/map0019.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/2/mmaps/map0020.png', 0.07173066925970395
19, 20, './GTEA61/processed_frames2/S4/scoop_jam,spoon/2/mmaps/map0020.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/2/mmaps/map0021.png', 0.09618609321214394
20, 21, './GTEA61/processed_frames2/S4/scoop_jam,spoon/2/mmaps/map0021.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/2/mmaps/map0022.png', 0.2261895704395554
