0, 1, './GTEA61/flow_x_processed/S4/scoop_peanut,spoon/2/flow_x_00001.png', './GTEA61/flow_x_processed/S4/scoop_peanut,spoon/2/flow_x_00002.png', 5.160813861803815
1, 2, './GTEA61/flow_x_processed/S4/scoop_peanut,spoon/2/flow_x_00002.png', './GTEA61/flow_x_processed/S4/scoop_peanut,spoon/2/flow_x_00003.png', 4.45374859065098
2, 3, './GTEA61/flow_x_processed/S4/scoop_peanut,spoon/2/flow_x_00003.png', './GTEA61/flow_x_processed/S4/scoop_peanut,spoon/2/flow_x_00004.png', 5.143491487310943
3, 4, './GTEA61/flow_x_processed/S4/scoop_peanut,spoon/2/flow_x_00004.png', './GTEA61/flow_x_processed/S4/scoop_peanut,spoon/2/flow_x_00005.png', 5.223933390768958
4, 5, './GTEA61/flow_x_processed/S4/scoop_peanut,spoon/2/flow_x_00005.png', './GTEA61/flow_x_processed/S4/scoop_peanut,spoon/2/flow_x_00006.png', 5.205179735437445
5, 6, './GTEA61/flow_x_processed/S4/scoop_peanut,spoon/2/flow_x_00006.png', './GTEA61/flow_x_processed/S4/scoop_peanut,spoon/2/flow_x_00007.png', 4.799104464473905
6, 7, './GTEA61/flow_x_processed/S4/scoop_peanut,spoon/2/flow_x_00007.png', './GTEA61/flow_x_processed/S4/scoop_peanut,spoon/2/flow_x_00008.png', 4.771338278282209
7, 8, './GTEA61/flow_x_processed/S4/scoop_peanut,spoon/2/flow_x_00008.png', './GTEA61/flow_x_processed/S4/scoop_peanut,spoon/2/flow_x_00009.png', 5.293749670497728
8, 9, './GTEA61/flow_x_processed/S4/scoop_peanut,spoon/2/flow_x_00009.png', './GTEA61/flow_x_processed/S4/scoop_peanut,spoon/2/flow_x_00010.png', 4.398086136536013
9, 10, './GTEA61/flow_x_processed/S4/scoop_peanut,spoon/2/flow_x_00010.png', './GTEA61/flow_x_processed/S4/scoop_peanut,spoon/2/flow_x_00011.png', 4.691948158318284
10, 11, './GTEA61/flow_x_processed/S4/scoop_peanut,spoon/2/flow_x_00011.png', './GTEA61/flow_x_processed/S4/scoop_peanut,spoon/2/flow_x_00012.png', 4.065105811560286
11, 12, './GTEA61/flow_x_processed/S4/scoop_peanut,spoon/2/flow_x_00012.png', './GTEA61/flow_x_processed/S4/scoop_peanut,spoon/2/flow_x_00013.png', 4.2222920650628195
12, 13, './GTEA61/flow_x_processed/S4/scoop_peanut,spoon/2/flow_x_00013.png', './GTEA61/flow_x_processed/S4/scoop_peanut,spoon/2/flow_x_00014.png', 3.7563974303339687
13, 14, './GTEA61/flow_x_processed/S4/scoop_peanut,spoon/2/flow_x_00014.png', './GTEA61/flow_x_processed/S4/scoop_peanut,spoon/2/flow_x_00015.png', 3.93099916383053
14, 15, './GTEA61/flow_x_processed/S4/scoop_peanut,spoon/2/flow_x_00015.png', './GTEA61/flow_x_processed/S4/scoop_peanut,spoon/2/flow_x_00016.png', 3.369151458556398
15, 16, './GTEA61/flow_x_processed/S4/scoop_peanut,spoon/2/flow_x_00016.png', './GTEA61/flow_x_processed/S4/scoop_peanut,spoon/2/flow_x_00017.png', 3.61181522280408
