0, 1, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/2/mmaps/map0001.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/2/mmaps/map0002.png', 0.34316543715839387
1, 2, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/2/mmaps/map0002.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/2/mmaps/map0003.png', 0.19866209366573173
2, 3, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/2/mmaps/map0003.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/2/mmaps/map0004.png', 0.09845658230012963
3, 4, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/2/mmaps/map0004.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/2/mmaps/map0005.png', 0.060640858332782765
4, 5, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/2/mmaps/map0005.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/2/mmaps/map0006.png', 0.0721414181830374
5, 6, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/2/mmaps/map0006.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/2/mmaps/map0007.png', 0.149435467394127
6, 7, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/2/mmaps/map0007.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/2/mmaps/map0008.png', 0.175016255742624
7, 8, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/2/mmaps/map0008.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/2/mmaps/map0009.png', 0.2527359855398703
8, 9, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/2/mmaps/map0009.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/2/mmaps/map0010.png', 0.27746796839850485
9, 10, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/2/mmaps/map0010.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/2/mmaps/map0011.png', 0.40407003769636707
10, 11, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/2/mmaps/map0011.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/2/mmaps/map0012.png', 0.28171043752031094
11, 12, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/2/mmaps/map0012.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/2/mmaps/map0013.png', 0.2555113481880913
12, 13, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/2/mmaps/map0013.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/2/mmaps/map0014.png', 0.10226108572492922
13, 14, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/2/mmaps/map0014.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/2/mmaps/map0015.png', 0.045781503673039424
14, 15, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/2/mmaps/map0015.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/2/mmaps/map0016.png', 0.08425650532748996
15, 16, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/2/mmaps/map0016.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/2/mmaps/map0017.png', 0.21695168031058587
16, 17, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/2/mmaps/map0017.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/2/mmaps/map0018.png', 0.2420480873526778
17, 18, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/2/mmaps/map0018.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/2/mmaps/map0019.png', 0.24157532949787205
18, 19, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/2/mmaps/map0019.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/2/mmaps/map0020.png', 0.2565486393088154
19, 20, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/2/mmaps/map0020.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/2/mmaps/map0021.png', 0.32138989141536767
