0, 1, './GTEA61/flow_x_processed/S2/pour_mustard,cheese,bread/1/flow_x_00001.png', './GTEA61/flow_x_processed/S2/pour_mustard,cheese,bread/1/flow_x_00002.png', 6.495239225573029
1, 2, './GTEA61/flow_x_processed/S2/pour_mustard,cheese,bread/1/flow_x_00002.png', './GTEA61/flow_x_processed/S2/pour_mustard,cheese,bread/1/flow_x_00003.png', 5.848967353335874
2, 3, './GTEA61/flow_x_processed/S2/pour_mustard,cheese,bread/1/flow_x_00003.png', './GTEA61/flow_x_processed/S2/pour_mustard,cheese,bread/1/flow_x_00004.png', 5.397298338804332
3, 4, './GTEA61/flow_x_processed/S2/pour_mustard,cheese,bread/1/flow_x_00004.png', './GTEA61/flow_x_processed/S2/pour_mustard,cheese,bread/1/flow_x_00005.png', 5.460979931339826
4, 5, './GTEA61/flow_x_processed/S2/pour_mustard,cheese,bread/1/flow_x_00005.png', './GTEA61/flow_x_processed/S2/pour_mustard,cheese,bread/1/flow_x_00006.png', 5.806440737045614
5, 6, './GTEA61/flow_x_processed/S2/pour_mustard,cheese,bread/1/flow_x_00006.png', './GTEA61/flow_x_processed/S2/pour_mustard,cheese,bread/1/flow_x_00007.png', 5.7276009665789855
6, 7, './GTEA61/flow_x_processed/S2/pour_mustard,cheese,bread/1/flow_x_00007.png', './GTEA61/flow_x_processed/S2/pour_mustard,cheese,bread/1/flow_x_00008.png', 5.386449814197941
7, 8, './GTEA61/flow_x_processed/S2/pour_mustard,cheese,bread/1/flow_x_00008.png', './GTEA61/flow_x_processed/S2/pour_mustard,cheese,bread/1/flow_x_00009.png', 4.637946878018879
8, 9, './GTEA61/flow_x_processed/S2/pour_mustard,cheese,bread/1/flow_x_00009.png', './GTEA61/flow_x_processed/S2/pour_mustard,cheese,bread/1/flow_x_00010.png', 4.602458376221996
9, 10, './GTEA61/flow_x_processed/S2/pour_mustard,cheese,bread/1/flow_x_00010.png', './GTEA61/flow_x_processed/S2/pour_mustard,cheese,bread/1/flow_x_00011.png', 3.66440471165658
10, 11, './GTEA61/flow_x_processed/S2/pour_mustard,cheese,bread/1/flow_x_00011.png', './GTEA61/flow_x_processed/S2/pour_mustard,cheese,bread/1/flow_x_00012.png', 3.6753671603138995
11, 12, './GTEA61/flow_x_processed/S2/pour_mustard,cheese,bread/1/flow_x_00012.png', './GTEA61/flow_x_processed/S2/pour_mustard,cheese,bread/1/flow_x_00013.png', 3.4622945416173923
12, 13, './GTEA61/flow_x_processed/S2/pour_mustard,cheese,bread/1/flow_x_00013.png', './GTEA61/flow_x_processed/S2/pour_mustard,cheese,bread/1/flow_x_00014.png', 4.025215178437607
13, 14, './GTEA61/flow_x_processed/S2/pour_mustard,cheese,bread/1/flow_x_00014.png', './GTEA61/flow_x_processed/S2/pour_mustard,cheese,bread/1/flow_x_00015.png', 4.250059831779504
