0, 1, './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/2/rgb/rgb0001.png', './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/2/rgb/rgb0002.png', 5.3636062810530785
1, 2, './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/2/rgb/rgb0002.png', './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/2/rgb/rgb0003.png', 5.545687349838221
2, 3, './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/2/rgb/rgb0003.png', './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/2/rgb/rgb0004.png', 5.071795517897435
3, 4, './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/2/rgb/rgb0004.png', './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/2/rgb/rgb0005.png', 5.4814307823671875
4, 5, './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/2/rgb/rgb0005.png', './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/2/rgb/rgb0006.png', 5.226695614140468
5, 6, './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/2/rgb/rgb0006.png', './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/2/rgb/rgb0007.png', 5.256028696237599
6, 7, './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/2/rgb/rgb0007.png', './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/2/rgb/rgb0008.png', 5.1602788325079025
7, 8, './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/2/rgb/rgb0008.png', './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/2/rgb/rgb0009.png', 5.272973929431177
8, 9, './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/2/rgb/rgb0009.png', './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/2/rgb/rgb0010.png', 5.397965753221617
9, 10, './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/2/rgb/rgb0010.png', './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/2/rgb/rgb0011.png', 5.500400106797145
10, 11, './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/2/rgb/rgb0011.png', './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/2/rgb/rgb0012.png', 5.269223088812518
11, 12, './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/2/rgb/rgb0012.png', './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/2/rgb/rgb0013.png', 4.990370621631097
12, 13, './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/2/rgb/rgb0013.png', './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/2/rgb/rgb0014.png', 4.686770633906514
