0, 1, './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/3/flow_y_00001.png', './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/3/flow_y_00002.png', 5.774282750493208
1, 2, './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/3/flow_y_00002.png', './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/3/flow_y_00003.png', 5.21566877032744
2, 3, './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/3/flow_y_00003.png', './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/3/flow_y_00004.png', 5.43862477330663
3, 4, './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/3/flow_y_00004.png', './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/3/flow_y_00005.png', 5.206878968742755
4, 5, './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/3/flow_y_00005.png', './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/3/flow_y_00006.png', 5.316926467222525
5, 6, './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/3/flow_y_00006.png', './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/3/flow_y_00007.png', 6.0568901512758195
6, 7, './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/3/flow_y_00007.png', './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/3/flow_y_00008.png', 5.829754343475232
7, 8, './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/3/flow_y_00008.png', './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/3/flow_y_00009.png', 4.986387811461302
8, 9, './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/3/flow_y_00009.png', './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/3/flow_y_00010.png', 5.48509599293449
9, 10, './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/3/flow_y_00010.png', './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/3/flow_y_00011.png', 4.783294960965102
10, 11, './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/3/flow_y_00011.png', './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/3/flow_y_00012.png', 4.986796160756784
11, 12, './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/3/flow_y_00012.png', './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/3/flow_y_00013.png', 4.54383756243652
12, 13, './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/3/flow_y_00013.png', './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/3/flow_y_00014.png', 5.112314157370799
13, 14, './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/3/flow_y_00014.png', './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/3/flow_y_00015.png', 5.097633100158872
14, 15, './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/3/flow_y_00015.png', './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/3/flow_y_00016.png', 4.286917779451392
15, 16, './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/3/flow_y_00016.png', './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/3/flow_y_00017.png', 5.57741104543469
16, 17, './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/3/flow_y_00017.png', './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/3/flow_y_00018.png', 5.342171429121844
17, 18, './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/3/flow_y_00018.png', './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/3/flow_y_00019.png', 5.501949888898936
18, 19, './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/3/flow_y_00019.png', './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/3/flow_y_00020.png', 5.122941986846375
19, 20, './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/3/flow_y_00020.png', './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/3/flow_y_00021.png', 4.461918780003806
20, 21, './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/3/flow_y_00021.png', './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/3/flow_y_00022.png', 4.750312802562829
21, 22, './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/3/flow_y_00022.png', './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/3/flow_y_00023.png', 4.999130096560199
