0, 1, './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/mmaps/map0001.png', './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/mmaps/map0002.png', 0.2790947824696559
1, 2, './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/mmaps/map0002.png', './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/mmaps/map0003.png', 0.2078448041956752
2, 3, './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/mmaps/map0003.png', './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/mmaps/map0004.png', 0.22501297608898738
3, 4, './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/mmaps/map0004.png', './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/mmaps/map0005.png', 0.18957271187960842
4, 5, './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/mmaps/map0005.png', './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/mmaps/map0006.png', 0.1584307969605022
5, 6, './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/mmaps/map0006.png', './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/mmaps/map0007.png', 0.10284682764490569
6, 7, './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/mmaps/map0007.png', './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/mmaps/map0008.png', 0.09699872075305772
7, 8, './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/mmaps/map0008.png', './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/mmaps/map0009.png', 0.09705282683508573
8, 9, './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/mmaps/map0009.png', './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/mmaps/map0010.png', 0.06483219317840871
9, 10, './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/mmaps/map0010.png', './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/mmaps/map0011.png', 0.3696418746915214
10, 11, './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/mmaps/map0011.png', './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/mmaps/map0012.png', 0.3188377098954451
11, 12, './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/mmaps/map0012.png', './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/mmaps/map0013.png', 0.178051392913733
12, 13, './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/mmaps/map0013.png', './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/mmaps/map0014.png', 0.14696763904351703
13, 14, './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/mmaps/map0014.png', './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/mmaps/map0015.png', 0.15400249441777195
14, 15, './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/mmaps/map0015.png', './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/mmaps/map0016.png', 0.14910406430343626
15, 16, './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/mmaps/map0016.png', './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/mmaps/map0017.png', 0.11836633665179357
16, 17, './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/mmaps/map0017.png', './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/mmaps/map0018.png', 0.10776088733289572
17, 18, './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/mmaps/map0018.png', './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/mmaps/map0019.png', 0.10321906700712362
18, 19, './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/mmaps/map0019.png', './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/mmaps/map0020.png', 0.09861818444704204
19, 20, './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/mmaps/map0020.png', './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/mmaps/map0021.png', 0.10044440450949546
20, 21, './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/mmaps/map0021.png', './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/mmaps/map0022.png', 0.09710692431438686
21, 22, './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/mmaps/map0022.png', './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/mmaps/map0023.png', 0.07043577046267269
22, 23, './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/mmaps/map0023.png', './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/mmaps/map0024.png', 0.06711166868599078
23, 24, './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/mmaps/map0024.png', './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/mmaps/map0025.png', 0.0678274373652294
24, 25, './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/mmaps/map0025.png', './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/mmaps/map0026.png', 0.07788783565646694
25, 26, './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/mmaps/map0026.png', './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/mmaps/map0027.png', 0.11094827424900926
26, 27, './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/mmaps/map0027.png', './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/mmaps/map0028.png', 0.1111563225354619
27, 28, './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/mmaps/map0028.png', './GTEA61/processed_frames2/S3/pour_ketchup,hotdog,bread/1/mmaps/map0029.png', 0.11467550533614673
