0, 1, './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00001.png', './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00002.png', 6.704774666008927
1, 2, './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00002.png', './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00003.png', 5.889788129343854
2, 3, './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00003.png', './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00004.png', 5.46487259353548
3, 4, './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00004.png', './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00005.png', 5.83901998560341
4, 5, './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00005.png', './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00006.png', 5.556757124634997
5, 6, './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00006.png', './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00007.png', 5.663966210428178
6, 7, './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00007.png', './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00008.png', 4.644216564824062
7, 8, './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00008.png', './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00009.png', 6.424088154127736
8, 9, './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00009.png', './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00010.png', 5.380497092817383
9, 10, './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00010.png', './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00011.png', 6.181866741313662
10, 11, './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00011.png', './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00012.png', 5.09877077155856
11, 12, './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00012.png', './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00013.png', 4.766369705026093
12, 13, './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00013.png', './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00014.png', 5.501612453608103
13, 14, './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00014.png', './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00015.png', 4.614314661688354
14, 15, './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00015.png', './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00016.png', 4.9486998231014
15, 16, './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00016.png', './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00017.png', 5.076059129987835
