0, 1, './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00001.png', './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00002.png', 5.622231603795658
1, 2, './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00002.png', './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00003.png', 5.469390596013699
2, 3, './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00003.png', './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00004.png', 5.017369049341195
3, 4, './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00004.png', './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00005.png', 5.4245834235806445
4, 5, './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00005.png', './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00006.png', 4.743989213584944
5, 6, './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00006.png', './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00007.png', 5.201837865580984
6, 7, './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00007.png', './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00008.png', 4.631522568655526
7, 8, './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00008.png', './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00009.png', 4.685097035229057
8, 9, './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00009.png', './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00010.png', 4.340289192837906
9, 10, './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00010.png', './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00011.png', 4.699065989679344
10, 11, './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00011.png', './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00012.png', 3.9664866326847816
11, 12, './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00012.png', './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00013.png', 3.5527511223574915
12, 13, './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00013.png', './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00014.png', 2.9254071363625203
13, 14, './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00014.png', './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00015.png', 3.2989570536890476
14, 15, './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00015.png', './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00016.png', 3.9156491265800337
15, 16, './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00016.png', './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00017.png', 3.462460738038091
16, 17, './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00017.png', './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00018.png', 3.6300544778803148
17, 18, './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00018.png', './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00019.png', 3.21150043435437
18, 19, './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00019.png', './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00020.png', 3.29485360306565
19, 20, './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00020.png', './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00021.png', 3.153305084912099
20, 21, './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00021.png', './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00022.png', 3.6775891307646535
21, 22, './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00022.png', './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00023.png', 4.000496050898534
22, 23, './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00023.png', './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00024.png', 4.670101180162231
23, 24, './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00024.png', './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00025.png', 4.003338843244524
24, 25, './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00025.png', './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00026.png', 4.0117406583250395
25, 26, './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00026.png', './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00027.png', 5.253165306069218
26, 27, './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00027.png', './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00028.png', 4.937522215305276
27, 28, './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00028.png', './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00029.png', 3.620169252575863
28, 29, './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00029.png', './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00030.png', 4.771047993170523
29, 30, './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00030.png', './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00031.png', 4.394137544332365
30, 31, './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00031.png', './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00032.png', 3.9024852197196047
31, 32, './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00032.png', './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00033.png', 5.202006579679419
32, 33, './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00033.png', './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00034.png', 4.720325566106529
33, 34, './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00034.png', './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00035.png', 4.015026332062279
34, 35, './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00035.png', './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00036.png', 4.594566506712249
35, 36, './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00036.png', './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00037.png', 3.931837008031157
36, 37, './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00037.png', './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00038.png', 3.7878058630409654
37, 38, './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00038.png', './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00039.png', 3.7201920326288773
38, 39, './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00039.png', './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00040.png', 4.097053038755968
39, 40, './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00040.png', './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00041.png', 3.7768373121744614
40, 41, './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00041.png', './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00042.png', 4.034550212941013
41, 42, './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00042.png', './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00043.png', 3.820042311784374
42, 43, './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00043.png', './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00044.png', 3.8671545003203627
43, 44, './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00044.png', './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00045.png', 4.155135459819215
44, 45, './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00045.png', './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00046.png', 3.945187763804867
45, 46, './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00046.png', './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00047.png', 4.228789788296694
46, 47, './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00047.png', './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00048.png', 4.06909133336075
47, 48, './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00048.png', './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00049.png', 4.105277077496718
48, 49, './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00049.png', './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00050.png', 3.871067525431144
49, 50, './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00050.png', './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00051.png', 3.623503537065086
50, 51, './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00051.png', './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00052.png', 3.8051297063436444
51, 52, './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00052.png', './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00053.png', 4.343631198563057
52, 53, './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00053.png', './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00054.png', 4.459967108641543
53, 54, './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00054.png', './GTEA61/flow_x_processed/S2/pour_ketchup,hotdog,bread/1/flow_x_00055.png', 5.34660892204902
