0, 1, './GTEA61/processed_frames2/S3/put_cheese,bread/1/mmaps/map0001.png', './GTEA61/processed_frames2/S3/put_cheese,bread/1/mmaps/map0002.png', 0.3179038540267289
1, 2, './GTEA61/processed_frames2/S3/put_cheese,bread/1/mmaps/map0002.png', './GTEA61/processed_frames2/S3/put_cheese,bread/1/mmaps/map0003.png', 0.29945490668647207
2, 3, './GTEA61/processed_frames2/S3/put_cheese,bread/1/mmaps/map0003.png', './GTEA61/processed_frames2/S3/put_cheese,bread/1/mmaps/map0004.png', 0.25873232206543323
3, 4, './GTEA61/processed_frames2/S3/put_cheese,bread/1/mmaps/map0004.png', './GTEA61/processed_frames2/S3/put_cheese,bread/1/mmaps/map0005.png', 0.2114814135785021
4, 5, './GTEA61/processed_frames2/S3/put_cheese,bread/1/mmaps/map0005.png', './GTEA61/processed_frames2/S3/put_cheese,bread/1/mmaps/map0006.png', 0.23610959278654026
5, 6, './GTEA61/processed_frames2/S3/put_cheese,bread/1/mmaps/map0006.png', './GTEA61/processed_frames2/S3/put_cheese,bread/1/mmaps/map0007.png', 0.2700534677963615
6, 7, './GTEA61/processed_frames2/S3/put_cheese,bread/1/mmaps/map0007.png', './GTEA61/processed_frames2/S3/put_cheese,bread/1/mmaps/map0008.png', 0.29738180128738284
7, 8, './GTEA61/processed_frames2/S3/put_cheese,bread/1/mmaps/map0008.png', './GTEA61/processed_frames2/S3/put_cheese,bread/1/mmaps/map0009.png', 0.22598689104404487
8, 9, './GTEA61/processed_frames2/S3/put_cheese,bread/1/mmaps/map0009.png', './GTEA61/processed_frames2/S3/put_cheese,bread/1/mmaps/map0010.png', 0.21818712270226634
9, 10, './GTEA61/processed_frames2/S3/put_cheese,bread/1/mmaps/map0010.png', './GTEA61/processed_frames2/S3/put_cheese,bread/1/mmaps/map0011.png', 0.567999090520403
10, 11, './GTEA61/processed_frames2/S3/put_cheese,bread/1/mmaps/map0011.png', './GTEA61/processed_frames2/S3/put_cheese,bread/1/mmaps/map0012.png', 0.39047365789979865
11, 12, './GTEA61/processed_frames2/S3/put_cheese,bread/1/mmaps/map0012.png', './GTEA61/processed_frames2/S3/put_cheese,bread/1/mmaps/map0013.png', 0.33152777536512007
12, 13, './GTEA61/processed_frames2/S3/put_cheese,bread/1/mmaps/map0013.png', './GTEA61/processed_frames2/S3/put_cheese,bread/1/mmaps/map0014.png', 0.30633775068671576
13, 14, './GTEA61/processed_frames2/S3/put_cheese,bread/1/mmaps/map0014.png', './GTEA61/processed_frames2/S3/put_cheese,bread/1/mmaps/map0015.png', 0.28825398087422566
14, 15, './GTEA61/processed_frames2/S3/put_cheese,bread/1/mmaps/map0015.png', './GTEA61/processed_frames2/S3/put_cheese,bread/1/mmaps/map0016.png', 0.31762688205402495
15, 16, './GTEA61/processed_frames2/S3/put_cheese,bread/1/mmaps/map0016.png', './GTEA61/processed_frames2/S3/put_cheese,bread/1/mmaps/map0017.png', 0.3091533979591553
16, 17, './GTEA61/processed_frames2/S3/put_cheese,bread/1/mmaps/map0017.png', './GTEA61/processed_frames2/S3/put_cheese,bread/1/mmaps/map0018.png', 0.3205633208111985
17, 18, './GTEA61/processed_frames2/S3/put_cheese,bread/1/mmaps/map0018.png', './GTEA61/processed_frames2/S3/put_cheese,bread/1/mmaps/map0019.png', 0.3084858637406969
18, 19, './GTEA61/processed_frames2/S3/put_cheese,bread/1/mmaps/map0019.png', './GTEA61/processed_frames2/S3/put_cheese,bread/1/mmaps/map0020.png', 0.27027840102817574
19, 20, './GTEA61/processed_frames2/S3/put_cheese,bread/1/mmaps/map0020.png', './GTEA61/processed_frames2/S3/put_cheese,bread/1/mmaps/map0021.png', 0.2975965921904528
20, 21, './GTEA61/processed_frames2/S3/put_cheese,bread/1/mmaps/map0021.png', './GTEA61/processed_frames2/S3/put_cheese,bread/1/mmaps/map0022.png', 0.31188614441893037
21, 22, './GTEA61/processed_frames2/S3/put_cheese,bread/1/mmaps/map0022.png', './GTEA61/processed_frames2/S3/put_cheese,bread/1/mmaps/map0023.png', 0.261212389046191
22, 23, './GTEA61/processed_frames2/S3/put_cheese,bread/1/mmaps/map0023.png', './GTEA61/processed_frames2/S3/put_cheese,bread/1/mmaps/map0024.png', 0.3348030258129111
