0, 1, './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/2/flow_y_00001.png', './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/2/flow_y_00002.png', 5.298093394970571
1, 2, './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/2/flow_y_00002.png', './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/2/flow_y_00003.png', 5.6965681970284985
2, 3, './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/2/flow_y_00003.png', './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/2/flow_y_00004.png', 6.330061718256407
3, 4, './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/2/flow_y_00004.png', './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/2/flow_y_00005.png', 7.0522277255692725
4, 5, './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/2/flow_y_00005.png', './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/2/flow_y_00006.png', 6.122363497697415
5, 6, './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/2/flow_y_00006.png', './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/2/flow_y_00007.png', 5.971437859065869
6, 7, './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/2/flow_y_00007.png', './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/2/flow_y_00008.png', 3.770082670671004
7, 8, './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/2/flow_y_00008.png', './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/2/flow_y_00009.png', 3.881686953602438
8, 9, './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/2/flow_y_00009.png', './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/2/flow_y_00010.png', 4.315159467559988
9, 10, './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/2/flow_y_00010.png', './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/2/flow_y_00011.png', 4.209947378422858
10, 11, './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/2/flow_y_00011.png', './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/2/flow_y_00012.png', 4.342038589133545
11, 12, './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/2/flow_y_00012.png', './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/2/flow_y_00013.png', 4.6472673107339375
12, 13, './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/2/flow_y_00013.png', './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/2/flow_y_00014.png', 5.183062242631678
13, 14, './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/2/flow_y_00014.png', './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/2/flow_y_00015.png', 4.695250510841636
14, 15, './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/2/flow_y_00015.png', './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/2/flow_y_00016.png', 5.615536117232452
15, 16, './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/2/flow_y_00016.png', './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/2/flow_y_00017.png', 6.9817505200550505
16, 17, './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/2/flow_y_00017.png', './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/2/flow_y_00018.png', 7.250058826981279
17, 18, './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/2/flow_y_00018.png', './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/2/flow_y_00019.png', 7.145539988745217
18, 19, './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/2/flow_y_00019.png', './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/2/flow_y_00020.png', 6.834066760483118
19, 20, './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/2/flow_y_00020.png', './GTEA61/flow_y_processed/S3/scoop_sugar,spoon/2/flow_y_00021.png', 7.2245145927546135
