0, 1, './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0001.png', './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0002.png', 0.2576989833791585
1, 2, './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0002.png', './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0003.png', 0.28574014926443847
2, 3, './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0003.png', './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0004.png', 0.27813402678079935
3, 4, './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0004.png', './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0005.png', 0.3388979626697066
4, 5, './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0005.png', './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0006.png', 0.32266200973322623
5, 6, './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0006.png', './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0007.png', 0.3309519706702291
6, 7, './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0007.png', './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0008.png', 0.3017697645259057
7, 8, './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0008.png', './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0009.png', 0.363432557893446
8, 9, './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0009.png', './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0010.png', 0.4165236417530089
9, 10, './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0010.png', './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0011.png', 0.4513324017856714
10, 11, './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0011.png', './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0012.png', 0.330579104847758
11, 12, './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0012.png', './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0013.png', 0.34924910324979397
12, 13, './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0013.png', './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0014.png', 0.38964110567184523
13, 14, './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0014.png', './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0015.png', 0.42612101713980494
14, 15, './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0015.png', './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0016.png', 0.39880030258905697
15, 16, './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0016.png', './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0017.png', 0.3173844286500184
16, 17, './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0017.png', './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0018.png', 0.35803779798361096
17, 18, './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0018.png', './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0019.png', 0.3682389438069521
18, 19, './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0019.png', './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0020.png', 0.3618222208516651
19, 20, './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0020.png', './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0021.png', 0.41177417588119714
20, 21, './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0021.png', './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0022.png', 0.3663528155587486
21, 22, './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0022.png', './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0023.png', 0.35056382068186565
22, 23, './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0023.png', './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0024.png', 0.35897794901819713
23, 24, './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0024.png', './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0025.png', 0.3575184894292688
24, 25, './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0025.png', './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0026.png', 0.33301560623763043
25, 26, './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0026.png', './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0027.png', 0.3320015647673562
26, 27, './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0027.png', './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0028.png', 0.3010584468233526
27, 28, './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0028.png', './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0029.png', 0.3146414794601942
28, 29, './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0029.png', './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0030.png', 0.29072103767655466
29, 30, './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0030.png', './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0031.png', 0.28763561694748013
30, 31, './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0031.png', './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0032.png', 0.2615168904356234
31, 32, './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0032.png', './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0033.png', 0.3061613378922428
32, 33, './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0033.png', './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0034.png', 0.37692492531027094
33, 34, './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0034.png', './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0035.png', 0.4306777651747402
34, 35, './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0035.png', './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0036.png', 0.4740911071612159
35, 36, './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0036.png', './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0037.png', 0.4828829174139108
36, 37, './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0037.png', './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0038.png', 0.40446199894067825
37, 38, './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0038.png', './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0039.png', 0.45239511269374694
38, 39, './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0039.png', './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0040.png', 0.4860422342034091
39, 40, './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0040.png', './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0041.png', 0.5218219876649277
40, 41, './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0041.png', './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0042.png', 0.4945896849463532
41, 42, './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0042.png', './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0043.png', 0.4463868834657263
42, 43, './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0043.png', './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0044.png', 0.4531770179070948
43, 44, './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0044.png', './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0045.png', 0.4612738333939985
44, 45, './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0045.png', './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0046.png', 0.45845731725482175
45, 46, './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0046.png', './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0047.png', 0.4686144771610654
46, 47, './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0047.png', './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0048.png', 0.4303016977093542
47, 48, './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0048.png', './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0049.png', 0.4718736926423608
48, 49, './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0049.png', './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0050.png', 0.4793596239800824
49, 50, './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0050.png', './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0051.png', 0.4565448516161577
50, 51, './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0051.png', './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0052.png', 0.47616618215176854
51, 52, './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0052.png', './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0053.png', 0.4643520108380994
52, 53, './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0053.png', './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0054.png', 0.4722257583659659
53, 54, './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0054.png', './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0055.png', 0.47869008650942835
54, 55, './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0055.png', './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0056.png', 0.44503135207414213
55, 56, './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0056.png', './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0057.png', 0.4361201152431884
56, 57, './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0057.png', './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0058.png', 0.46572134133434007
57, 58, './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0058.png', './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0059.png', 0.43677922790773194
58, 59, './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0059.png', './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0060.png', 0.4598947643213842
59, 60, './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0060.png', './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0061.png', 0.46481791839763337
60, 61, './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0061.png', './GTEA61/processed_frames2/S4/shake_tea,cup/1/mmaps/map0062.png', 0.4841326308584656
