0, 1, './GTEA61/processed_frames2/S1/pour_water,cup/2/rgb/rgb0001.png', './GTEA61/processed_frames2/S1/pour_water,cup/2/rgb/rgb0002.png', 5.1240293501191205
1, 2, './GTEA61/processed_frames2/S1/pour_water,cup/2/rgb/rgb0002.png', './GTEA61/processed_frames2/S1/pour_water,cup/2/rgb/rgb0003.png', 5.208438074465358
2, 3, './GTEA61/processed_frames2/S1/pour_water,cup/2/rgb/rgb0003.png', './GTEA61/processed_frames2/S1/pour_water,cup/2/rgb/rgb0004.png', 5.387853551407079
3, 4, './GTEA61/processed_frames2/S1/pour_water,cup/2/rgb/rgb0004.png', './GTEA61/processed_frames2/S1/pour_water,cup/2/rgb/rgb0005.png', 5.400964677325662
4, 5, './GTEA61/processed_frames2/S1/pour_water,cup/2/rgb/rgb0005.png', './GTEA61/processed_frames2/S1/pour_water,cup/2/rgb/rgb0006.png', 5.194727166267738
5, 6, './GTEA61/processed_frames2/S1/pour_water,cup/2/rgb/rgb0006.png', './GTEA61/processed_frames2/S1/pour_water,cup/2/rgb/rgb0007.png', 5.323683012544219
6, 7, './GTEA61/processed_frames2/S1/pour_water,cup/2/rgb/rgb0007.png', './GTEA61/processed_frames2/S1/pour_water,cup/2/rgb/rgb0008.png', 5.523009712317366
7, 8, './GTEA61/processed_frames2/S1/pour_water,cup/2/rgb/rgb0008.png', './GTEA61/processed_frames2/S1/pour_water,cup/2/rgb/rgb0009.png', 5.898425312870167
8, 9, './GTEA61/processed_frames2/S1/pour_water,cup/2/rgb/rgb0009.png', './GTEA61/processed_frames2/S1/pour_water,cup/2/rgb/rgb0010.png', 6.15129475936527
9, 10, './GTEA61/processed_frames2/S1/pour_water,cup/2/rgb/rgb0010.png', './GTEA61/processed_frames2/S1/pour_water,cup/2/rgb/rgb0011.png', 6.277938552630356
10, 11, './GTEA61/processed_frames2/S1/pour_water,cup/2/rgb/rgb0011.png', './GTEA61/processed_frames2/S1/pour_water,cup/2/rgb/rgb0012.png', 5.935536572207496
11, 12, './GTEA61/processed_frames2/S1/pour_water,cup/2/rgb/rgb0012.png', './GTEA61/processed_frames2/S1/pour_water,cup/2/rgb/rgb0013.png', 5.713528956579794
12, 13, './GTEA61/processed_frames2/S1/pour_water,cup/2/rgb/rgb0013.png', './GTEA61/processed_frames2/S1/pour_water,cup/2/rgb/rgb0014.png', 5.450980304563916
13, 14, './GTEA61/processed_frames2/S1/pour_water,cup/2/rgb/rgb0014.png', './GTEA61/processed_frames2/S1/pour_water,cup/2/rgb/rgb0015.png', 5.150741570037541
14, 15, './GTEA61/processed_frames2/S1/pour_water,cup/2/rgb/rgb0015.png', './GTEA61/processed_frames2/S1/pour_water,cup/2/rgb/rgb0016.png', 5.362632370974092
15, 16, './GTEA61/processed_frames2/S1/pour_water,cup/2/rgb/rgb0016.png', './GTEA61/processed_frames2/S1/pour_water,cup/2/rgb/rgb0017.png', 5.294493694294885
16, 17, './GTEA61/processed_frames2/S1/pour_water,cup/2/rgb/rgb0017.png', './GTEA61/processed_frames2/S1/pour_water,cup/2/rgb/rgb0018.png', 5.084796300306215
17, 18, './GTEA61/processed_frames2/S1/pour_water,cup/2/rgb/rgb0018.png', './GTEA61/processed_frames2/S1/pour_water,cup/2/rgb/rgb0019.png', 4.785891218719705
18, 19, './GTEA61/processed_frames2/S1/pour_water,cup/2/rgb/rgb0019.png', './GTEA61/processed_frames2/S1/pour_water,cup/2/rgb/rgb0020.png', 5.186383330629374
19, 20, './GTEA61/processed_frames2/S1/pour_water,cup/2/rgb/rgb0020.png', './GTEA61/processed_frames2/S1/pour_water,cup/2/rgb/rgb0021.png', 4.6024384116004216
20, 21, './GTEA61/processed_frames2/S1/pour_water,cup/2/rgb/rgb0021.png', './GTEA61/processed_frames2/S1/pour_water,cup/2/rgb/rgb0022.png', 4.770271954451704
21, 22, './GTEA61/processed_frames2/S1/pour_water,cup/2/rgb/rgb0022.png', './GTEA61/processed_frames2/S1/pour_water,cup/2/rgb/rgb0023.png', 4.762868440042739
22, 23, './GTEA61/processed_frames2/S1/pour_water,cup/2/rgb/rgb0023.png', './GTEA61/processed_frames2/S1/pour_water,cup/2/rgb/rgb0024.png', 4.769049229393981
23, 24, './GTEA61/processed_frames2/S1/pour_water,cup/2/rgb/rgb0024.png', './GTEA61/processed_frames2/S1/pour_water,cup/2/rgb/rgb0025.png', 4.444190597677597
24, 25, './GTEA61/processed_frames2/S1/pour_water,cup/2/rgb/rgb0025.png', './GTEA61/processed_frames2/S1/pour_water,cup/2/rgb/rgb0026.png', 4.822746989920503
25, 26, './GTEA61/processed_frames2/S1/pour_water,cup/2/rgb/rgb0026.png', './GTEA61/processed_frames2/S1/pour_water,cup/2/rgb/rgb0027.png', 4.836584765192174
26, 27, './GTEA61/processed_frames2/S1/pour_water,cup/2/rgb/rgb0027.png', './GTEA61/processed_frames2/S1/pour_water,cup/2/rgb/rgb0028.png', 4.933338502900212
27, 28, './GTEA61/processed_frames2/S1/pour_water,cup/2/rgb/rgb0028.png', './GTEA61/processed_frames2/S1/pour_water,cup/2/rgb/rgb0029.png', 5.250748171585366
28, 29, './GTEA61/processed_frames2/S1/pour_water,cup/2/rgb/rgb0029.png', './GTEA61/processed_frames2/S1/pour_water,cup/2/rgb/rgb0030.png', 5.168614421333806
29, 30, './GTEA61/processed_frames2/S1/pour_water,cup/2/rgb/rgb0030.png', './GTEA61/processed_frames2/S1/pour_water,cup/2/rgb/rgb0031.png', 4.803839171036486
30, 31, './GTEA61/processed_frames2/S1/pour_water,cup/2/rgb/rgb0031.png', './GTEA61/processed_frames2/S1/pour_water,cup/2/rgb/rgb0032.png', 5.1461904627761434
31, 32, './GTEA61/processed_frames2/S1/pour_water,cup/2/rgb/rgb0032.png', './GTEA61/processed_frames2/S1/pour_water,cup/2/rgb/rgb0033.png', 5.188090413712104
32, 33, './GTEA61/processed_frames2/S1/pour_water,cup/2/rgb/rgb0033.png', './GTEA61/processed_frames2/S1/pour_water,cup/2/rgb/rgb0034.png', 4.846623457140093
33, 34, './GTEA61/processed_frames2/S1/pour_water,cup/2/rgb/rgb0034.png', './GTEA61/processed_frames2/S1/pour_water,cup/2/rgb/rgb0035.png', 4.7839026719359445
34, 35, './GTEA61/processed_frames2/S1/pour_water,cup/2/rgb/rgb0035.png', './GTEA61/processed_frames2/S1/pour_water,cup/2/rgb/rgb0036.png', 4.78688265156616
35, 36, './GTEA61/processed_frames2/S1/pour_water,cup/2/rgb/rgb0036.png', './GTEA61/processed_frames2/S1/pour_water,cup/2/rgb/rgb0037.png', 4.736608432649913
36, 37, './GTEA61/processed_frames2/S1/pour_water,cup/2/rgb/rgb0037.png', './GTEA61/processed_frames2/S1/pour_water,cup/2/rgb/rgb0038.png', 4.956579663403943
37, 38, './GTEA61/processed_frames2/S1/pour_water,cup/2/rgb/rgb0038.png', './GTEA61/processed_frames2/S1/pour_water,cup/2/rgb/rgb0039.png', 4.6878221287694055
38, 39, './GTEA61/processed_frames2/S1/pour_water,cup/2/rgb/rgb0039.png', './GTEA61/processed_frames2/S1/pour_water,cup/2/rgb/rgb0040.png', 4.491904948011244
39, 40, './GTEA61/processed_frames2/S1/pour_water,cup/2/rgb/rgb0040.png', './GTEA61/processed_frames2/S1/pour_water,cup/2/rgb/rgb0041.png', 4.275539368713497
40, 41, './GTEA61/processed_frames2/S1/pour_water,cup/2/rgb/rgb0041.png', './GTEA61/processed_frames2/S1/pour_water,cup/2/rgb/rgb0042.png', 4.581623221502221
41, 42, './GTEA61/processed_frames2/S1/pour_water,cup/2/rgb/rgb0042.png', './GTEA61/processed_frames2/S1/pour_water,cup/2/rgb/rgb0043.png', 4.422882605362586
42, 43, './GTEA61/processed_frames2/S1/pour_water,cup/2/rgb/rgb0043.png', './GTEA61/processed_frames2/S1/pour_water,cup/2/rgb/rgb0044.png', 4.325877941233753
43, 44, './GTEA61/processed_frames2/S1/pour_water,cup/2/rgb/rgb0044.png', './GTEA61/processed_frames2/S1/pour_water,cup/2/rgb/rgb0045.png', 4.455686064311989
44, 45, './GTEA61/processed_frames2/S1/pour_water,cup/2/rgb/rgb0045.png', './GTEA61/processed_frames2/S1/pour_water,cup/2/rgb/rgb0046.png', 4.710490714602168
45, 46, './GTEA61/processed_frames2/S1/pour_water,cup/2/rgb/rgb0046.png', './GTEA61/processed_frames2/S1/pour_water,cup/2/rgb/rgb0047.png', 4.707076588125443
