0, 1, './GTEA61/processed_frames2/S3/pour_water,cup/3/mmaps/map0001.png', './GTEA61/processed_frames2/S3/pour_water,cup/3/mmaps/map0002.png', 0.23666654489939512
1, 2, './GTEA61/processed_frames2/S3/pour_water,cup/3/mmaps/map0002.png', './GTEA61/processed_frames2/S3/pour_water,cup/3/mmaps/map0003.png', 0.15745562493638562
2, 3, './GTEA61/processed_frames2/S3/pour_water,cup/3/mmaps/map0003.png', './GTEA61/processed_frames2/S3/pour_water,cup/3/mmaps/map0004.png', 0.1433835496648356
3, 4, './GTEA61/processed_frames2/S3/pour_water,cup/3/mmaps/map0004.png', './GTEA61/processed_frames2/S3/pour_water,cup/3/mmaps/map0005.png', 0.11816222136945036
4, 5, './GTEA61/processed_frames2/S3/pour_water,cup/3/mmaps/map0005.png', './GTEA61/processed_frames2/S3/pour_water,cup/3/mmaps/map0006.png', 0.1410740413025688
5, 6, './GTEA61/processed_frames2/S3/pour_water,cup/3/mmaps/map0006.png', './GTEA61/processed_frames2/S3/pour_water,cup/3/mmaps/map0007.png', 0.13588024296641038
6, 7, './GTEA61/processed_frames2/S3/pour_water,cup/3/mmaps/map0007.png', './GTEA61/processed_frames2/S3/pour_water,cup/3/mmaps/map0008.png', 0.1389944651074499
7, 8, './GTEA61/processed_frames2/S3/pour_water,cup/3/mmaps/map0008.png', './GTEA61/processed_frames2/S3/pour_water,cup/3/mmaps/map0009.png', 0.09482735540173026
8, 9, './GTEA61/processed_frames2/S3/pour_water,cup/3/mmaps/map0009.png', './GTEA61/processed_frames2/S3/pour_water,cup/3/mmaps/map0010.png', 0.08761481481838357
9, 10, './GTEA61/processed_frames2/S3/pour_water,cup/3/mmaps/map0010.png', './GTEA61/processed_frames2/S3/pour_water,cup/3/mmaps/map0011.png', 0.32837119575636997
10, 11, './GTEA61/processed_frames2/S3/pour_water,cup/3/mmaps/map0011.png', './GTEA61/processed_frames2/S3/pour_water,cup/3/mmaps/map0012.png', 0.25435658868044175
11, 12, './GTEA61/processed_frames2/S3/pour_water,cup/3/mmaps/map0012.png', './GTEA61/processed_frames2/S3/pour_water,cup/3/mmaps/map0013.png', 0.17362622211153325
12, 13, './GTEA61/processed_frames2/S3/pour_water,cup/3/mmaps/map0013.png', './GTEA61/processed_frames2/S3/pour_water,cup/3/mmaps/map0014.png', 0.1502865078926652
