0, 1, './GTEA61/flow_x_processed/S1/pour_mayonnaise,cheese,bread/1/flow_x_00001.png', './GTEA61/flow_x_processed/S1/pour_mayonnaise,cheese,bread/1/flow_x_00002.png', 6.296358811761289
1, 2, './GTEA61/flow_x_processed/S1/pour_mayonnaise,cheese,bread/1/flow_x_00002.png', './GTEA61/flow_x_processed/S1/pour_mayonnaise,cheese,bread/1/flow_x_00003.png', 6.16355042190656
2, 3, './GTEA61/flow_x_processed/S1/pour_mayonnaise,cheese,bread/1/flow_x_00003.png', './GTEA61/flow_x_processed/S1/pour_mayonnaise,cheese,bread/1/flow_x_00004.png', 5.5927720090936965
3, 4, './GTEA61/flow_x_processed/S1/pour_mayonnaise,cheese,bread/1/flow_x_00004.png', './GTEA61/flow_x_processed/S1/pour_mayonnaise,cheese,bread/1/flow_x_00005.png', 5.1831780519509705
4, 5, './GTEA61/flow_x_processed/S1/pour_mayonnaise,cheese,bread/1/flow_x_00005.png', './GTEA61/flow_x_processed/S1/pour_mayonnaise,cheese,bread/1/flow_x_00006.png', 5.09704145915538
5, 6, './GTEA61/flow_x_processed/S1/pour_mayonnaise,cheese,bread/1/flow_x_00006.png', './GTEA61/flow_x_processed/S1/pour_mayonnaise,cheese,bread/1/flow_x_00007.png', 4.902178607752316
6, 7, './GTEA61/flow_x_processed/S1/pour_mayonnaise,cheese,bread/1/flow_x_00007.png', './GTEA61/flow_x_processed/S1/pour_mayonnaise,cheese,bread/1/flow_x_00008.png', 5.033799783066732
7, 8, './GTEA61/flow_x_processed/S1/pour_mayonnaise,cheese,bread/1/flow_x_00008.png', './GTEA61/flow_x_processed/S1/pour_mayonnaise,cheese,bread/1/flow_x_00009.png', 5.506947013299946
8, 9, './GTEA61/flow_x_processed/S1/pour_mayonnaise,cheese,bread/1/flow_x_00009.png', './GTEA61/flow_x_processed/S1/pour_mayonnaise,cheese,bread/1/flow_x_00010.png', 4.99434457424796
9, 10, './GTEA61/flow_x_processed/S1/pour_mayonnaise,cheese,bread/1/flow_x_00010.png', './GTEA61/flow_x_processed/S1/pour_mayonnaise,cheese,bread/1/flow_x_00011.png', 4.880183269216525
10, 11, './GTEA61/flow_x_processed/S1/pour_mayonnaise,cheese,bread/1/flow_x_00011.png', './GTEA61/flow_x_processed/S1/pour_mayonnaise,cheese,bread/1/flow_x_00012.png', 4.047842888618205
11, 12, './GTEA61/flow_x_processed/S1/pour_mayonnaise,cheese,bread/1/flow_x_00012.png', './GTEA61/flow_x_processed/S1/pour_mayonnaise,cheese,bread/1/flow_x_00013.png', 4.183341892505955
12, 13, './GTEA61/flow_x_processed/S1/pour_mayonnaise,cheese,bread/1/flow_x_00013.png', './GTEA61/flow_x_processed/S1/pour_mayonnaise,cheese,bread/1/flow_x_00014.png', 3.1605190709342192
13, 14, './GTEA61/flow_x_processed/S1/pour_mayonnaise,cheese,bread/1/flow_x_00014.png', './GTEA61/flow_x_processed/S1/pour_mayonnaise,cheese,bread/1/flow_x_00015.png', 3.9281868223665684
14, 15, './GTEA61/flow_x_processed/S1/pour_mayonnaise,cheese,bread/1/flow_x_00015.png', './GTEA61/flow_x_processed/S1/pour_mayonnaise,cheese,bread/1/flow_x_00016.png', 3.7838977382205132
15, 16, './GTEA61/flow_x_processed/S1/pour_mayonnaise,cheese,bread/1/flow_x_00016.png', './GTEA61/flow_x_processed/S1/pour_mayonnaise,cheese,bread/1/flow_x_00017.png', 4.496975001855561
16, 17, './GTEA61/flow_x_processed/S1/pour_mayonnaise,cheese,bread/1/flow_x_00017.png', './GTEA61/flow_x_processed/S1/pour_mayonnaise,cheese,bread/1/flow_x_00018.png', 3.740914213515923
17, 18, './GTEA61/flow_x_processed/S1/pour_mayonnaise,cheese,bread/1/flow_x_00018.png', './GTEA61/flow_x_processed/S1/pour_mayonnaise,cheese,bread/1/flow_x_00019.png', 4.2434526808369295
18, 19, './GTEA61/flow_x_processed/S1/pour_mayonnaise,cheese,bread/1/flow_x_00019.png', './GTEA61/flow_x_processed/S1/pour_mayonnaise,cheese,bread/1/flow_x_00020.png', 3.7943841517955774
19, 20, './GTEA61/flow_x_processed/S1/pour_mayonnaise,cheese,bread/1/flow_x_00020.png', './GTEA61/flow_x_processed/S1/pour_mayonnaise,cheese,bread/1/flow_x_00021.png', 3.676486448989063
20, 21, './GTEA61/flow_x_processed/S1/pour_mayonnaise,cheese,bread/1/flow_x_00021.png', './GTEA61/flow_x_processed/S1/pour_mayonnaise,cheese,bread/1/flow_x_00022.png', 3.5214818889196504
21, 22, './GTEA61/flow_x_processed/S1/pour_mayonnaise,cheese,bread/1/flow_x_00022.png', './GTEA61/flow_x_processed/S1/pour_mayonnaise,cheese,bread/1/flow_x_00023.png', 4.197612641472948
22, 23, './GTEA61/flow_x_processed/S1/pour_mayonnaise,cheese,bread/1/flow_x_00023.png', './GTEA61/flow_x_processed/S1/pour_mayonnaise,cheese,bread/1/flow_x_00024.png', 3.1829467537593854
