0, 1, './GTEA61/flow_x_processed/S3/stir_spoon,cup/3/flow_x_00001.png', './GTEA61/flow_x_processed/S3/stir_spoon,cup/3/flow_x_00002.png', 4.6995394619925435
1, 2, './GTEA61/flow_x_processed/S3/stir_spoon,cup/3/flow_x_00002.png', './GTEA61/flow_x_processed/S3/stir_spoon,cup/3/flow_x_00003.png', 4.047086498302702
2, 3, './GTEA61/flow_x_processed/S3/stir_spoon,cup/3/flow_x_00003.png', './GTEA61/flow_x_processed/S3/stir_spoon,cup/3/flow_x_00004.png', 5.001317327749318
3, 4, './GTEA61/flow_x_processed/S3/stir_spoon,cup/3/flow_x_00004.png', './GTEA61/flow_x_processed/S3/stir_spoon,cup/3/flow_x_00005.png', 5.424202474857842
4, 5, './GTEA61/flow_x_processed/S3/stir_spoon,cup/3/flow_x_00005.png', './GTEA61/flow_x_processed/S3/stir_spoon,cup/3/flow_x_00006.png', 4.3330985422645005
5, 6, './GTEA61/flow_x_processed/S3/stir_spoon,cup/3/flow_x_00006.png', './GTEA61/flow_x_processed/S3/stir_spoon,cup/3/flow_x_00007.png', 4.38511285387268
6, 7, './GTEA61/flow_x_processed/S3/stir_spoon,cup/3/flow_x_00007.png', './GTEA61/flow_x_processed/S3/stir_spoon,cup/3/flow_x_00008.png', 4.925939901440212
7, 8, './GTEA61/flow_x_processed/S3/stir_spoon,cup/3/flow_x_00008.png', './GTEA61/flow_x_processed/S3/stir_spoon,cup/3/flow_x_00009.png', 5.736396842161086
8, 9, './GTEA61/flow_x_processed/S3/stir_spoon,cup/3/flow_x_00009.png', './GTEA61/flow_x_processed/S3/stir_spoon,cup/3/flow_x_00010.png', 5.447490126685175
9, 10, './GTEA61/flow_x_processed/S3/stir_spoon,cup/3/flow_x_00010.png', './GTEA61/flow_x_processed/S3/stir_spoon,cup/3/flow_x_00011.png', 4.266075193867985
10, 11, './GTEA61/flow_x_processed/S3/stir_spoon,cup/3/flow_x_00011.png', './GTEA61/flow_x_processed/S3/stir_spoon,cup/3/flow_x_00012.png', 4.474499376785699
11, 12, './GTEA61/flow_x_processed/S3/stir_spoon,cup/3/flow_x_00012.png', './GTEA61/flow_x_processed/S3/stir_spoon,cup/3/flow_x_00013.png', 4.352361569970474
12, 13, './GTEA61/flow_x_processed/S3/stir_spoon,cup/3/flow_x_00013.png', './GTEA61/flow_x_processed/S3/stir_spoon,cup/3/flow_x_00014.png', 4.402551349108519
13, 14, './GTEA61/flow_x_processed/S3/stir_spoon,cup/3/flow_x_00014.png', './GTEA61/flow_x_processed/S3/stir_spoon,cup/3/flow_x_00015.png', 4.166536534805496
14, 15, './GTEA61/flow_x_processed/S3/stir_spoon,cup/3/flow_x_00015.png', './GTEA61/flow_x_processed/S3/stir_spoon,cup/3/flow_x_00016.png', 4.492478638477438
15, 16, './GTEA61/flow_x_processed/S3/stir_spoon,cup/3/flow_x_00016.png', './GTEA61/flow_x_processed/S3/stir_spoon,cup/3/flow_x_00017.png', 4.765378926945827
16, 17, './GTEA61/flow_x_processed/S3/stir_spoon,cup/3/flow_x_00017.png', './GTEA61/flow_x_processed/S3/stir_spoon,cup/3/flow_x_00018.png', 4.394049654727401
17, 18, './GTEA61/flow_x_processed/S3/stir_spoon,cup/3/flow_x_00018.png', './GTEA61/flow_x_processed/S3/stir_spoon,cup/3/flow_x_00019.png', 4.615285727602771
18, 19, './GTEA61/flow_x_processed/S3/stir_spoon,cup/3/flow_x_00019.png', './GTEA61/flow_x_processed/S3/stir_spoon,cup/3/flow_x_00020.png', 5.250506290574757
19, 20, './GTEA61/flow_x_processed/S3/stir_spoon,cup/3/flow_x_00020.png', './GTEA61/flow_x_processed/S3/stir_spoon,cup/3/flow_x_00021.png', 4.7086388294230135
20, 21, './GTEA61/flow_x_processed/S3/stir_spoon,cup/3/flow_x_00021.png', './GTEA61/flow_x_processed/S3/stir_spoon,cup/3/flow_x_00022.png', 4.389361214751108
21, 22, './GTEA61/flow_x_processed/S3/stir_spoon,cup/3/flow_x_00022.png', './GTEA61/flow_x_processed/S3/stir_spoon,cup/3/flow_x_00023.png', 4.855786643781709
22, 23, './GTEA61/flow_x_processed/S3/stir_spoon,cup/3/flow_x_00023.png', './GTEA61/flow_x_processed/S3/stir_spoon,cup/3/flow_x_00024.png', 4.991614846478301
23, 24, './GTEA61/flow_x_processed/S3/stir_spoon,cup/3/flow_x_00024.png', './GTEA61/flow_x_processed/S3/stir_spoon,cup/3/flow_x_00025.png', 5.124154599371285
24, 25, './GTEA61/flow_x_processed/S3/stir_spoon,cup/3/flow_x_00025.png', './GTEA61/flow_x_processed/S3/stir_spoon,cup/3/flow_x_00026.png', 5.143301450427552
25, 26, './GTEA61/flow_x_processed/S3/stir_spoon,cup/3/flow_x_00026.png', './GTEA61/flow_x_processed/S3/stir_spoon,cup/3/flow_x_00027.png', 4.5485415098396444
