0, 1, './GTEA61/processed_frames2/S2/stir_spoon,cup/4/mmaps/map0001.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/4/mmaps/map0002.png', 0.2331963612815667
1, 2, './GTEA61/processed_frames2/S2/stir_spoon,cup/4/mmaps/map0002.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/4/mmaps/map0003.png', 0.18800542405917148
2, 3, './GTEA61/processed_frames2/S2/stir_spoon,cup/4/mmaps/map0003.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/4/mmaps/map0004.png', 0.16897845704567827
3, 4, './GTEA61/processed_frames2/S2/stir_spoon,cup/4/mmaps/map0004.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/4/mmaps/map0005.png', 0.1659761013257476
4, 5, './GTEA61/processed_frames2/S2/stir_spoon,cup/4/mmaps/map0005.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/4/mmaps/map0006.png', 0.17241225439314792
5, 6, './GTEA61/processed_frames2/S2/stir_spoon,cup/4/mmaps/map0006.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/4/mmaps/map0007.png', 0.1851630567397125
6, 7, './GTEA61/processed_frames2/S2/stir_spoon,cup/4/mmaps/map0007.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/4/mmaps/map0008.png', 0.1980640124886941
7, 8, './GTEA61/processed_frames2/S2/stir_spoon,cup/4/mmaps/map0008.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/4/mmaps/map0009.png', 0.16952229067971003
8, 9, './GTEA61/processed_frames2/S2/stir_spoon,cup/4/mmaps/map0009.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/4/mmaps/map0010.png', 0.18804902627051162
9, 10, './GTEA61/processed_frames2/S2/stir_spoon,cup/4/mmaps/map0010.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/4/mmaps/map0011.png', 0.376861955863615
10, 11, './GTEA61/processed_frames2/S2/stir_spoon,cup/4/mmaps/map0011.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/4/mmaps/map0012.png', 0.3337919132557315
11, 12, './GTEA61/processed_frames2/S2/stir_spoon,cup/4/mmaps/map0012.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/4/mmaps/map0013.png', 0.3245481392765781
12, 13, './GTEA61/processed_frames2/S2/stir_spoon,cup/4/mmaps/map0013.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/4/mmaps/map0014.png', 0.2670837107608717
13, 14, './GTEA61/processed_frames2/S2/stir_spoon,cup/4/mmaps/map0014.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/4/mmaps/map0015.png', 0.27042830830513886
14, 15, './GTEA61/processed_frames2/S2/stir_spoon,cup/4/mmaps/map0015.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/4/mmaps/map0016.png', 0.29609144051297387
15, 16, './GTEA61/processed_frames2/S2/stir_spoon,cup/4/mmaps/map0016.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/4/mmaps/map0017.png', 0.2806066451561306
16, 17, './GTEA61/processed_frames2/S2/stir_spoon,cup/4/mmaps/map0017.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/4/mmaps/map0018.png', 0.21913236757873159
17, 18, './GTEA61/processed_frames2/S2/stir_spoon,cup/4/mmaps/map0018.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/4/mmaps/map0019.png', 0.2563566902992166
18, 19, './GTEA61/processed_frames2/S2/stir_spoon,cup/4/mmaps/map0019.png', './GTEA61/processed_frames2/S2/stir_spoon,cup/4/mmaps/map0020.png', 0.2642880641235111
